trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,6,5,ERR_StartedSideways,0,13.4,-1,1.5,-1,0:258,0,5,5,N/A
2,4,3,ERR_FingerLifted,0,21.4,0.036,2.79,0.053,0:258,0,3,3,N/A
3,6,5,ERR_TooSlowGlobal,0,35.2,0.0167,0.393,0.0333,0:258,0,5,5,N/A
4,2,1,ERR_FingerLifted,0,48.9,2.27,6.94,2.28,0:258,0,1,1,N/A
5,3,2,OK,4.15,72.6,4.32,8.8,4.33,0:258,0,2,2,2.33
6,2,1,OK,2.22,108,0.786,3.32,0.801,0:258,0,1,1,1.12
7,9,8,OK,1.95,116,0.601,2.86,0.618,0:258,0,8,8,7.93
8,11,10,OK,1.67,122,0.502,2.47,0.517,0:258,0,10,10,9.81
9,6,5,OK,2.12,126,0.685,3.11,0.7,0:258,0,5,5,4.46
10,10,9,OK,2.18,132,0.484,2.99,0.501,0:258,0,9,9,9
11,4,3,OK,1.88,138,0.216,2.37,0.233,0:258,0,3,3,2.43
12,7,6,OK,2.13,143,0.402,2.73,0.419,0:258,0,6,6,6.67
13,5,4,OK,1.93,149,0.519,2.75,0.535,0:258,0,4,4,2.72
14,8,7,OK,2.02,153,0.601,2.8,0.617,0:258,0,7,7,6.85
