trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,65321,OK,2.15,9.27,0.321,2.69,0.337,0:258,0,65321,65321,6.99e+04
2,3,11730,OK,2.5,13.3,0.184,2.88,0.202,0:258,0,11730,11730,2.4e+04
3,4,73954,OK,2.42,17.4,0.134,2.8,0.15,0:258,0,73954,73954,7.56e+04
4,5,92855,OK,1.43,21,0.151,1.63,0.167,0:258,0,92855,92855,8.85e+04
5,6,25731,ERR_FingerLifted,0,23.6,0.167,3.4,0.184,0:258,0,25731,25731,N/A
6,7,16542,OK,1.68,28.1,0.319,2.05,0.333,0:258,0,16542,16542,8.75e+03
7,8,37828,OK,1.85,31.2,0.183,2.13,0.2,0:258,0,37828,37828,1.6e+04
8,9,59374,OK,1.57,34.2,0.149,1.82,0.166,0:258,0,59374,59374,4.79e+04
9,10,49743,OK,1.58,38.3,0.236,1.9,0.252,0:258,0,49743,49743,4.57e+04
10,11,5882,OK,1.95,41,0.251,2.32,0.267,0:258,0,5882,5882,1.67e+03
11,12,47765,OK,2,44.2,0.233,2.37,0.249,0:258,0,47765,47765,4.82e+04
12,13,11328,OK,2.33,47.3,0.216,2.72,0.233,0:258,0,11328,11328,6.81e+03
13,14,83425,OK,2.2,50.9,0.218,2.56,0.233,0:258,0,83425,83425,8e+04
14,15,32319,OK,2.03,54.2,0.134,2.28,0.15,0:258,0,32319,32319,2.21e+04
15,16,76921,OK,1.98,57.3,0.169,2.25,0.184,0:258,0,76921,76921,8.22e+04
16,17,25731,OK,1.75,61.4,0.302,2.15,0.319,0:258,0,25731,25731,2.4e+04
17,18,65321,OK,1.72,64.4,0.201,2.03,0.219,0:258,0,65321,65321,6.19e+04
18,19,16542,OK,1.73,67.2,0.167,2.05,0.184,0:258,0,16542,16542,1.39e+03
19,20,92855,OK,1.62,70.1,0.168,1.87,0.184,0:258,0,92855,92855,8.72e+04
20,21,32319,OK,1.88,72.7,0.185,2.2,0.201,0:258,0,32319,32319,2.13e+04
21,22,49743,OK,1.83,75.6,0.167,2.18,0.183,0:258,0,49743,49743,4.79e+04
22,23,47765,OK,1.32,78.4,0.236,1.64,0.252,0:258,0,47765,47765,4.26e+04
23,24,11328,OK,1.62,80.8,0.184,2.07,0.2,0:258,0,11328,11328,5.83e+03
24,25,59374,OK,1.28,84,0.586,1.95,0.602,0:258,0,59374,59374,5.07e+04
25,26,11730,OK,2.58,86.8,0.134,2.8,0.151,0:258,0,11730,11730,6.25e+03
26,27,5882,OK,1.45,90.8,0.217,1.75,0.234,0:258,0,5882,5882,694
27,28,76921,OK,1.65,93.5,0.15,1.9,0.168,0:258,0,76921,76921,7.21e+04
28,29,83425,OK,1.25,96,0.201,1.53,0.218,0:258,0,83425,83425,8.39e+04
29,30,73954,OK,1.28,98.2,0.203,1.57,0.219,0:258,0,73954,73954,8.43e+04
30,31,37828,OK,1.25,100,0.201,1.58,0.217,0:258,0,37828,37828,2.51e+04
31,32,49743,OK,1.42,103,0.267,1.78,0.284,0:258,0,49743,49743,4.46e+04
32,33,16542,OK,1.7,105,0.218,2,0.235,0:258,0,16542,16542,6.25e+03
33,34,32319,OK,1.45,108,0.185,1.72,0.201,0:258,0,32319,32319,2.4e+04
34,35,37828,OK,1.6,111,0.0831,1.77,0.1,0:258,0,37828,37828,2.15e+04
35,36,25731,OK,1.25,113,0.232,1.63,0.249,0:258,0,25731,25731,1.19e+04
36,37,47765,OK,1.57,115,0.219,1.9,0.236,0:258,0,47765,47765,4.12e+04
37,38,92855,OK,1.62,118,0.184,1.92,0.2,0:258,0,92855,92855,9.43e+04
38,39,11730,ERR_TooSlowInstantaneous,0,121,0.217,1.16,0.233,0:258,0,11730,11730,N/A
39,40,11328,OK,1.77,123,0.286,2.13,0.301,0:258,0,11328,11328,3.47e+03
40,41,65321,OK,1.42,126,0.268,1.87,0.284,0:258,0,65321,65321,6.68e+04
41,42,76921,OK,1.33,129,0.199,1.63,0.216,0:258,0,76921,76921,8.4e+04
42,43,5882,OK,1.58,131,0.169,1.82,0.185,0:258,0,5882,5882,-1.25e+03
43,44,59374,OK,1.51,134,0.184,1.83,0.201,0:258,0,59374,59374,6.14e+04
44,45,83425,OK,1.85,136,0.219,2.2,0.235,0:258,0,83425,83425,8.04e+04
45,46,73954,OK,1.67,139,0.252,2.05,0.269,0:258,0,73954,73954,8.21e+04
46,6,25731,OK,2.17,143,0.234,2.48,0.25,0:258,0,25731,25731,1.32e+04
47,39,11730,OK,1.58,147,0.183,1.9,0.2,0:258,0,11730,11730,6.25e+03
