trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,OK,2.8,9.82,0.217,3.06,0.233,0,16_25,,0.64,0.426
2,3,120_553,OK,2.31,15.8,0.303,2.88,0.319,0,120_553,,0.217,0.604
3,4,28_109,OK,1.87,20.2,0.451,2.42,0.468,0,28_109,,0.256880734,0.236
4,5,4_5,ERR_FingerLifted,0,23.5,0.35,4,0.367,0,4_5,,0.8,N/A
5,6,11_12,OK,2.68,29.6,0.301,3.08,0.318,0,11_12,,0.916666667,0.854
6,7,11_35,OK,2.35,34.4,0.301,2.78,0.317,0,11_35,,0.314285714,0.299
7,8,3_8,OK,2.33,38.1,0.418,2.9,0.435,0,3_8,,0.375,0.407
8,9,7_15,OK,2.72,42.1,0.284,3.28,0.301,0,7_15,,0.466666667,0.583
9,10,1_9,OK,1.98,46.2,0.385,2.55,0.401,0,1_9,,0.111111111,0.104
10,11,10_19,OK,2.05,50,0.283,2.43,0.299,0,10_19,,0.526315789,0.562
11,12,703_891,OK,2.48,53.4,0.268,2.97,0.284,0,703_891,,0.789,0.807
12,13,1_17,OK,2.35,57.2,0.32,2.87,0.335,0,1_17,,0.058823529,0.0292
13,14,291_491,OK,2.9,61,0.452,3.43,0.469,0,291_491,,0.592668024,0.501
14,15,10_13,OK,2.21,65.3,0.302,2.75,0.319,0,10_13,,0.769230769,0.686
15,16,1_6,ERR_InvalidAngle,0,68.9,0.383,3.57,0.4,0,1_6,,0.166666667,N/A
16,17,1_9,OK,2.03,73.9,0.367,2.62,0.383,0,1_9,,0.111111111,0.0917
17,18,10_19,OK,2.15,77.3,0.384,2.72,0.4,0,10_19,,0.526315789,0.526
18,19,10_13,OK,3.9,81.2,0.383,4.37,0.4,0,10_13,,0.769230769,0.699
19,20,28_109,ERR_FingerLifted,0,86.4,0.268,3.95,0.284,0,28_109,,0.256880734,N/A
20,21,16_25,OK,3.68,91.5,0.286,4.13,0.301,0,16_25,,0.64,0.457
21,22,7_15,OK,2.67,96.7,0.152,3.07,0.169,0,7_15,,0.466666667,0.433
22,23,11_12,OK,2.01,101,0.186,2.38,0.201,0,11_12,,0.916666667,0.854
23,24,1_17,OK,2.28,104,0.167,2.57,0.184,0,1_17,,0.058823529,0.0139
24,25,120_553,OK,2.27,108,0.118,2.5,0.135,0,120_553,,0.217,0.161
25,26,11_35,OK,2.92,111,0.134,3.15,0.15,0,11_35,,0.314285714,0.342
26,27,1_6,OK,2.13,115,0.17,2.4,0.186,0,1_6,,0.166666667,0.169
27,28,4_5,OK,1.95,118,0.169,2.18,0.183,0,4_5,,0.8,0.799
28,29,3_8,OK,2.6,122,0.217,2.92,0.233,0,3_8,,0.375,0.414
29,30,291_491,OK,2.08,125,0.167,2.4,0.184,0,291_491,,0.592668024,0.529
30,31,703_891,OK,2.33,129,0.166,2.63,0.182,0,703_891,,0.789,0.729
31,32,1_17,OK,2.42,132,0.301,2.87,0.318,0,1_17,,0.058823529,0.0514
32,33,120_553,OK,2.22,136,0.283,2.68,0.3,0,120_553,,0.217,0.218
33,34,7_15,OK,2.48,140,0.15,2.78,0.166,0,7_15,,0.466666667,0.46
34,35,16_25,OK,2.85,144,0.184,3.15,0.2,0,16_25,,0.64,0.635
35,36,11_12,OK,2.55,148,0.417,3.08,0.434,0,11_12,,0.916666667,0.857
36,37,11_35,OK,2.87,152,0.217,3.23,0.233,0,11_35,,0.314285714,0.287
37,38,703_891,OK,1.82,156,0.167,2.15,0.183,0,703_891,,0.789,0.757
38,39,3_8,OK,1.97,159,0.2,2.28,0.216,0,3_8,,0.375,0.368
39,40,4_5,OK,2.35,162,0.101,2.58,0.116,0,4_5,,0.8,0.824
40,41,10_13,OK,2.1,166,0.149,2.37,0.166,0,10_13,,0.769230769,0.758
41,42,1_6,OK,1.53,169,0.134,1.72,0.15,0,1_6,,0.166666667,0.136
42,43,10_19,OK,2.97,172,0.117,3.2,0.133,0,10_19,,0.526315789,0.604
43,44,1_9,OK,1.53,176,0.184,1.85,0.201,0,1_9,,0.111111111,0.11
44,45,28_109,OK,2.32,179,0.234,2.68,0.25,0,28_109,,0.256880734,0.2
45,46,291_491,ERR_TooSlowInstantaneous,0,182,0.25,2.4,0.266,0,291_491,,0.592668024,N/A
46,16,1_6,OK,1.88,188,0.185,2.17,0.202,0,1_6,,0.166666667,0.118
47,20,28_109,OK,1.92,192,0.236,2.37,0.252,0,28_109,,0.256880734,0.196
48,46,291_491,OK,2.43,195,0.301,2.88,0.317,0,291_491,,0.592668024,0.518
49,5,4_5,OK,1.7,199,0.252,2.08,0.269,0,4_5,,0.8,0.832
