trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,11,10,ERR_TooSlowInstantaneous,0,252,2.12,5.94,2.13,0:258,0,10,10,N/A
2,2,1,OK,2.25,272,0.485,3.05,0.501,0:258,0,1,1,1.19
3,8,7,OK,2.33,281,0.437,3.09,0.452,0:258,0,7,7,7.39
4,7,6,OK,3.8,288,0.368,4.49,0.385,0:258,0,6,6,5.97
5,6,5,OK,1.63,294,0.618,2.56,0.634,0:258,0,5,5,5.35
6,5,4,OK,1.85,298,0.72,2.8,0.735,0:258,0,4,4,4.08
7,4,3,OK,1.67,302,0.451,2.43,0.467,0:258,0,3,3,2.62
8,9,8,ERR_TooManyCurves,0,305,0.599,2.02,0.615,0:258,0,8,8,N/A
9,11,10,OK,1.6,311,0.235,2.15,0.251,0:258,0,10,10,9.07
10,10,9,OK,1.62,314,0.384,2.31,0.4,0:258,0,9,9,8.33
11,3,2,OK,1.58,324,0.3,2.09,0.318,0:258,0,2,2,1.28
12,9,8,OK,1.63,328,0.268,2.22,0.285,0:258,0,8,8,8.44
