trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,ERR_TooSlowInstantaneous,0,10.3,0.667,1.43,0.684,0,16_25,,0.64,N/A
2,3,120_553,OK,1.6,14.5,0.336,2.25,0.352,0,120_553,,0.217,0.863
3,4,28_109,OK,1.93,17.7,0.385,2.4,0.402,0,28_109,,0.256880734,0.51
4,5,4_5,OK,1.6,20.9,0.151,1.95,0.167,0,4_5,,0.8,0.246
5,6,11_12,OK,1.5,23.6,0.217,1.9,0.233,0,11_12,,0.916666667,0.301
6,7,11_35,OK,1.3,26.3,0.186,1.67,0.202,0,11_35,,0.314285714,0.254
7,8,3_8,OK,1.22,28.6,0.15,1.55,0.166,0,3_8,,0.375,0.0972
8,9,7_15,OK,1.18,30.9,0.134,1.57,0.151,0,7_15,,0.466666667,0.176
9,10,1_9,OK,1.12,33.2,0.167,1.47,0.184,0,1_9,,0.111111111,0.0931
10,11,10_19,OK,1.33,35.5,0.134,1.77,0.15,0,10_19,,0.526315789,0.271
11,12,703_891,ERR_InvalidAngle,0,38.1,0.183,1.27,0.199,0,703_891,,0.789,N/A
12,13,1_17,ERR_TooSlowInstantaneous,0,40.7,0.135,0.91,0.151,0,1_17,,0.058823529,N/A
13,14,291_491,OK,1.97,42.8,0.168,2.45,0.182,0,291_491,,0.592668024,0.912
14,15,10_13,OK,1.35,46,0.184,1.73,0.201,0,10_13,,0.769230769,0.246
15,16,1_6,OK,1.37,48.4,0.184,1.77,0.202,0,1_6,,0.166666667,0.11
16,17,1_9,OK,1.13,51.1,0.185,1.58,0.201,0,1_9,,0.111111111,0.14
17,18,10_19,OK,1.23,53.5,0.1,1.53,0.117,0,10_19,,0.526315789,0.138
18,19,10_13,OK,1.2,56.5,0.233,1.6,0.251,0,10_13,,0.769230769,0.15
19,20,28_109,OK,1.22,60,0.2,1.63,0.217,0,28_109,,0.256880734,0.319
20,21,16_25,OK,1.13,62.6,0.2,1.53,0.217,0,16_25,,0.64,0.235
21,22,7_15,OK,1.27,64.9,0.15,1.62,0.167,0,7_15,,0.466666667,0.178
22,23,11_12,OK,1.1,67.4,0.203,1.5,0.219,0,11_12,,0.916666667,0.174
23,25,120_553,OK,1.2,70.6,0.386,1.83,0.402,0,120_553,,0.217,0.847
24,26,11_35,OK,1.08,73.3,0.0166,1.22,0.033,0,11_35,,0.314285714,0.188
25,27,1_6,OK,0.93,75.4,0.27,1.33,0.284,0,1_6,,0.166666667,0.108
26,28,4_5,OK,1,77.4,0.183,1.21,0.2,0,4_5,,0.8,0.135
27,30,291_491,ERR_FingerLifted,0,80.7,0.367,1.76,0.383,0,291_491,,0.592668024,N/A
28,31,703_891,ERR_FingerLifted,0,83.8,0.267,1.31,0.283,0,703_891,,0.789,N/A
29,32,1_17,ERR_FingerLifted,0,86.4,0.284,1.55,0.299,0,1_17,,0.058823529,N/A
30,33,120_553,ERR_FingerLifted,0,89.6,0.5,1.54,0.517,0,120_553,,0.217,N/A
31,34,7_15,ERR_FingerLifted,0,92.3,0.319,2,0.335,0,7_15,,0.466666667,N/A
32,35,16_25,ERR_FingerLifted,0,95.4,0.467,1.52,0.483,0,16_25,,0.64,N/A
33,36,11_12,ERR_FingerLifted,0,98.7,0.5,1.61,0.517,0,11_12,,0.916666667,N/A
