trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,11,10,ERR_TooSlowGlobal,0,14.7,1.75,5.2,1.77,0:258,0,10,10,N/A
2,3,2,OK,3.83,25,0.653,4.58,0.67,0:258,0,2,2,1.31
3,5,4,ERR_FingerLifted,0,39.2,0.135,3.49,0.151,0:258,0,4,4,N/A
4,5,4,OK,2.03,49.1,0.486,2.78,0.502,0:258,0,4,4,2.5
5,9,8,OK,2.12,54.1,0.486,2.78,0.502,0:258,0,8,8,8
6,7,6,OK,2.11,58.1,0.369,2.65,0.385,0:258,0,6,6,5.43
7,2,1,OK,1.82,61.8,0.305,2.25,0.319,0:258,0,1,1,0.514
8,11,10,OK,1.77,65,0.252,2.3,0.269,0:258,0,10,10,10.1
9,8,7,OK,1.67,68.2,0.269,2.22,0.287,0:258,0,7,7,7.9
10,10,9,OK,2.01,71.3,0.202,2.45,0.219,0:258,0,9,9,9.46
11,4,3,OK,2.06,74.6,0.235,2.47,0.253,0:258,0,3,3,2.44
12,6,5,OK,1.58,77.8,0.283,2.12,0.3,0:258,0,5,5,5
