trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,OK,2.1,10.2,0.183,2.33,0.2,0,16_25,,0.64,0.456
2,3,120_553,OK,3,13.8,0.151,3.28,0.167,0,120_553,,0.217,0.375
3,4,28_109,OK,2.3,18.1,0.15,2.68,0.167,0,28_109,,0.256880734,0.264
4,5,4_5,OK,2.7,22.1,0.135,3.12,0.149,0,4_5,,0.8,0.446
5,6,11_12,OK,2.3,26.1,0.2,2.73,0.217,0,11_12,,0.916666667,0.84
6,7,11_35,OK,2.12,29.7,0.167,2.5,0.183,0,11_35,,0.314285714,0.554
7,8,3_8,OK,1.7,32.9,0.117,2.07,0.134,0,3_8,,0.375,0.394
8,9,7_15,OK,2.72,36.8,0.3,3.27,0.317,0,7_15,,0.466666667,0.521
9,10,1_9,OK,2.33,41,0.158,2.61,0.174,0,1_9,,0.111111111,0.165
10,11,10_19,OK,2.98,44.7,0.017,3.25,0.0334,0,10_19,,0.526315789,0.524
11,12,703_891,OK,2.3,48.7,0.1,2.65,0.117,0,703_891,,0.789,0.762
12,13,1_17,OK,2.18,53.1,0.267,2.63,0.284,0,1_17,,0.058823529,0.146
13,14,291_491,OK,4.33,56.8,0.15,4.75,0.167,0,291_491,,0.592668024,0.532
14,15,10_13,OK,2.2,62.2,0.167,2.53,0.184,0,10_13,,0.769230769,0.694
15,16,1_6,OK,1.88,65.6,0.0168,2.15,0.0334,0,1_6,,0.166666667,0.268
16,17,1_9,OK,1.82,68.8,0.017,2.1,0.0335,0,1_9,,0.111111111,0.129
17,18,10_19,OK,2.05,71.9,0.117,2.45,0.133,0,10_19,,0.526315789,0.521
18,19,10_13,OK,2.03,76.5,0.333,2.53,0.35,0,10_13,,0.769230769,0.34
19,20,28_109,OK,2.13,81.2,0.383,2.73,0.4,0,28_109,,0.256880734,0.249
20,21,16_25,OK,2.63,85,0.283,3.1,0.3,0,16_25,,0.64,0.487
21,22,7_15,OK,1.73,88.9,0.25,2.15,0.266,0,7_15,,0.466666667,0.519
22,23,11_12,OK,1.85,91.9,0.217,2.38,0.233,0,11_12,,0.916666667,0.839
23,24,1_17,OK,1.82,95.1,0.167,2.22,0.184,0,1_17,,0.058823529,0.146
24,25,120_553,OK,2.15,98.3,0.1,2.55,0.116,0,120_553,,0.217,0.322
25,26,11_35,OK,2.22,102,0.1,2.47,0.117,0,11_35,,0.314285714,0.271
26,27,1_6,OK,1.85,105,0.134,2.08,0.15,0,1_6,,0.166666667,0.125
27,28,4_5,OK,1.85,108,0.234,2.39,0.25,0,4_5,,0.8,0.807
28,29,3_8,OK,1.97,111,0.151,2.3,0.167,0,3_8,,0.375,0.432
29,30,291_491,OK,2.38,114,0.184,2.8,0.2,0,291_491,,0.592668024,0.515
30,31,703_891,OK,1.83,119,0.3,2.42,0.317,0,703_891,,0.789,0.794
31,33,120_553,OK,1.93,123,0.233,2.33,0.25,0,120_553,,0.217,0.326
32,34,7_15,OK,2.68,127,0.217,3.21,0.233,0,7_15,,0.466666667,0.357
33,35,16_25,OK,2.2,131,0.1,2.52,0.117,0,16_25,,0.64,0.468
34,36,11_12,OK,2.1,134,0.25,2.62,0.267,0,11_12,,0.916666667,0.867
35,37,11_35,OK,2.38,138,0.233,2.87,0.25,0,11_35,,0.314285714,0.364
36,38,703_891,OK,2.05,141,0.134,2.42,0.151,0,703_891,,0.789,0.811
37,39,3_8,OK,3.18,145,0.134,3.6,0.15,0,3_8,,0.375,0.471
38,40,4_5,OK,2.37,149,0.0169,2.67,0.0332,0,4_5,,0.8,0.854
39,41,10_13,OK,2.57,154,0.4,3.28,0.417,0,10_13,,0.769230769,0.717
40,42,1_6,OK,2.2,158,0.266,2.68,0.283,0,1_6,,0.166666667,0.14
41,43,10_19,OK,2.17,161,0.283,2.68,0.3,0,10_19,,0.526315789,0.504
42,44,1_9,OK,2.27,165,0.266,2.75,0.283,0,1_9,,0.111111111,0.176
43,45,28_109,OK,2.07,169,0.217,2.53,0.233,0,28_109,,0.256880734,0.133
44,46,291_491,OK,1.78,173,0.3,2.2,0.317,0,291_491,,0.592668024,0.449
45,32,1_17,OK,1.7,176,0.284,2.1,0.3,0,1_17,,0.058823529,0.115
