trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,0.323,OK,2.55,11.7,0.0674,2.92,0.0836,0:258,0,0.323,0.323,0.344
2,3,0.739,OK,1.55,16.3,0.436,2.23,0.452,0:258,0,0.739,0.739,0.754
3,4,0.506,OK,1.32,19.5,0.384,1.93,0.401,0:258,0,0.506,0.506,0.514
4,5,0.167,OK,5.45,22.3,0.418,6.18,0.434,0:258,0,0.167,0.167,0.121
5,6,0.111,OK,2,30.8,0.0349,2.23,0.0506,0:258,0,0.111,0.111,0.0292
6,7,0.059,OK,1.58,34,0.419,2.28,0.436,0:258,0,0.059,0.059,0.0875
7,8,0.834,OK,1.88,37.7,0.42,2.57,0.434,0:258,0,0.834,0.834,0.908
8,9,0.769,OK,1.33,41.2,0.468,2.04,0.485,0:258,0,0.769,0.769,0.746
9,10,0.378,OK,1.88,46,0.417,2.47,0.435,0:258,0,0.378,0.378,0.307
10,11,0.257,OK,1.52,50,0.0506,1.7,0.0669,0:258,0,0.257,0.257,0.165
11,12,0.117,OK,1.95,53.2,0.0998,2.26,0.116,0:258,0,0.117,0.117,0.107
12,13,0.593,OK,1.35,57.8,0.268,1.82,0.285,0:258,0,0.593,0.593,0.549
13,14,0.475,OK,1.57,64.5,0.0174,1.75,0.0335,0:258,0,0.475,0.475,0.357
14,15,0.653,OK,1.41,69,0.335,1.86,0.351,0:258,0,0.653,0.653,0.582
15,16,0.928,OK,1.6,73.5,0.302,2.03,0.319,0:258,0,0.928,0.928,0.911
16,17,0.257,OK,1.45,77.9,0.285,1.93,0.301,0:258,0,0.257,0.257,0.142
17,18,0.475,OK,1.4,82.2,0.25,1.77,0.266,0:258,0,0.475,0.475,0.403
18,19,0.506,OK,1.53,85.5,0.0338,1.65,0.0503,0:258,0,0.506,0.506,0.522
19,20,0.653,OK,1.3,89.7,0.285,1.77,0.301,0:258,0,0.653,0.653,0.582
20,21,0.593,OK,1.27,92.9,0.0342,1.47,0.0505,0:258,0,0.593,0.593,0.499
21,22,0.167,OK,1.67,95.9,0.119,2.02,0.134,0:258,0,0.167,0.167,0.117
22,23,0.111,OK,1.45,99.5,0.0344,1.67,0.0512,0:258,0,0.111,0.111,0.0611
23,24,0.834,OK,1.56,104,0.319,2.03,0.335,0:258,0,0.834,0.834,0.824
24,25,0.739,OK,1.45,112,0.369,1.92,0.385,0:258,0,0.739,0.739,0.756
25,26,0.059,OK,1.72,116,0.335,2.2,0.351,0:258,0,0.059,0.059,0.0681
26,27,0.378,OK,1.35,121,0.232,1.73,0.25,0:258,0,0.378,0.378,0.279
27,28,0.117,ERR_TooSlowGlobal,0,125,0.0169,0.324,0.0336,0:258,0,0.117,0.117,N/A
28,29,0.769,OK,1.36,129,0.319,1.83,0.336,0:258,0,0.769,0.769,0.731
29,30,0.928,OK,1.32,134,0.284,1.8,0.3,0:258,0,0.928,0.928,0.915
30,31,0.323,OK,1.5,138,0.352,2,0.368,0:258,0,0.323,0.323,0.324
31,32,0.167,OK,1.43,143,0.37,1.93,0.384,0:258,0,0.167,0.167,0.0861
32,33,0.111,OK,1.4,147,0.0679,1.65,0.0835,0:258,0,0.111,0.111,0.0792
33,34,0.323,OK,1.2,150,0.051,1.41,0.0665,0:258,0,0.323,0.323,0.312
34,35,0.653,OK,1.25,153,0.0513,1.42,0.0673,0:258,0,0.653,0.653,0.604
35,36,0.769,OK,1.28,156,0.0999,1.48,0.116,0:258,0,0.769,0.769,0.787
36,37,0.257,OK,1.22,159,0.0325,1.4,0.0488,0:258,0,0.257,0.257,0.168
37,38,0.378,OK,1.53,167,0.083,1.73,0.0985,0:258,0,0.378,0.378,0.257
38,39,0.593,OK,1.27,171,0.386,1.75,0.402,0:258,0,0.593,0.593,0.526
39,40,0.059,OK,1.43,174,0.114,1.7,0.131,0:258,0,0.059,0.059,0.0764
40,41,0.475,OK,1.13,178,0.0512,1.33,0.0667,0:258,0,0.475,0.475,0.333
41,42,0.739,ERR_FingerLifted,0,181,0.0522,2.9,0.0689,0:258,0,0.739,0.739,N/A
42,43,0.928,OK,1.42,188,0.084,1.67,0.0997,0:258,0,0.928,0.928,0.944
43,44,0.506,OK,1.43,193,0.0172,1.55,0.0337,0:258,0,0.506,0.506,0.54
44,45,0.834,OK,1.17,196,0.0506,1.37,0.0686,0:258,0,0.834,0.834,0.796
45,46,0.117,OK,2.31,200,0.236,2.77,0.253,0:258,0,0.117,0.117,0.132
46,28,0.117,OK,1.32,204,0.0174,1.48,0.0338,0:258,0,0.117,0.117,0.0708
47,42,0.739,OK,1.58,208,0.0522,1.7,0.0676,0:258,0,0.739,0.739,0.765
