trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,8,7,OK,0.486,16.9,0.235,1.04,0.252,0:258,0,7,7,6.04
2,6,5,OK,1.09,20.1,0.633,1.78,0.649,0:258,0,5,5,5.04
3,5,4,OK,0.317,30.9,0.367,0.784,0.383,0:258,0,4,4,4.78
4,11,10,ERR_InvalidAngle,0,35.1,0.37,1.35,0.384,0:258,0,10,10,N/A
5,11,10,ERR_FingerLifted,0,44.3,0.819,2.26,0.835,0:258,0,10,10,N/A
6,10,9,OK,0.316,47.5,0.186,0.684,0.201,0:258,0,9,9,10
7,7,6,OK,0.232,49.3,0.202,0.651,0.218,0:258,0,6,6,8.25
8,4,3,OK,0.349,50.7,0.251,0.8,0.266,0:258,0,3,3,6.03
9,9,8,OK,0.348,53.5,0.303,0.917,0.318,0:258,0,8,8,3.61
10,11,10,OK,0.225,64.5,0.468,1.03,0.485,0:258,0,10,10,7.62
11,2,1,OK,0.499,66.4,0.352,1.16,0.369,0:258,0,1,1,9.25
12,3,2,OK,0.517,68.8,0.42,1.02,0.435,0:258,0,2,2,3.01
