trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,0.52,OK,1.3,11.2,0.333,1.87,0.35,0:258,0,0.52,0.52,0.596
2,3,0.11,OK,1.28,14.1,0.15,1.58,0.167,0:258,0,0.11,0.11,0.171
3,4,0.08,OK,1.58,16.8,0.184,1.9,0.2,0:258,0,0.08,0.08,0.0264
4,5,0.68,OK,2,19.8,0.184,2.25,0.2,0:258,0,0.68,0.68,0.764
5,6,0.47,OK,1.65,23.2,0.167,1.97,0.184,0:258,0,0.47,0.47,0.421
6,7,0.61,OK,1.87,26.4,0.134,2.08,0.15,0:258,0,0.61,0.61,0.613
7,8,0.89,OK,1.47,30.1,0.433,2.08,0.45,0:258,0,0.89,0.89,0.878
8,9,0.98,OK,1.48,33.2,0.183,1.85,0.2,0:258,0,0.98,0.98,0.969
9,10,0.17,ERR_FingerLifted,0,36.1,0.15,3.13,0.167,0:258,0,0.17,0.17,N/A
10,11,0.43,OK,1.5,41.4,0.136,1.9,0.158,0:258,0,0.43,0.43,0.471
11,12,0.92,OK,1.62,44.5,0.0668,1.97,0.0831,0:258,0,0.92,0.92,0.897
12,13,0.03,OK,1.95,47.4,0.167,2.33,0.183,0:258,0,0.03,0.03,0.0139
13,14,0.32,OK,2.57,50.9,0.167,2.98,0.183,0:258,0,0.32,0.32,0.342
14,15,0.24,OK,2.07,55.4,0.383,2.72,0.4,0:258,0,0.24,0.24,0.186
15,16,0.56,OK,2.12,59.3,0.217,2.47,0.233,0:258,0,0.56,0.56,0.59
16,17,0.85,OK,1.97,62.8,0.167,2.37,0.184,0:258,0,0.85,0.85,0.842
17,18,0.77,OK,1.63,66.6,0.151,2.05,0.167,0:258,0,0.77,0.77,0.756
18,19,0.73,OK,1.43,69.6,0.184,1.87,0.2,0:258,0,0.73,0.73,0.718
19,20,0.35,OK,1.88,72.4,0.184,2.23,0.201,0:258,0,0.35,0.35,0.303
20,21,0.26,OK,1.97,75.7,0.2,2.4,0.217,0:258,0,0.26,0.26,0.193
21,22,0.98,OK,1.87,79.2,0.3,2.3,0.317,0:258,0,0.98,0.98,0.972
22,23,0.17,OK,2.37,82.5,0.2,2.8,0.217,0:258,0,0.17,0.17,0.0833
23,24,0.26,OK,1.73,86.4,0.234,2.17,0.25,0:258,0,0.26,0.26,0.192
24,25,0.73,OK,2.97,89.9,0.15,3.3,0.167,0:258,0,0.73,0.73,0.786
25,26,0.08,OK,2.07,94.2,0.184,2.52,0.2,0:258,0,0.08,0.08,0.0181
26,27,0.03,OK,1.9,98,0.366,2.5,0.383,0:258,0,0.03,0.03,-0.00833
27,28,0.35,OK,2.35,102,0.267,2.82,0.283,0:258,0,0.35,0.35,0.264
28,29,0.68,OK,2.35,106,0.4,3.03,0.416,0:258,0,0.68,0.68,0.604
29,30,0.47,OK,1.77,111,0.167,2.08,0.183,0:258,0,0.47,0.47,0.408
30,31,0.32,OK,1.73,114,0.35,2.25,0.367,0:258,0,0.32,0.32,0.281
31,32,0.85,OK,2.16,117,0.234,2.57,0.251,0:258,0,0.85,0.85,0.872
32,33,0.92,OK,1.88,121,0.167,2.22,0.184,0:258,0,0.92,0.92,0.969
33,34,0.56,OK,2.43,124,0.134,2.73,0.151,0:258,0,0.56,0.56,0.55
34,35,0.24,OK,2.43,128,0.283,2.83,0.3,0:258,0,0.24,0.24,0.242
35,36,0.52,OK,2.32,133,0.234,2.68,0.25,0:258,0,0.52,0.52,0.528
36,37,0.43,OK,1.77,137,0.217,2.17,0.234,0:258,0,0.43,0.43,0.431
37,38,0.77,OK,2.32,140,0.15,2.64,0.166,0:258,0,0.77,0.77,0.881
38,39,0.61,OK,2.12,144,0.184,2.5,0.2,0:258,0,0.61,0.61,0.711
39,40,0.89,OK,2.25,147,0.117,2.57,0.133,0:258,0,0.89,0.89,0.894
40,41,0.11,OK,2.08,151,0.203,2.43,0.218,0:258,0,0.11,0.11,0.0278
41,42,0.35,OK,2.08,154,0.217,2.4,0.233,0:258,0,0.35,0.35,0.25
42,43,0.77,OK,2.18,158,0.135,2.42,0.15,0:258,0,0.77,0.77,0.86
43,44,0.52,OK,1.77,161,0.15,2.07,0.167,0:258,0,0.52,0.52,0.581
44,45,0.85,OK,2.1,164,0.151,2.55,0.167,0:258,0,0.85,0.85,0.869
45,46,0.73,OK,1.75,168,0.183,2.15,0.199,0:258,0,0.73,0.73,0.808
46,47,0.08,OK,2.38,171,0.2,2.87,0.217,0:258,0,0.08,0.08,-0.00833
47,48,0.61,ERR_TooSlowInstantaneous,0,175,0.134,2.1,0.15,0:258,0,0.61,0.61,N/A
48,49,0.17,OK,2.03,180,0.117,2.32,0.133,0:258,0,0.17,0.17,0.0708
49,50,0.03,OK,1.88,183,0.218,2.28,0.233,0:258,0,0.03,0.03,-0.0111
50,51,0.47,OK,2.03,187,0.117,2.23,0.133,0:258,0,0.47,0.47,0.474
51,52,0.32,OK,1.33,190,0.168,1.65,0.183,0:258,0,0.32,0.32,0.317
52,53,0.26,OK,2.16,193,0.2,2.51,0.217,0:258,0,0.26,0.26,0.267
53,54,0.43,OK,1.78,197,0.15,2.03,0.167,0:258,0,0.43,0.43,0.46
54,55,0.68,OK,1.62,200,0.18,1.85,0.199,0:258,0,0.68,0.68,0.657
55,56,0.56,OK,2.05,202,0.201,2.33,0.218,0:258,0,0.56,0.56,0.547
56,57,0.11,OK,2.03,206,0.116,2.28,0.133,0:258,0,0.11,0.11,0.0417
57,58,0.92,OK,1.83,209,0.133,2.2,0.15,0:258,0,0.92,0.92,0.915
58,59,0.98,OK,1.78,212,0.149,2.15,0.166,0:258,0,0.98,0.98,0.975
59,60,0.24,OK,1.95,215,0.0667,2.2,0.0832,0:258,0,0.24,0.24,0.222
60,61,0.89,OK,2.83,218,0.149,3.17,0.167,0:258,0,0.89,0.89,0.908
61,10,0.17,OK,1.65,223,0.167,1.97,0.183,0:258,0,0.17,0.17,0.0917
