trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,OK,1.53,11.2,0.0189,1.8,0.0341,0,16_25,,0.64,0.607
2,3,120_553,OK,2.51,14.9,0.188,2.82,0.202,0,120_553,,0.217,0.362
3,4,28_109,OK,1.65,18.6,0.368,2.12,0.384,0,28_109,,0.256880734,0.164
4,5,4_5,OK,1.62,21.4,0.268,2,0.285,0,4_5,,0.8,0.736
5,6,11_12,OK,1.36,24.2,0.236,1.77,0.253,0,11_12,,0.916666667,0.957
6,8,3_8,OK,1.65,27.9,0.17,1.92,0.183,0,3_8,,0.375,0.367
7,9,7_15,ERR_TooSlowInstantaneous,0,30.5,0.202,2.6,0.218,0,7_15,,0.466666667,N/A
8,10,1_9,OK,1.28,34.2,0.402,1.89,0.419,0,1_9,,0.111111111,0.151
9,11,10_19,OK,1.86,36.8,0.168,2.08,0.185,0,10_19,,0.526315789,0.576
10,12,703_891,OK,2.05,39.6,0.235,2.4,0.251,0,703_891,,0.789,0.762
11,13,1_17,OK,1.25,42.6,0.152,1.48,0.169,0,1_17,,0.058823529,0.0625
12,14,291_491,OK,1.48,44.9,0.185,1.69,0.202,0,291_491,,0.592668024,0.493
13,15,10_13,OK,1.75,48.4,0.268,2.1,0.285,0,10_13,,0.769230769,0.757
14,16,1_6,OK,0.932,52.3,0.252,1.27,0.269,0,1_6,,0.166666667,0.0736
15,17,1_9,OK,1.8,54.4,0.316,2.2,0.333,0,1_9,,0.111111111,0.0181
16,18,10_19,OK,1.46,57.3,0.202,1.73,0.219,0,10_19,,0.526315789,0.568
17,19,10_13,OK,1.65,59.7,0.301,2.02,0.318,0,10_13,,0.769230769,0.785
18,20,28_109,OK,1.23,62.3,0.185,1.5,0.201,0,28_109,,0.256880734,0.199
19,21,16_25,ERR_FingerLifted,0,64.5,0.0171,1.21,0.0335,0,16_25,,0.64,N/A
20,22,7_15,OK,1.61,67.3,0.269,2.05,0.285,0,7_15,,0.466666667,0.479
21,23,11_12,OK,2.1,70.1,0.185,2.45,0.201,0,11_12,,0.916666667,0.818
22,24,1_17,OK,1.03,73.2,0.266,1.43,0.283,0,1_17,,0.058823529,0.0736
23,25,120_553,ERR_InvalidAngle,0,75.4,0.2,2.69,0.216,0,120_553,,0.217,N/A
24,26,11_35,OK,1.23,79.2,0.369,1.82,0.384,0,11_35,,0.314285714,0.468
25,27,1_6,OK,1.02,81.6,0.32,1.5,0.335,0,1_6,,0.166666667,0.0806
26,28,4_5,OK,2.01,83.9,0.202,2.32,0.218,0,4_5,,0.8,0.0736
27,29,3_8,ERR_TooSlowInstantaneous,0,87,0.184,1.79,0.199,0,3_8,,0.375,N/A
28,30,291_491,OK,1.02,90.1,0.335,1.41,0.351,0,291_491,,0.592668024,0.621
29,31,703_891,OK,1.85,92.2,0.186,2.12,0.201,0,703_891,,0.789,0.508
30,32,1_17,OK,1.1,96.1,0.25,1.5,0.267,0,1_17,,0.058823529,0.0444
31,33,120_553,OK,1.53,98.4,0.251,1.88,0.267,0,120_553,,0.217,0.224
32,34,7_15,OK,1.75,101,0.2,2.03,0.217,0,7_15,,0.466666667,0.499
33,35,16_25,OK,2.45,104,0.167,2.68,0.183,0,16_25,,0.64,0.524
34,37,11_35,OK,1.85,107,0.035,2.12,0.0514,0,11_35,,0.314285714,0.271
35,38,703_891,ERR_TooSlowInstantaneous,0,110,0.303,2.8,0.318,0,703_891,,0.789,N/A
36,40,4_5,OK,1.58,116,0.335,2.07,0.351,0,4_5,,0.8,0.839
37,41,10_13,OK,1.18,118,0.201,1.48,0.218,0,10_13,,0.769230769,0.753
38,42,1_6,OK,0.982,121,0.169,1.28,0.185,0,1_6,,0.166666667,0.0667
39,43,10_19,OK,1.39,122,0.151,1.62,0.168,0,10_19,,0.526315789,0.581
40,45,28_109,OK,1.33,126,0.317,1.77,0.334,0,28_109,,0.256880734,0.207
41,46,291_491,OK,1.52,128,0.252,1.87,0.27,0,291_491,,0.592668024,0.517
42,7,11_35,OK,1.52,131,0.168,1.82,0.185,0,11_35,,0.314285714,0.322
43,9,7_15,OK,1.8,135,0.335,2.16,0.352,0,7_15,,0.466666667,0.493
44,21,16_25,OK,1.85,137,0.186,2.15,0.201,0,16_25,,0.64,0.594
45,25,120_553,OK,1.35,140,0.136,1.62,0.152,0,120_553,,0.217,0.294
46,29,3_8,OK,1.63,142,0.185,1.95,0.203,0,3_8,,0.375,0.249
47,36,11_12,OK,1.5,145,0.219,1.83,0.234,0,11_12,,0.916666667,0.874
48,38,703_891,OK,1.45,148,0.169,1.75,0.185,0,703_891,,0.789,0.796
49,39,3_8,OK,1.5,150,0.266,1.92,0.283,0,3_8,,0.375,0.25
50,44,1_9,OK,1.13,153,0.102,1.35,0.118,0,1_9,,0.111111111,0.0306
