trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,0.52,OK,1.4,13,0.319,1.83,0.335,0:258,0,0.52,0.52,0.487
2,3,0.11,OK,1.7,15.9,0.12,1.9,0.136,0:258,0,0.11,0.11,0.167
3,4,0.08,OK,1.45,19.8,0.186,1.75,0.203,0:258,0,0.08,0.08,0.151
4,5,0.68,OK,1.95,22.8,0.118,2.23,0.136,0:258,0,0.68,0.68,0.635
5,6,0.47,OK,1.27,26.7,0.103,1.5,0.118,0:258,0,0.47,0.47,0.469
6,7,0.61,OK,1.33,29.1,0.136,1.59,0.151,0:258,0,0.61,0.61,0.567
7,8,0.89,OK,1.75,31.9,0.17,2.13,0.185,0:258,0,0.89,0.89,0.887
8,9,0.98,OK,1.45,34.9,0.101,1.75,0.118,0:258,0,0.98,0.98,0.992
9,10,0.17,OK,1.68,37.6,0.135,1.97,0.152,0:258,0,0.17,0.17,0.197
10,11,0.43,OK,1.56,40.5,0.12,1.85,0.135,0:258,0,0.43,0.43,0.412
11,12,0.92,OK,1.6,43.2,0.085,1.85,0.102,0:258,0,0.92,0.92,0.954
12,13,0.03,OK,1.77,45.9,0.085,1.98,0.102,0:258,0,0.03,0.03,0.0431
13,14,0.32,OK,1.47,50.2,0.135,1.75,0.152,0:258,0,0.32,0.32,0.274
14,15,0.24,OK,1.4,53,0.169,1.68,0.185,0:258,0,0.24,0.24,0.128
15,16,0.56,OK,1.17,55.5,0.133,1.37,0.15,0:258,0,0.56,0.56,0.526
16,17,0.85,OK,1.43,57.8,0.0667,1.65,0.0821,0:258,0,0.85,0.85,0.886
17,18,0.77,OK,1.39,60.3,0.0837,1.62,0.101,0:258,0,0.77,0.77,0.76
18,19,0.73,OK,1.21,62.8,0.119,1.5,0.135,0:258,0,0.73,0.73,0.749
19,20,0.35,OK,1.72,65.3,0.136,2.07,0.151,0:258,0,0.35,0.35,0.292
20,21,0.26,OK,1.37,68.4,0.0843,1.59,0.101,0:258,0,0.26,0.26,0.157
21,22,0.98,OK,1.37,70.8,0.0853,1.67,0.101,0:258,0,0.98,0.98,0.974
22,23,0.17,OK,1.82,73.4,0.0855,2.03,0.101,0:258,0,0.17,0.17,0.16
23,24,0.26,OK,1.73,76.4,0.119,2.03,0.133,0:258,0,0.26,0.26,0.139
24,25,0.73,ERR_StartedSideways,0,79.6,-1,0.0857,-1,0:258,0,0.73,0.73,N/A
25,26,0.08,OK,2.61,84.1,0.051,2.85,0.0667,0:258,0,0.08,0.08,0.133
26,27,0.03,ERR_TooSlowInstantaneous,0,88,0.218,1.6,0.234,0:258,0,0.03,0.03,N/A
27,28,0.35,OK,1.52,96.7,0.185,1.93,0.202,0:258,0,0.35,0.35,0.218
28,29,0.68,OK,1.62,99.7,0.186,2.05,0.202,0:258,0,0.68,0.68,0.631
29,30,0.47,OK,1.38,103,0.154,1.73,0.17,0:258,0,0.47,0.47,0.453
30,31,0.32,OK,1.57,105,0.167,1.93,0.184,0:258,0,0.32,0.32,0.251
31,32,0.85,OK,1.8,108,0.185,2.17,0.201,0:258,0,0.85,0.85,0.868
32,33,0.92,OK,1.32,111,0.118,1.57,0.134,0:258,0,0.92,0.92,0.985
33,34,0.56,OK,1.13,114,0.101,1.35,0.118,0:258,0,0.56,0.56,0.525
34,35,0.24,OK,1.28,116,0.186,1.62,0.203,0:258,0,0.24,0.24,0.158
35,36,0.52,OK,1,118,0.0668,1.17,0.0826,0:258,0,0.52,0.52,0.524
36,37,0.43,OK,1.05,122,0.151,1.3,0.168,0:258,0,0.43,0.43,0.412
37,38,0.77,OK,1.18,124,0.169,1.52,0.185,0:258,0,0.77,0.77,0.768
38,39,0.61,OK,1.14,127,0.101,1.38,0.118,0:258,0,0.61,0.61,0.682
39,40,0.89,OK,1.2,129,0.184,1.58,0.201,0:258,0,0.89,0.89,0.876
