trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,10,9,OK,5.55,14.5,3.13,9.01,3.15,0:258,0,9,9,9.14
2,3,2,OK,2.58,35.4,0.885,3.79,0.902,0:258,0,2,2,1.78
3,11,10,OK,1.77,41.2,0.684,2.75,0.701,0:258,0,10,10,9.99
4,4,3,OK,1.86,46.8,0.618,2.7,0.635,0:258,0,3,3,2.06
5,6,5,OK,1.56,50.7,0.269,2.13,0.284,0:258,0,5,5,5.06
6,8,7,OK,1.52,54,0.201,1.92,0.217,0:258,0,7,7,8.11
7,7,6,OK,1.63,56.7,0.216,1.95,0.232,0:258,0,6,6,6.33
8,5,4,OK,1.55,59.8,0.269,2.15,0.286,0:258,0,4,4,2.33
9,2,1,OK,1.58,63.1,0.217,2.07,0.232,0:258,0,1,1,0.597
10,9,8,OK,1.65,66.3,0.286,1.93,0.301,0:258,0,8,8,7.54
