trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,OK,3.23,9.87,0.417,3.95,0.434,0,16_25,,0.64,0.678
2,3,120_553,ERR_TooSlowInstantaneous,0,18.8,0.367,2.89,0.384,0,120_553,,0.217,N/A
3,4,28_109,OK,1.8,23.9,0.484,2.5,0.501,0,28_109,,0.256880734,0.169
4,6,11_12,OK,2,27.9,0.0509,2.3,0.0669,0,11_12,,0.916666667,0.926
5,7,11_35,ERR_TooSlowInstantaneous,0,31.2,0.318,2.58,0.335,0,11_35,,0.314285714,N/A
6,9,7_15,OK,2.23,37.2,0.403,2.88,0.418,0,7_15,,0.466666667,0.381
7,10,1_9,OK,2.18,41.3,0.386,2.82,0.402,0,1_9,,0.111111111,0.146
8,11,10_19,ERR_TooSlowInstantaneous,0,45,0.433,3.43,0.449,0,10_19,,0.526315789,N/A
9,12,703_891,OK,2.25,50,0.35,2.8,0.367,0,703_891,,0.789,0.717
10,13,1_17,OK,1.92,53.6,0.333,2.43,0.35,0,1_17,,0.058823529,0.272
11,14,291_491,OK,2.1,57.1,0.417,2.68,0.433,0,291_491,,0.592668024,0.512
12,15,10_13,OK,2.4,60.7,0.385,2.98,0.401,0,10_13,,0.769230769,0.407
13,16,1_6,OK,2.07,64.7,0.419,2.65,0.435,0,1_6,,0.166666667,0.0444
14,18,10_19,OK,2.46,69.6,0.419,3.12,0.435,0,10_19,,0.526315789,0.637
15,19,10_13,OK,3.1,73.7,0.318,3.65,0.333,0,10_13,,0.769230769,0.832
16,20,28_109,OK,2.33,78.9,0.367,3,0.384,0,28_109,,0.256880734,0.218
17,21,16_25,OK,3.33,82.8,0.35,3.93,0.366,0,16_25,,0.64,0.554
18,22,7_15,OK,2.15,87.7,0.519,2.9,0.534,0,7_15,,0.466666667,0.467
19,23,11_12,OK,2.4,91.5,0.468,3.08,0.484,0,11_12,,0.916666667,0.946
20,24,1_17,OK,1.92,95.5,0.485,2.53,0.501,0,1_17,,0.058823529,0.0361
21,25,120_553,OK,2.15,99,0.534,2.9,0.551,0,120_553,,0.217,0.165
22,26,11_35,ERR_TooSlowInstantaneous,0,103,0.334,2.47,0.351,0,11_35,,0.314285714,N/A
23,27,1_6,OK,1.6,107,0.534,2.3,0.551,0,1_6,,0.166666667,0.0792
24,28,4_5,OK,2.28,110,0.386,2.83,0.402,0,4_5,,0.8,0.906
25,29,3_8,OK,2.44,115,0.616,3.2,0.633,0,3_8,,0.375,0.39
26,30,291_491,OK,1.98,119,0.335,2.5,0.351,0,291_491,,0.592668024,0.554
27,31,703_891,OK,2.52,122,0.3,3.02,0.315,0,703_891,,0.789,0.757
28,32,1_17,OK,1.93,126,0.467,2.57,0.484,0,1_17,,0.058823529,0.0736
29,33,120_553,OK,2.07,130,0.351,2.55,0.368,0,120_553,,0.217,0.0583
30,35,16_25,OK,3.3,135,0.401,3.88,0.417,0,16_25,,0.64,0.41
31,36,11_12,OK,3.9,140,0.385,4.48,0.402,0,11_12,,0.916666667,0.936
32,37,11_35,OK,2.35,145,0.235,2.75,0.251,0,11_35,,0.314285714,0.308
33,38,703_891,OK,2.53,149,0.266,3.03,0.282,0,703_891,,0.789,0.842
34,39,3_8,OK,3.63,153,0.354,4.13,0.367,0,3_8,,0.375,0.428
35,40,4_5,OK,2.3,158,0.385,2.83,0.4,0,4_5,,0.8,0.904
36,41,10_13,OK,2.35,162,0.285,2.77,0.301,0,10_13,,0.769230769,0.797
37,42,1_6,OK,1.75,165,0.235,2.12,0.251,0,1_6,,0.166666667,0.0903
38,43,10_19,OK,3,168,0.235,3.37,0.25,0,10_19,,0.526315789,0.772
39,44,1_9,OK,1.98,173,0.2,2.32,0.215,0,1_9,,0.111111111,0.0417
40,45,28_109,OK,2.58,176,0.167,2.9,0.184,0,28_109,,0.256880734,0.196
41,46,291_491,OK,2.88,180,0.218,3.32,0.234,0,291_491,,0.592668024,0.467
42,3,120_553,OK,2.47,184,0.216,2.85,0.233,0,120_553,,0.217,0.0889
43,5,4_5,OK,2.08,188,0.401,2.67,0.417,0,4_5,,0.8,0.885
44,7,11_35,OK,3.42,191,0.25,3.82,0.265,0,11_35,,0.314285714,0.458
45,8,3_8,ERR_TooSlowInstantaneous,0,196,0.252,4.08,0.267,0,3_8,,0.375,N/A
46,11,10_19,OK,1.85,203,0.385,2.34,0.402,0,10_19,,0.526315789,0.817
47,17,1_9,OK,2.01,206,0.269,2.38,0.283,0,1_9,,0.111111111,0.101
48,26,11_35,ERR_TooSlowInstantaneous,0,209,0.668,1.81,0.684,0,11_35,,0.314285714,N/A
49,34,7_15,OK,3.22,213,0.269,3.62,0.285,0,7_15,,0.466666667,0.467
50,8,3_8,OK,2.27,218,0.452,2.81,0.468,0,3_8,,0.375,0.4
51,26,11_35,ERR_TooSlowInstantaneous,0,223,0.418,1.08,0.434,0,11_35,,0.314285714,N/A
52,26,11_35,OK,1.66,226,0.435,2.2,0.45,0,11_35,,0.314285714,0.401
