trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,65321,OK,3.66,11.8,0.402,4.38,0.418,0:258,0,65321,65321,6.18e+04
2,3,11730,OK,2.11,22.3,0.437,2.67,0.451,0:258,0,11730,11730,2.28e+04
3,4,73954,OK,2.47,26.4,0.302,2.88,0.318,0:258,0,73954,73954,2.57e+04
4,5,92855,OK,4.67,32.1,0.386,5.25,0.402,0:258,0,92855,92855,3.46e+04
5,6,25731,OK,3.75,38.6,0.319,4.22,0.334,0:258,0,25731,25731,2.74e+04
6,7,16542,OK,2.3,43.8,0.283,2.73,0.3,0:258,0,16542,16542,1.49e+04
7,8,37828,OK,2.18,47.7,0.335,2.65,0.352,0:258,0,37828,37828,3.51e+04
8,9,59374,OK,1.87,51.3,0.268,2.27,0.285,0:258,0,59374,59374,6.53e+04
9,10,49743,ERR_TooSlowInstantaneous,0,54.4,0.201,0.876,0.217,0:258,0,49743,49743,N/A
10,11,5882,OK,2.12,57.1,0.302,2.57,0.318,0:258,0,5882,5882,1.07e+04
11,12,47765,OK,2.22,60.7,0.218,2.58,0.234,0:258,0,47765,47765,4.74e+04
12,13,11328,OK,2.68,64.3,0.185,3,0.201,0:258,0,11328,11328,1.4e+04
13,14,83425,OK,2.53,68.4,0.235,2.93,0.252,0:258,0,83425,83425,7.49e+04
14,15,32319,OK,2.03,72.6,0.185,2.37,0.2,0:258,0,32319,32319,3.22e+04
15,16,76921,OK,2.53,75.9,0.168,2.83,0.184,0:258,0,76921,76921,6.47e+04
16,17,25731,OK,2.78,79.6,0.299,3.27,0.316,0:258,0,25731,25731,2.18e+04
17,18,65321,OK,2.12,83.8,0.217,2.52,0.234,0:258,0,65321,65321,6.46e+04
18,19,16542,OK,1.95,87.2,0.216,2.3,0.233,0:258,0,16542,16542,1.18e+04
19,20,92855,OK,2.33,90.5,0.217,2.77,0.233,0:258,0,92855,92855,9.14e+04
20,21,32319,OK,3.33,94.1,0.249,3.77,0.266,0:258,0,32319,32319,3.58e+04
21,22,49743,OK,1.9,98.8,0.184,2.25,0.199,0:258,0,49743,49743,4.65e+04
22,23,47765,OK,1.72,102,0.367,2.25,0.383,0:258,0,47765,47765,4.46e+04
23,24,11328,OK,1.72,105,0.266,2.07,0.283,0:258,0,11328,11328,1.43e+04
24,25,59374,OK,1.48,108,0.302,1.95,0.318,0:258,0,59374,59374,5.72e+04
25,26,11730,OK,1.5,111,0.434,2.1,0.452,0:258,0,11730,11730,1.43e+04
26,27,5882,OK,1.67,114,0.367,2.18,0.383,0:258,0,5882,5882,1.81e+03
27,28,76921,OK,2,117,0.335,2.53,0.352,0:258,0,76921,76921,7.68e+04
28,29,83425,OK,1.3,121,0.383,1.85,0.401,0:258,0,83425,83425,9.15e+04
29,30,73954,OK,1.37,124,0.317,1.84,0.334,0:258,0,73954,73954,8.28e+04
30,31,37828,OK,2.54,126,0.217,2.92,0.234,0:258,0,37828,37828,2.08e+04
31,32,49743,OK,1.5,130,0.3,1.95,0.316,0:258,0,49743,49743,4.1e+04
32,33,16542,OK,1.43,133,0.285,1.83,0.301,0:258,0,16542,16542,1.1e+04
33,34,32319,OK,1.87,136,0.268,2.3,0.284,0:258,0,32319,32319,2.47e+04
34,35,37828,OK,1.32,139,0.368,1.87,0.384,0:258,0,37828,37828,2.86e+04
35,36,25731,OK,1.4,141,0.352,1.9,0.367,0:258,0,25731,25731,9.72e+03
36,37,47765,OK,1.6,144,0.384,2.15,0.401,0:258,0,47765,47765,4.36e+04
37,38,92855,OK,1.79,147,0.318,2.4,0.335,0:258,0,92855,92855,8.71e+04
38,39,11730,OK,1.65,150,0.367,2.2,0.385,0:258,0,11730,11730,8.47e+03
39,40,11328,OK,1.37,154,0.251,1.8,0.267,0:258,0,11328,11328,1.54e+04
40,41,65321,OK,1.78,156,0.385,2.37,0.402,0:258,0,65321,65321,6.54e+04
41,42,76921,OK,1.45,159,0.216,1.87,0.233,0:258,0,76921,76921,8.04e+04
42,43,5882,OK,1.71,162,0.27,2.15,0.285,0:258,0,5882,5882,1.25e+03
43,44,59374,OK,2.72,165,0.367,3.25,0.384,0:258,0,59374,59374,5.56e+04
44,45,83425,OK,1.82,170,0.335,2.35,0.351,0:258,0,83425,83425,8.88e+04
45,46,73954,OK,1.62,173,0.219,2.05,0.235,0:258,0,73954,73954,8.36e+04
46,10,49743,OK,1.8,176,0.302,2.3,0.317,0:258,0,49743,49743,4.35e+04
