trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,3,2,OK,2.7,208,3.3,6.32,3.32,0:258,0,2,2,1.56
2,9,8,ERR_TooSlowInstantaneous,0,218,0.4,2.4,0.416,0:258,0,8,8,N/A
3,11,10,OK,1.27,232,0.483,2,0.499,0:258,0,10,10,10
4,7,6,OK,1.22,237,0.601,1.93,0.618,0:258,0,6,6,5.93
5,2,1,OK,1.14,240,0.634,1.93,0.65,0:258,0,1,1,0.764
6,8,7,OK,1.69,243,0.403,2.33,0.418,0:258,0,7,7,7.12
7,9,8,OK,1.35,249,0.436,2.08,0.452,0:258,0,8,8,8.62
8,10,9,OK,1.42,252,0.568,2.18,0.584,0:258,0,9,9,9.4
9,6,5,OK,1.21,255,0.403,1.77,0.418,0:258,0,5,5,4.99
10,4,3,OK,1.25,258,0.517,1.9,0.533,0:258,0,3,3,2.1
11,5,4,OK,1,261,0.551,1.7,0.567,0:258,0,4,4,3.49
