trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,OK,2.38,12.5,0.436,3.03,0.451,0,16_25,,0.64,0.765
2,3,120_553,OK,2.6,16.6,0.367,3.1,0.383,0,120_553,,0.217,0.285
3,4,28_109,OK,1.6,20.7,0.2,1.84,0.217,0,28_109,,0.256880734,0.0736
4,5,4_5,OK,1.98,23.8,0.367,2.63,0.384,0,4_5,,0.8,0.785
5,6,11_12,OK,2.08,28.4,0.401,2.79,0.416,0,11_12,,0.916666667,0.9
6,7,11_35,OK,1.55,38.8,0.317,1.97,0.333,0,11_35,,0.314285714,0.642
7,8,3_8,OK,2.15,41.8,0.334,2.57,0.353,0,3_8,,0.375,0.285
8,9,7_15,OK,1.83,46.4,0.251,2.23,0.268,0,7_15,,0.466666667,0.46
9,10,1_9,OK,1.4,49.9,0.05,1.61,0.0668,0,1_9,,0.111111111,0.0653
10,11,10_19,OK,2.5,53.8,0.4,3.17,0.417,0,10_19,,0.526315789,0.696
11,12,703_891,OK,1.92,58.1,0.317,2.33,0.333,0,703_891,,0.789,0.846
12,13,1_17,OK,1.58,61.4,0.4,2.13,0.416,0,1_17,,0.058823529,0.0625
13,14,291_491,OK,2.02,64.7,0.324,2.53,0.433,0,291_491,,0.592668024,0.519
14,15,10_13,OK,1.68,68.1,0.45,2.23,0.467,0,10_13,,0.769230769,0.828
15,16,1_6,OK,1.2,72.3,0.384,1.7,0.4,0,1_6,,0.166666667,0.108
16,17,1_9,OK,1.76,75.2,0.272,2.13,0.283,0,1_9,,0.111111111,0.0681
17,18,10_19,OK,1.57,78.3,0.3,1.99,0.317,0,10_19,,0.526315789,0.489
18,19,10_13,OK,1.43,81.1,0.234,1.8,0.25,0,10_13,,0.769230769,0.826
19,20,28_109,OK,1.36,84.9,0.353,1.87,0.367,0,28_109,,0.256880734,0.165
20,21,16_25,OK,2.58,87.8,0.317,2.93,0.334,0,16_25,,0.64,0.665
21,22,7_15,OK,1.68,91.7,0.367,2.16,0.384,0,7_15,,0.466666667,0.503
22,23,11_12,OK,1.3,94.8,0.251,1.82,0.267,0,11_12,,0.916666667,0.946
23,24,1_17,OK,1.25,97.5,0.184,1.55,0.2,0,1_17,,0.058823529,0.0319
24,25,120_553,OK,1.8,100,0.269,2.18,0.285,0,120_553,,0.217,0.0736
25,26,11_35,OK,1.92,103,0.134,2.17,0.15,0,11_35,,0.314285714,0.0972
26,27,1_6,OK,1.53,106,0.137,1.77,0.151,0,1_6,,0.166666667,0.0389
27,28,4_5,OK,1.67,109,0.133,2,0.15,0,4_5,,0.8,0.454
28,29,3_8,OK,1.95,112,0.0343,2.13,0.0502,0,3_8,,0.375,0.206
29,30,291_491,OK,1.63,115,0.133,1.9,0.151,0,291_491,,0.592668024,0.397
30,31,703_891,OK,2.01,119,0.276,2.38,0.297,0,703_891,,0.789,0.225
31,32,1_17,OK,1.63,122,0.301,2,0.317,0,1_17,,0.058823529,0.0208
32,33,120_553,ERR_TooSlowInstantaneous,0,125,0.401,0.759,0.42,0,120_553,,0.217,N/A
33,34,7_15,OK,1.7,127,0.368,2.23,0.383,0,7_15,,0.466666667,0.438
34,35,16_25,OK,2.02,131,0.15,2.23,0.166,0,16_25,,0.64,0.487
35,36,11_12,ERR_TooSlowInstantaneous,0,134,0.25,0.342,0.267,0,11_12,,0.916666667,N/A
36,37,11_35,OK,1.68,135,0.183,1.92,0.2,0,11_35,,0.314285714,0.237
37,38,703_891,OK,1.72,139,0.119,1.93,0.136,0,703_891,,0.789,0.812
38,39,3_8,OK,1.37,142,0.233,1.7,0.251,0,3_8,,0.375,0.197
39,40,4_5,OK,1.47,145,0.151,1.7,0.168,0,4_5,,0.8,0.439
40,42,1_6,ERR_FingerLifted,0,149,0.134,2.87,0.15,0,1_6,,0.166666667,N/A
41,43,10_19,OK,1.48,154,0.201,1.83,0.218,0,10_19,,0.526315789,0.535
42,44,1_9,OK,1.68,157,0.199,2.05,0.216,0,1_9,,0.111111111,0.244
43,45,28_109,OK,2.57,160,0.235,2.87,0.253,0,28_109,,0.256880734,0.126
44,46,291_491,OK,1.38,164,0.217,1.78,0.234,0,291_491,,0.592668024,0.5
45,33,120_553,OK,1.65,167,0.2,1.97,0.216,0,120_553,,0.217,0.0708
46,36,11_12,OK,1.42,170,0.151,1.7,0.167,0,11_12,,0.916666667,0.465
47,41,10_13,OK,1.5,173,0.217,1.83,0.233,0,10_13,,0.769230769,0.329
48,42,1_6,OK,1.28,177,0.351,1.72,0.368,0,1_6,,0.166666667,0.0486
