trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,5,4,OK,1.41,13.8,3.55,5.27,3.57,0:258,0,4,4,5.72
2,7,6,ERR_TooSlowGlobal,0,24.8,0.351,0.67,0.365,0:258,0,6,6,N/A
3,10,9,OK,1.08,40.1,0.368,1.75,0.384,0:258,0,9,9,9.11
4,7,6,OK,1.87,48.2,1.48,3.63,1.5,0:258,0,6,6,6.31
5,9,8,OK,1.03,54.3,0.686,2.02,0.702,0:258,0,8,8,8.44
6,6,5,OK,1.08,58.7,0.37,1.68,0.385,0:258,0,5,5,5.06
7,2,1,OK,1.23,61.8,0.419,1.82,0.435,0:258,0,1,1,1.33
8,8,7,OK,1.5,66.1,0.636,2.45,0.652,0:258,0,7,7,7.68
9,11,10,OK,1.23,69.7,0.352,1.91,0.368,0:258,0,10,10,9.61
10,4,3,OK,1.26,73.3,0.37,1.9,0.384,0:258,0,3,3,2.68
11,3,2,OK,1.18,76.8,0.252,1.68,0.269,0:258,0,2,2,1.54
