trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,OK,1.82,10.1,0.45,2.38,0.468,0,16_25,,0.64,0.644
2,3,120_553,ERR_TooSlowInstantaneous,0,13.7,0.434,2.17,0.45,0,120_553,,0.217,N/A
3,4,28_109,OK,1.15,17.3,0.221,1.47,0.236,0,28_109,,0.256880734,0.268
4,5,4_5,OK,1.12,19.5,0.234,1.45,0.25,0,4_5,,0.8,0.789
5,6,11_12,OK,1.07,21.6,0.133,1.28,0.15,0,11_12,,0.916666667,0.936
6,7,11_35,OK,1.17,23.5,0.151,1.4,0.169,0,11_35,,0.314285714,0.385
7,8,3_8,OK,1.38,25.5,0.217,1.67,0.234,0,3_8,,0.375,0.364
8,9,7_15,OK,1.25,27.8,0.134,1.43,0.151,0,7_15,,0.466666667,0.557
9,10,1_9,OK,1.14,30,0.152,1.37,0.168,0,1_9,,0.111111111,0.125
10,11,10_19,OK,1.31,32,0.218,1.68,0.233,0,10_19,,0.526315789,0.518
11,12,703_891,OK,1.25,34.4,0.287,1.68,0.302,0,703_891,,0.789,0.874
12,13,1_17,OK,1.11,37.7,0.203,1.42,0.218,0,1_17,,0.058823529,0.0569
13,14,291_491,OK,1.68,39.8,0.251,2.21,0.267,0,291_491,,0.592668024,0.571
14,15,10_13,OK,4.93,42.8,0.186,5.42,0.202,0,10_13,,0.769230769,0.869
15,16,1_6,OK,2.97,48.9,0.234,3.27,0.25,0,1_6,,0.166666667,0.103
16,17,1_9,OK,2.25,53,0.135,2.49,0.151,0,1_9,,0.111111111,0.0542
17,18,10_19,OK,3.5,56.2,0.12,3.75,0.135,0,10_19,,0.526315789,0.601
18,19,10_13,OK,3.13,60.7,0.152,3.42,0.168,0,10_13,,0.769230769,0.843
19,20,28_109,OK,3.86,65.9,0.17,4.2,0.186,0,28_109,,0.256880734,0.3
20,21,16_25,OK,3.28,70.8,0.22,3.75,0.235,0,16_25,,0.64,0.707
21,22,7_15,OK,4.08,75.3,0.251,4.5,0.267,0,7_15,,0.466666667,0.446
22,23,11_12,OK,1.73,80.4,0.203,2.05,0.218,0,11_12,,0.916666667,0.929
23,24,1_17,OK,1.53,83.3,0.167,1.78,0.184,0,1_17,,0.058823529,0.0486
24,25,120_553,OK,5,85.8,0.202,5.33,0.217,0,120_553,,0.217,0.24
25,26,11_35,OK,2.43,92.1,0.268,2.8,0.284,0,11_35,,0.314285714,0.414
26,27,1_6,OK,2.35,95.7,0.134,2.58,0.15,0,1_6,,0.166666667,0.164
27,28,4_5,OK,2.48,99.1,0.217,2.83,0.233,0,4_5,,0.8,0.814
28,29,3_8,OK,1.52,103,0.2,1.78,0.216,0,3_8,,0.375,0.329
29,30,291_491,OK,4.52,105,0.133,4.83,0.15,0,291_491,,0.592668024,0.664
30,31,703_891,OK,2.96,111,0.153,3.28,0.169,0,703_891,,0.789,0.86
31,32,1_17,OK,1.87,115,0.135,2.13,0.153,0,1_17,,0.058823529,0.00417
32,33,120_553,ERR_TooSlowInstantaneous,0,118,0.135,4.34,0.151,0,120_553,,0.217,N/A
33,34,7_15,OK,3.15,124,0.117,3.5,0.133,0,7_15,,0.466666667,0.414
34,35,16_25,OK,2.55,129,0.202,2.87,0.218,0,16_25,,0.64,0.85
35,36,11_12,OK,1.1,132,0.15,1.37,0.167,0,11_12,,0.916666667,0.933
36,37,11_35,OK,2.28,135,0.136,2.48,0.152,0,11_35,,0.314285714,0.404
37,38,703_891,OK,2.29,138,0.151,2.58,0.167,0,703_891,,0.789,0.938
38,39,3_8,ERR_TooSlowInstantaneous,0,141,0.104,1.33,0.12,0,3_8,,0.375,N/A
39,40,4_5,ERR_TooSlowInstantaneous,0,144,0.402,0.698,0.418,0,4_5,,0.8,N/A
40,41,10_13,OK,5.4,145,0.487,6.13,0.502,0,10_13,,0.769230769,0.829
41,42,1_6,OK,2.68,152,0.233,3.07,0.249,0,1_6,,0.166666667,0.122
42,43,10_19,OK,3.15,156,0.118,3.43,0.134,0,10_19,,0.526315789,0.61
43,44,1_9,OK,3.87,161,0.117,4.31,0.134,0,1_9,,0.111111111,0.0417
44,45,28_109,OK,2.72,167,0.802,3.62,0.818,0,28_109,,0.256880734,0.208
45,46,291_491,OK,3.86,171,0.169,4.22,0.185,0,291_491,,0.592668024,0.662
46,3,120_553,OK,2.98,176,0.101,3.3,0.118,0,120_553,,0.217,0.115
47,33,120_553,OK,1.92,182,0.185,2.22,0.201,0,120_553,,0.217,0.215
48,39,3_8,OK,2.6,185,0.2,2.95,0.216,0,3_8,,0.375,0.263
49,40,4_5,OK,2.37,189,0.167,2.68,0.183,0,4_5,,0.8,0.821
