trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,5,4,OK,1.61,91.3,3.43,5.15,3.46,0:258,0,4,4,3.47
2,8,7,OK,1.13,101,0.716,1.97,0.734,0:258,0,7,7,7.53
3,3,2,OK,0.999,107,0.232,1.3,0.249,0:258,0,2,2,1.53
4,2,1,OK,0.966,111,0.167,1.18,0.195,0:258,0,1,1,0.569
5,6,5,OK,0.917,113,0.333,1.33,0.35,0:258,0,5,5,5.08
6,7,6,OK,0.951,115,0.383,1.43,0.401,0:258,0,6,6,6.58
7,9,8,OK,0.885,117,0.383,1.4,0.401,0:258,0,8,8,8.61
8,10,9,OK,0.8,119,0.334,1.18,0.351,0:258,0,9,9,9.31
9,11,10,OK,0.72,121,0.3,1.02,0.317,0:258,0,10,10,10.2
10,4,3,OK,1.17,123,0.467,1.75,0.484,0:258,0,3,3,2.72
