trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,9,8,ERR_FingerLifted,0,22.7,0.486,1.9,0.502,0:258,0,8,8,N/A
2,11,10,ERR_FingerLifted,0,29,0.368,4.6,0.384,0:258,0,10,10,N/A
3,6,5,OK,2.57,36.1,0.252,3.14,0.268,0:258,0,5,5,5.01
4,4,3,OK,2.81,43.5,0.337,3.25,0.352,0:258,0,3,3,3.21
5,8,7,ERR_FingerLifted,0,49.4,0.301,2.25,0.318,0:258,0,7,7,N/A
6,7,6,ERR_FingerLifted,0,53.1,0.235,2.3,0.252,0:258,0,6,6,N/A
7,2,1,ERR_FingerLifted,0,57,0.219,1.87,0.236,0:258,0,1,1,N/A
8,3,2,ERR_FingerLifted,0,60.5,0.236,2.8,0.252,0:258,0,2,2,N/A
9,2,1,OK,1.52,77.2,0.151,1.99,0.168,0:258,0,1,1,0.75
10,5,4,OK,1.4,80.5,0.202,1.88,0.217,0:258,0,4,4,3.49
11,3,2,OK,1.48,84.6,0.169,1.92,0.185,0:258,0,2,2,1.88
12,9,8,OK,1.63,89,0.186,2.1,0.202,0:258,0,8,8,7.76
13,10,9,OK,1.73,91.8,0.118,2.17,0.134,0:258,0,9,9,8.79
14,11,10,OK,1.52,94.6,0.135,1.98,0.151,0:258,0,10,10,9.79
15,7,6,OK,1.9,97.7,0.186,2.4,0.202,0:258,0,6,6,6.35
16,8,7,OK,1.75,101,0.135,2.18,0.15,0:258,0,7,7,7.29
