trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,OK,1.7,10.4,0.334,2.1,0.35,0,16_25,,0.64,0.393
2,3,120_553,OK,2.45,13.8,0.434,3.03,0.451,0,120_553,,0.217,0.607
3,4,28_109,OK,1.9,18.1,0.383,2.46,0.402,0,28_109,,0.256880734,0.276
4,5,4_5,OK,1.73,22.5,0.233,2.1,0.249,0,4_5,,0.8,0.793
5,6,11_12,OK,1.52,25.8,0.216,1.9,0.232,0,11_12,,0.916666667,0.875
6,7,11_35,OK,1.25,28.6,0.266,1.65,0.283,0,11_35,,0.314285714,0.588
7,8,3_8,OK,1.36,31.1,0.417,1.95,0.433,0,3_8,,0.375,0.318
8,9,7_15,OK,1.27,34,0.283,1.75,0.299,0,7_15,,0.466666667,0.383
9,10,1_9,OK,1.15,36.6,0.35,1.72,0.367,0,1_9,,0.111111111,0.117
10,11,10_19,OK,1.38,39.2,0.25,1.82,0.267,0,10_19,,0.526315789,0.454
11,12,703_891,ERR_TooSlowInstantaneous,0,41.9,0.217,1.9,0.233,0,703_891,,0.789,N/A
12,13,1_17,OK,1.17,45.7,0.184,1.42,0.2,0,1_17,,0.058823529,0.101
13,14,291_491,OK,1.73,48.4,0.217,2.03,0.233,0,291_491,,0.592668024,0.304
14,15,10_13,OK,1.17,51.4,0.284,1.73,0.301,0,10_13,,0.769230769,0.326
15,16,1_6,OK,1.45,54.3,0.0166,1.6,0.0338,0,1_6,,0.166666667,0.0944
16,17,1_9,OK,0.983,58.5,0.0341,1.18,0.0504,0,1_9,,0.111111111,0.0944
17,18,10_19,OK,1.13,60.6,0.267,1.58,0.283,0,10_19,,0.526315789,0.417
18,19,10_13,OK,1.35,63.2,0.233,1.72,0.252,0,10_13,,0.769230769,0.456
19,20,28_109,OK,1.33,65.8,0.268,1.73,0.284,0,28_109,,0.256880734,0.257
20,21,16_25,OK,0.917,68.6,0.233,1.32,0.249,0,16_25,,0.64,0.315
21,22,7_15,OK,1.02,70.9,0.236,1.4,0.252,0,7_15,,0.466666667,0.351
22,23,11_12,OK,1.23,73.2,0.201,1.59,0.218,0,11_12,,0.916666667,0.922
23,24,1_17,OK,1.18,75.6,0.233,1.5,0.25,0,1_17,,0.058823529,0.0375
24,25,120_553,OK,1.12,78.1,0.252,1.54,0.268,0,120_553,,0.217,0.257
25,26,11_35,OK,1.15,80.7,0.199,1.47,0.216,0,11_35,,0.314285714,0.365
26,27,1_6,OK,1.1,83.1,0.267,1.5,0.284,0,1_6,,0.166666667,0.0486
27,28,4_5,OK,1.12,85.5,0.184,1.48,0.2,0,4_5,,0.8,0.89
28,29,3_8,OK,1.15,87.7,0.25,1.58,0.266,0,3_8,,0.375,0.393
29,30,291_491,OK,1.38,90.1,0.317,1.85,0.333,0,291_491,,0.592668024,0.361
30,31,703_891,OK,1.5,92.7,0.35,2.12,0.366,0,703_891,,0.789,0.715
31,32,1_17,OK,1.02,95.6,0.183,1.37,0.2,0,1_17,,0.058823529,0.0764
32,33,120_553,OK,1.17,97.8,0.317,1.67,0.332,0,120_553,,0.217,0.118
33,34,7_15,OK,1.18,100,0.301,1.63,0.317,0,7_15,,0.466666667,0.401
34,35,16_25,OK,1.28,103,0.234,1.7,0.249,0,16_25,,0.64,0.361
35,36,11_12,OK,1.13,105,0.283,1.58,0.299,0,11_12,,0.916666667,0.912
36,37,11_35,ERR_TooSlowGlobal,0,108,0.533,1.23,0.55,0,11_35,,0.314285714,N/A
37,38,703_891,OK,0.834,110,0.236,1.13,0.252,0,703_891,,0.789,0.662
38,39,3_8,OK,1,112,0.3,1.45,0.317,0,3_8,,0.375,0.301
39,40,4_5,OK,1.2,114,0.334,1.7,0.351,0,4_5,,0.8,0.879
40,41,10_13,OK,1.13,117,0.167,1.5,0.185,0,10_13,,0.769230769,0.651
41,42,1_6,OK,1.13,119,0.266,1.57,0.283,0,1_6,,0.166666667,0.0514
42,43,10_19,OK,1.27,122,0.266,1.7,0.282,0,10_19,,0.526315789,0.362
43,44,1_9,OK,1.05,124,0.253,1.43,0.267,0,1_9,,0.111111111,0.0736
44,45,28_109,OK,1.23,127,0.2,1.58,0.216,0,28_109,,0.256880734,0.0847
45,46,291_491,OK,1.08,129,0.184,1.43,0.201,0,291_491,,0.592668024,0.339
46,12,703_891,OK,1.2,132,0.183,1.52,0.199,0,703_891,,0.789,0.408
47,37,11_35,OK,1.23,134,0.284,1.62,0.3,0,11_35,,0.314285714,0.415
