trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,11,10,ERR_TooSlowInstantaneous,0,17.9,2.65,5.87,2.67,0:258,0,10,10,N/A
2,10,9,ERR_TooSlowInstantaneous,0,30.5,1.12,1.39,1.13,0:258,0,9,9,N/A
3,4,3,ERR_TooSlowInstantaneous,0,39.3,1.1,10.5,1.12,0:258,0,3,3,N/A
4,6,5,OK,4.81,64.8,0.605,5.74,0.618,0:258,0,5,5,5.01
5,5,4,OK,3.16,74.9,0.703,4.1,0.718,0:258,0,4,4,4.38
6,10,9,OK,4.9,82.4,0.699,5.86,0.715,0:258,0,9,9,9.11
7,7,6,OK,3.26,91.2,0.519,4.02,0.535,0:258,0,6,6,5.6
8,2,1,OK,2.95,98.7,0.466,3.73,0.484,0:258,0,1,1,1
9,11,10,OK,2.26,104,0.353,2.9,0.369,0:258,0,10,10,9.71
10,8,7,OK,2.42,109,0.267,2.93,0.284,0:258,0,7,7,7.07
11,3,2,OK,2.73,113,0.201,2.98,0.218,0:258,0,2,2,1.93
12,4,3,OK,2.23,119,0.203,2.68,0.219,0:258,0,3,3,2.76
13,9,8,OK,2.63,123,0.2,2.9,0.217,0:258,0,8,8,7.26
