trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,8,7,OK,4,24.4,3.07,7.37,3.09,0:258,0,7,7,7.15
2,9,8,OK,1.99,38.9,0.919,3.18,0.935,0:258,0,8,8,7.67
3,5,4,OK,2.7,50.8,0.535,3.45,0.551,0:258,0,4,4,3.43
4,6,5,OK,1.48,57,0.668,2.25,0.683,0:258,0,5,5,4.96
5,4,3,OK,2.25,60.3,0.585,2.95,0.601,0:258,0,3,3,2.64
6,10,9,OK,1.33,65.2,0.634,2.18,0.651,0:258,0,9,9,8.78
7,11,10,OK,1.22,68.4,0.317,1.82,0.334,0:258,0,10,10,10
8,2,1,OK,1.4,71.1,0.451,1.95,0.467,0:258,0,1,1,0.806
9,3,2,ERR_FingerLifted,0,74.4,0.3,3.32,0.316,0:258,0,2,2,N/A
10,7,6,OK,1.52,79.4,0.468,2.12,0.485,0:258,0,6,6,6.43
11,3,2,OK,1.43,82.6,0.335,1.95,0.351,0:258,0,2,2,1.24
