trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,ERR_TooSlowInstantaneous,0,9.22,0.336,2.12,0.351,0,16_25,,0.64,N/A
2,3,120_553,OK,8.79,13,0.367,9.4,0.383,0,120_553,,0.217,0.232
3,4,28_109,OK,5.65,23.3,0.133,6.02,0.15,0,28_109,,0.256880734,0.225
4,5,4_5,OK,3.57,30.2,0.184,3.98,0.2,0,4_5,,0.8,0.8
5,6,11_12,OK,3.65,34.8,0.135,4.03,0.151,0,11_12,,0.916666667,0.901
6,7,11_35,OK,4.57,39.5,0.152,4.85,0.169,0,11_35,,0.314285714,0.357
7,8,3_8,OK,4.36,45.1,0.219,4.83,0.235,0,3_8,,0.375,0.368
8,9,7_15,OK,3.7,50.7,0.134,3.97,0.15,0,7_15,,0.466666667,0.438
9,10,1_9,OK,4.32,55.4,0.134,4.53,0.151,0,1_9,,0.111111111,0.11
10,11,10_19,OK,3.85,60.8,0.134,4.12,0.15,0,10_19,,0.526315789,0.433
11,12,703_891,OK,5.25,65.6,0.085,5.52,0.102,0,703_891,,0.789,0.85
12,13,1_17,OK,4.7,73.3,0.235,5.07,0.251,0,1_17,,0.058823529,0.0819
13,14,291_491,OK,3.93,79.2,0.15,4.33,0.167,0,291_491,,0.592668024,0.625
14,15,10_13,OK,4.75,84.2,0.135,5.15,0.152,0,10_13,,0.769230769,0.775
15,16,1_6,OK,5.08,97.3,0.317,5.62,0.333,0,1_6,,0.166666667,0.271
16,17,1_9,OK,5.9,104,0.233,6.31,0.25,0,1_9,,0.111111111,0.15
17,18,10_19,OK,3.37,111,0.266,3.75,0.283,0,10_19,,0.526315789,0.422
18,19,10_13,OK,5.05,117,0.199,5.45,0.216,0,10_13,,0.769230769,0.79
19,20,28_109,OK,4.17,124,0.2,4.53,0.217,0,28_109,,0.256880734,0.263
20,21,16_25,OK,4.98,129,0.152,5.43,0.168,0,16_25,,0.64,0.682
21,22,7_15,OK,3.71,135,0.169,4.13,0.185,0,7_15,,0.466666667,0.407
22,23,11_12,OK,3.66,140,0.169,4.05,0.185,0,11_12,,0.916666667,0.876
23,24,1_17,OK,3.25,146,0.202,3.58,0.219,0,1_17,,0.058823529,0.0792
24,25,120_553,OK,6.47,150,0.199,6.8,0.215,0,120_553,,0.217,0.228
25,26,11_35,OK,3.88,158,0.151,4.28,0.167,0,11_35,,0.314285714,0.307
26,27,1_6,OK,6.77,163,0.217,7.15,0.233,0,1_6,,0.166666667,0.204
27,28,4_5,OK,3.13,172,0.134,3.45,0.151,0,4_5,,0.8,0.815
28,29,3_8,OK,6.27,177,0.233,6.72,0.252,0,3_8,,0.375,0.396
29,30,291_491,OK,6.62,184,0.218,7.1,0.234,0,291_491,,0.592668024,0.621
30,31,703_891,OK,4.68,192,0.133,5.13,0.15,0,703_891,,0.789,0.815
31,32,1_17,OK,4.11,198,0.202,4.6,0.217,0,1_17,,0.058823529,0.0958
32,33,120_553,OK,4.03,203,0.268,4.54,0.285,0,120_553,,0.217,0.263
33,34,7_15,OK,2.52,209,0.017,2.65,0.0335,0,7_15,,0.466666667,0.407
34,35,16_25,OK,4.65,212,0.168,4.93,0.183,0,16_25,,0.64,0.732
35,36,11_12,OK,2.7,218,0.183,3.12,0.199,0,11_12,,0.916666667,0.896
36,37,11_35,OK,3.32,222,0.151,3.63,0.167,0,11_35,,0.314285714,0.307
37,38,703_891,OK,2.61,226,0.219,3.07,0.235,0,703_891,,0.789,0.779
38,39,3_8,OK,2.65,230,0.167,3.12,0.184,0,3_8,,0.375,0.362
39,40,4_5,OK,2.25,234,0.186,2.75,0.202,0,4_5,,0.8,0.767
40,41,10_13,OK,3.2,237,0.218,3.56,0.235,0,10_13,,0.769230769,0.754
41,42,1_6,OK,3.12,242,0.199,3.42,0.216,0,1_6,,0.166666667,0.182
42,43,10_19,OK,2.97,246,0.117,3.37,0.134,0,10_19,,0.526315789,0.732
43,44,1_9,OK,3.06,250,0.186,3.38,0.203,0,1_9,,0.111111111,0.135
44,45,28_109,OK,2.45,255,0.252,2.97,0.268,0,28_109,,0.256880734,0.294
45,46,291_491,OK,2.63,263,0.333,3.26,0.351,0,291_491,,0.592668024,0.668
46,2,16_25,OK,4.35,267,0.318,4.99,0.334,0,16_25,,0.64,0.732
