trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,8,7,ERR_TooSlowInstantaneous,0,13.9,0.102,2.7,0.117,0:258,0,7,7,N/A
2,8,7,OK,1.1,39.4,0.536,1.94,0.551,0:258,0,7,7,5.38
3,5,4,OK,0.749,47.1,0.269,1.33,0.285,0:258,0,4,4,5.43
4,2,1,OK,0.434,51.3,0.303,1,0.317,0:258,0,1,1,5.01
5,7,6,OK,0.531,53.2,0.235,1.04,0.251,0:258,0,6,6,4.93
6,4,3,OK,0.382,55,0.152,0.846,0.168,0:258,0,3,3,5.03
7,10,9,OK,0.497,57.1,0.168,0.966,0.185,0:258,0,9,9,5.12
8,6,5,OK,0.466,59,0.169,0.939,0.185,0:258,0,5,5,4.96
9,9,8,OK,0.649,61,0.186,1.13,0.202,0:258,0,8,8,5.01
10,3,2,OK,0.601,63.1,0.167,1.09,0.184,0:258,0,2,2,5.12
11,11,10,OK,0.5,66.9,0.185,0.985,0.201,0:258,0,10,10,5.12
