trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,OK,6.28,10.6,0.3,6.9,0.316,0,16_25,,0.64,0.432
2,3,120_553,OK,5.43,19.3,0.402,6.16,0.419,0,120_553,,0.217,0.29
3,4,28_109,OK,5.04,26.8,0.249,5.61,0.267,0,28_109,,0.256880734,0.194
4,5,4_5,OK,5.85,33.9,0.266,6.44,0.283,0,4_5,,0.8,0.751
5,6,11_12,OK,4.37,41.8,0.233,4.88,0.25,0,11_12,,0.916666667,0.925
6,7,11_35,OK,4.45,47.9,0.385,5.16,0.401,0,11_35,,0.314285714,0.371
7,8,3_8,OK,3.47,54.5,0.566,4.32,0.582,0,3_8,,0.375,0.354
8,9,7_15,OK,4.24,60.2,0.416,4.93,0.433,0,7_15,,0.466666667,0.421
9,10,1_9,OK,3.75,66.3,0.416,4.45,0.433,0,1_9,,0.111111111,0.0958
10,11,10_19,OK,4.02,72.4,0.383,4.68,0.399,0,10_19,,0.526315789,0.417
11,12,703_891,OK,8.03,78.3,0.384,8.68,0.4,0,703_891,,0.789,0.781
12,13,1_17,OK,4.03,88.4,0.351,4.65,0.367,0,1_17,,0.058823529,0.0222
13,14,291_491,OK,5.32,94.7,0.4,6.03,0.416,0,291_491,,0.592668024,0.59
14,15,10_13,OK,4.37,102,0.351,5.04,0.367,0,10_13,,0.769230769,0.804
15,16,1_6,OK,3.62,109,0.52,4.35,0.535,0,1_6,,0.166666667,0.147
16,17,1_9,OK,4.35,114,0.667,5.27,0.683,0,1_9,,0.111111111,0.0833
17,18,10_19,OK,5.78,121,0.651,6.73,0.668,0,10_19,,0.526315789,0.56
18,19,10_13,OK,3.8,129,0.501,4.5,0.517,0,10_13,,0.769230769,0.832
19,20,28_109,OK,4.77,135,0.5,5.58,0.516,0,28_109,,0.256880734,0.164
20,21,16_25,OK,4.08,142,0.368,4.7,0.384,0,16_25,,0.64,0.393
21,22,7_15,OK,4.41,148,0.369,5.05,0.385,0,7_15,,0.466666667,0.426
22,23,11_12,OK,3.88,154,0.386,4.55,0.402,0,11_12,,0.916666667,0.904
23,24,1_17,OK,4.52,160,0.318,5.1,0.334,0,1_17,,0.058823529,0.0417
24,25,120_553,OK,5.12,166,0.383,5.76,0.4,0,120_553,,0.217,0.149
25,26,11_35,OK,3.8,173,0.552,4.62,0.567,0,11_35,,0.314285714,0.307
26,27,1_6,OK,4.22,179,0.317,4.72,0.333,0,1_6,,0.166666667,0.128
27,28,4_5,OK,4.22,185,0.333,4.72,0.35,0,4_5,,0.8,0.824
28,29,3_8,OK,3.1,191,0.534,3.88,0.55,0,3_8,,0.375,0.339
29,30,291_491,OK,4.4,196,0.35,5.02,0.367,0,291_491,,0.592668024,0.586
30,31,703_891,OK,3.91,202,0.467,4.65,0.483,0,703_891,,0.789,0.799
31,32,1_17,OK,3.65,208,0.284,4.18,0.3,0,1_17,,0.058823529,0.0306
32,33,120_553,ERR_TooSlowInstantaneous,0,214,0.383,3.92,0.399,0,120_553,,0.217,N/A
33,34,7_15,OK,5.05,220,0.335,5.63,0.351,0,7_15,,0.466666667,0.297
34,35,16_25,OK,5.5,228,0.386,6.12,0.403,0,16_25,,0.64,0.296
35,36,11_12,OK,3.82,235,0.4,4.47,0.417,0,11_12,,0.916666667,0.912
36,37,11_35,OK,4.35,241,0.353,4.88,0.368,0,11_35,,0.314285714,0.24
37,38,703_891,OK,3.52,247,0.283,3.98,0.3,0,703_891,,0.789,0.778
38,39,3_8,OK,3.55,252,0.366,4.13,0.383,0,3_8,,0.375,0.35
39,40,4_5,OK,3.1,257,0.3,3.73,0.316,0,4_5,,0.8,0.819
40,41,10_13,OK,3.13,262,0.335,3.67,0.352,0,10_13,,0.769230769,0.821
41,42,1_6,OK,3.32,267,0.284,3.78,0.301,0,1_6,,0.166666667,0.0986
42,43,10_19,OK,5.83,272,0.368,6.51,0.385,0,10_19,,0.526315789,0.431
43,44,1_9,OK,3.38,280,0.35,3.95,0.367,0,1_9,,0.111111111,0.075
44,45,28_109,OK,4.42,285,0.333,5.03,0.35,0,28_109,,0.256880734,0.224
45,46,291_491,OK,3.81,292,0.367,4.45,0.383,0,291_491,,0.592668024,0.594
46,33,120_553,OK,4.95,297,0.285,5.47,0.301,0,120_553,,0.217,0.249
