trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,0.52,OK,1.32,11.4,0.136,1.57,0.151,0:258,0,0.52,0.52,0.476
2,3,0.11,OK,1.63,14,0.201,1.95,0.218,0:258,0,0.11,0.11,0.14
3,4,0.08,OK,1.82,16.9,0.251,2.27,0.266,0:258,0,0.08,0.08,0.0333
4,5,0.68,OK,1.87,20,0.133,2.13,0.15,0:258,0,0.68,0.68,0.689
5,6,0.47,OK,1.8,23.1,0.0995,1.98,0.116,0:258,0,0.47,0.47,0.468
6,7,0.61,OK,1.46,26,0.135,1.73,0.151,0:258,0,0.61,0.61,0.654
7,8,0.89,OK,1.93,28.6,0.101,2.18,0.116,0:258,0,0.89,0.89,0.921
8,9,0.98,OK,2.28,31.6,0.101,2.52,0.118,0:258,0,0.98,0.98,0.99
9,10,0.17,OK,1.5,35.1,0.133,1.78,0.15,0:258,0,0.17,0.17,0.126
10,11,0.43,OK,1.55,37.8,0.135,1.83,0.151,0:258,0,0.43,0.43,0.404
11,12,0.92,OK,1.68,40.5,0.119,1.97,0.135,0:258,0,0.92,0.92,0.926
12,13,0.03,OK,1.72,43.3,0.116,1.92,0.133,0:258,0,0.03,0.03,0.00972
13,14,0.32,OK,1.61,46.3,0.12,1.8,0.136,0:258,0,0.32,0.32,0.228
14,15,0.24,OK,1.76,49,0.154,1.98,0.169,0:258,0,0.24,0.24,0.143
15,16,0.56,ERR_TooSlowInstantaneous,0,52.8,0.15,0.607,0.167,0:258,0,0.56,0.56,N/A
16,17,0.85,ERR_TooSlowInstantaneous,0,55.1,0.151,2.16,0.167,0:258,0,0.85,0.85,N/A
17,18,0.77,OK,1.56,59.7,0.186,1.82,0.202,0:258,0,0.77,0.77,0.757
18,19,0.73,OK,1.4,62.4,0.118,1.6,0.134,0:258,0,0.73,0.73,0.69
19,20,0.35,OK,1.3,64.8,0.168,1.57,0.184,0:258,0,0.35,0.35,0.263
20,21,0.26,OK,1.46,67.3,0.132,1.72,0.149,0:258,0,0.26,0.26,0.135
