trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,0.323,OK,2.1,11.8,0.135,2.5,0.15,0:258,0,0.323,0.323,0.2
2,3,0.739,OK,1.7,15.3,0.151,2.14,0.167,0:258,0,0.739,0.739,0.724
3,4,0.506,OK,1.67,18.8,0.2,2.12,0.216,0:258,0,0.506,0.506,0.507
4,5,0.167,OK,1.87,22.1,0.15,2.28,0.167,0:258,0,0.167,0.167,0.0653
5,6,0.111,OK,1.83,25.5,0.169,2.22,0.185,0:258,0,0.111,0.111,0.025
6,7,0.059,OK,2.31,29.1,0.135,2.63,0.151,0:258,0,0.059,0.059,0.0125
7,8,0.834,OK,2,33,0.136,2.43,0.152,0:258,0,0.834,0.834,0.761
8,9,0.769,OK,1.65,36.3,0.167,2.07,0.184,0:258,0,0.769,0.769,0.706
9,10,0.378,OK,1.95,39.5,0.152,2.35,0.169,0:258,0,0.378,0.378,0.188
10,11,0.257,OK,1.82,42.9,0.133,2.23,0.15,0:258,0,0.257,0.257,0.0986
11,12,0.117,OK,1.77,46.2,0.151,2.15,0.167,0:258,0,0.117,0.117,0.0347
12,13,0.593,OK,2.22,49.5,0.134,2.6,0.15,0:258,0,0.593,0.593,0.596
13,14,0.475,OK,2.21,53.2,0.269,2.78,0.286,0:258,0,0.475,0.475,0.424
14,15,0.653,OK,1.75,57.1,0.235,2.25,0.252,0:258,0,0.653,0.653,0.678
15,16,0.928,OK,1.97,60.5,0.15,2.42,0.166,0:258,0,0.928,0.928,0.918
16,17,0.257,OK,2.3,63.9,0.134,2.7,0.15,0:258,0,0.257,0.257,0.15
17,18,0.475,OK,1.85,67.6,0.201,2.38,0.217,0:258,0,0.475,0.475,0.403
18,19,0.506,OK,1.89,71.2,0.138,2.35,0.152,0:258,0,0.506,0.506,0.512
19,20,0.653,OK,2,74.6,0.217,2.52,0.234,0:258,0,0.653,0.653,0.664
20,21,0.593,OK,2,78.1,0.151,2.45,0.167,0:258,0,0.593,0.593,0.601
21,22,0.167,OK,2.35,81.8,0.183,2.77,0.2,0:258,0,0.167,0.167,0.0861
22,23,0.111,OK,2.2,85.6,0.117,2.57,0.135,0:258,0,0.111,0.111,0.0319
23,24,0.834,OK,2.2,89.1,0.0999,2.6,0.117,0:258,0,0.834,0.834,0.79
24,25,0.739,OK,1.88,92.6,0.134,2.32,0.151,0:258,0,0.739,0.739,0.715
25,26,0.059,OK,2.53,95.9,0.116,2.8,0.132,0:258,0,0.059,0.059,0.00694
26,27,0.378,OK,1.98,99.7,0.149,2.42,0.166,0:258,0,0.378,0.378,0.229
27,28,0.117,OK,2.18,103,0.169,2.53,0.184,0:258,0,0.117,0.117,0.0403
28,29,0.769,OK,1.95,107,0.201,2.43,0.217,0:258,0,0.769,0.769,0.754
29,30,0.928,OK,2.52,110,0.15,2.88,0.167,0:258,0,0.928,0.928,0.925
30,31,0.323,OK,1.87,114,0.201,2.28,0.217,0:258,0,0.323,0.323,0.224
31,32,0.167,OK,2.05,117,0.185,2.45,0.201,0:258,0,0.167,0.167,0.0792
32,33,0.111,OK,2.17,121,0.2,2.65,0.216,0:258,0,0.111,0.111,0.0236
33,34,0.323,OK,1.97,124,0.202,2.47,0.218,0:258,0,0.323,0.323,0.226
34,35,0.653,OK,1.87,128,0.149,2.32,0.166,0:258,0,0.653,0.653,0.685
35,36,0.769,OK,2.08,131,0.168,2.56,0.184,0:258,0,0.769,0.769,0.824
36,38,0.378,OK,2.75,135,0.0178,3,0.0336,0:258,0,0.378,0.378,0.312
37,39,0.593,OK,1.95,139,0.168,2.43,0.183,0:258,0,0.593,0.593,0.635
38,40,0.059,OK,2.33,143,0.184,2.7,0.202,0:258,0,0.059,0.059,0.0153
39,41,0.475,OK,2.2,147,0.219,2.72,0.235,0:258,0,0.475,0.475,0.365
40,42,0.739,OK,2.85,151,0.202,3.35,0.218,0:258,0,0.739,0.739,0.719
41,43,0.928,OK,3.22,155,0.151,3.69,0.168,0:258,0,0.928,0.928,0.896
42,44,0.506,OK,2.61,160,0.17,3.05,0.186,0:258,0,0.506,0.506,0.499
43,45,0.834,OK,2.06,164,0.133,2.5,0.151,0:258,0,0.834,0.834,0.769
44,46,0.117,OK,2.2,168,0.183,2.67,0.199,0:258,0,0.117,0.117,0.0528
45,37,0.257,OK,2.23,172,0.167,2.65,0.183,0:258,0,0.257,0.257,0.179
