trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,OK,7.08,11.8,0.151,7.48,0.168,0,16_25,,0.64,0.453
2,3,120_553,OK,2.75,20.9,0.167,3.18,0.184,0,120_553,,0.217,0.204
3,4,28_109,OK,2.42,25.4,0.151,2.87,0.167,0,28_109,,0.256880734,0.0972
4,5,4_5,OK,1.95,29.7,0.2,2.45,0.216,0,4_5,,0.8,0.9
5,6,11_12,OK,1.85,33.2,0.134,2.25,0.15,0,11_12,,0.916666667,0.929
6,7,11_35,OK,3.12,36.3,0.118,3.47,0.134,0,11_35,,0.314285714,0.364
7,8,3_8,OK,2.02,40.7,0.151,2.4,0.166,0,3_8,,0.375,0.278
8,9,7_15,OK,1.95,43.9,0.183,2.43,0.2,0,7_15,,0.466666667,0.442
9,10,1_9,OK,2.02,47.3,0.168,2.45,0.184,0,1_9,,0.111111111,0.0792
10,11,10_19,OK,3.4,50.7,0.166,3.88,0.183,0,10_19,,0.526315789,0.556
11,12,703_891,OK,2.85,55.6,0.167,3.3,0.183,0,703_891,,0.789,0.743
12,13,1_17,OK,2.03,59.9,0.185,2.45,0.2,0,1_17,,0.058823529,0.0792
13,14,291_491,OK,2.2,63.5,0.183,2.7,0.2,0,291_491,,0.592668024,0.575
14,15,10_13,OK,3.05,67.3,0.15,3.52,0.167,0,10_13,,0.769230769,0.792
15,16,1_6,OK,2.35,71.6,0.15,2.7,0.167,0,1_6,,0.166666667,0.0944
16,17,1_9,OK,2.12,75.3,0.201,2.58,0.218,0,1_9,,0.111111111,0.0736
17,18,10_19,OK,2.92,78.8,0.134,3.36,0.149,0,10_19,,0.526315789,0.56
18,19,10_13,OK,2.8,83.2,0.167,3.26,0.184,0,10_13,,0.769230769,0.739
19,20,28_109,OK,2.92,87.7,0.219,3.38,0.235,0,28_109,,0.256880734,0.215
20,21,16_25,ERR_TooSlowInstantaneous,0,92.1,0.217,3.64,0.234,0,16_25,,0.64,N/A
21,22,7_15,OK,2.25,98.8,0.151,2.67,0.168,0,7_15,,0.466666667,0.449
22,23,11_12,OK,2.27,108,0.2,2.73,0.216,0,11_12,,0.916666667,0.875
23,24,1_17,OK,2.11,111,0.168,2.57,0.184,0,1_17,,0.058823529,0.1
24,25,120_553,OK,3.17,115,0.234,3.67,0.25,0,120_553,,0.217,0.171
25,26,11_35,OK,3.08,120,0.217,3.57,0.234,0,11_35,,0.314285714,0.2
26,27,1_6,OK,2.22,125,0.2,2.68,0.217,0,1_6,,0.166666667,0.0667
27,28,4_5,OK,2.03,128,0.285,2.58,0.301,0,4_5,,0.8,0.929
28,29,3_8,OK,2.4,132,0.267,2.9,0.284,0,3_8,,0.375,0.21
29,30,291_491,OK,2.08,136,0.234,2.57,0.25,0,291_491,,0.592668024,0.592
30,31,703_891,OK,2.42,139,0.216,2.88,0.233,0,703_891,,0.789,0.793
31,32,1_17,OK,2.13,143,0.216,2.55,0.233,0,1_17,,0.058823529,0.106
32,34,7_15,OK,2.31,149,0.252,2.88,0.269,0,7_15,,0.466666667,0.475
33,35,16_25,OK,2.63,153,0.167,3.05,0.183,0,16_25,,0.64,0.614
34,36,11_12,OK,2.2,158,0.184,2.65,0.2,0,11_12,,0.916666667,0.889
35,37,11_35,OK,3.48,162,0.186,3.87,0.202,0,11_35,,0.314285714,0.406
36,38,703_891,OK,2.57,172,0.2,2.98,0.217,0,703_891,,0.789,0.81
37,39,3_8,OK,2.07,176,0.183,2.45,0.2,0,3_8,,0.375,0.261
38,40,4_5,OK,1.97,180,0.203,2.47,0.218,0,4_5,,0.8,0.871
39,41,10_13,OK,2.47,183,0.133,2.9,0.149,0,10_13,,0.769230769,0.717
40,42,1_6,OK,2.02,187,0.134,2.4,0.15,0,1_6,,0.166666667,0.118
41,43,10_19,OK,2.16,191,0.236,2.68,0.253,0,10_19,,0.526315789,0.622
42,44,1_9,OK,2,194,0.184,2.4,0.201,0,1_9,,0.111111111,0.111
43,45,28_109,OK,2.15,198,0.217,2.6,0.233,0,28_109,,0.256880734,0.222
44,46,291_491,OK,2.85,202,0.167,3.27,0.184,0,291_491,,0.592668024,0.642
45,21,16_25,OK,2.5,206,0.152,2.92,0.169,0,16_25,,0.64,0.678
46,33,120_553,OK,2.27,210,0.167,2.65,0.183,0,120_553,,0.217,0.214
