trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,8,7,OK,1.2,15.9,0.302,1.8,0.318,0:258,0,7,7,6.76
2,2,1,OK,1.1,19.8,0.253,1.55,0.27,0:258,0,1,1,0.583
3,4,3,OK,1.22,22.5,0.201,1.53,0.217,0:258,0,3,3,2.1
4,7,6,OK,1.27,27.8,0.302,1.67,0.317,0:258,0,6,6,5.82
5,11,10,OK,0.834,31.5,0.286,1.22,0.302,0:258,0,10,10,10.1
6,5,4,OK,1.05,34.1,0.235,1.35,0.251,0:258,0,4,4,3.56
7,9,8,OK,1.17,36.4,0.216,1.47,0.233,0:258,0,8,8,7.74
8,6,5,OK,0.931,40.3,0.254,1.3,0.268,0:258,0,5,5,4.81
9,10,9,OK,1.17,42.5,0.235,1.48,0.25,0:258,0,9,9,9.17
10,3,2,OK,1.04,45.4,0.317,1.42,0.334,0:258,0,2,2,1.62
