trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,ERR_TooSlowInstantaneous,0,8.55,0.252,2.25,0.268,0,16_25,,0.64,N/A
2,3,120_553,ERR_TooManyCurves,0,13.5,0.234,1.61,0.25,0,120_553,,0.217,N/A
3,4,28_109,OK,2.3,19.2,0.299,2.7,0.316,0,28_109,,0.256880734,0.382
4,5,4_5,OK,1.48,22.9,0.183,1.75,0.199,0,4_5,,0.8,0.778
5,6,11_12,OK,1.33,25.5,0.234,1.67,0.251,0,11_12,,0.916666667,0.933
6,7,11_35,OK,2.08,28,0.249,2.42,0.266,0,11_35,,0.314285714,0.36
7,8,3_8,OK,1.63,31.5,0.217,1.92,0.233,0,3_8,,0.375,0.358
8,9,7_15,OK,3.78,34.3,0.217,4.15,0.233,0,7_15,,0.466666667,0.496
9,10,1_9,OK,1.67,39.3,0.183,1.98,0.199,0,1_9,,0.111111111,0.15
10,11,10_19,OK,2.4,42.2,0.186,2.7,0.201,0,10_19,,0.526315789,0.468
11,12,703_891,OK,3.86,45.8,0.269,4.27,0.285,0,703_891,,0.789,0.829
12,13,1_17,OK,2.29,50.9,0.219,2.63,0.235,0,1_17,,0.058823529,0.0486
13,14,291_491,ERR_TooSlowInstantaneous,0,54.4,0.235,3.61,0.25,0,291_491,,0.592668024,N/A
14,15,10_13,OK,2.2,59.6,0.335,2.63,0.351,0,10_13,,0.769230769,0.743
15,16,1_6,OK,2.25,63,0.304,2.7,0.319,0,1_6,,0.166666667,0.208
16,17,1_9,OK,2.18,66.6,0.219,2.52,0.234,0,1_9,,0.111111111,0.0958
17,18,10_19,OK,2.95,69.9,0.201,3.27,0.218,0,10_19,,0.526315789,0.56
18,19,10_13,OK,2.55,74.1,0.232,2.93,0.249,0,10_13,,0.769230769,0.787
19,20,28_109,OK,2.63,77.8,0.2,2.92,0.217,0,28_109,,0.256880734,0.294
20,21,16_25,OK,2.3,81.7,0.216,2.63,0.234,0,16_25,,0.64,0.569
21,22,7_15,OK,1.82,85.3,0.2,2.17,0.216,0,7_15,,0.466666667,0.649
22,23,11_12,ERR_FingerLifted,0,88.3,0.184,2.64,0.2,0,11_12,,0.916666667,N/A
23,24,1_17,OK,1.73,97.9,0.236,2.05,0.251,0,1_17,,0.058823529,0.0333
24,25,120_553,OK,1.55,101,0.286,1.93,0.301,0,120_553,,0.217,0.225
25,26,11_35,OK,2.17,104,0.302,2.55,0.317,0,11_35,,0.314285714,0.36
26,27,1_6,OK,1.94,108,0.251,2.3,0.267,0,1_6,,0.166666667,0.126
27,28,4_5,OK,1.52,111,0.202,1.85,0.217,0,4_5,,0.8,0.803
28,29,3_8,OK,1.7,114,0.201,2.03,0.216,0,3_8,,0.375,0.224
29,30,291_491,OK,1.57,117,0.217,1.9,0.233,0,291_491,,0.592668024,0.603
30,31,703_891,OK,1.83,119,0.217,2.15,0.233,0,703_891,,0.789,0.799
31,32,1_17,OK,1.88,122,0.217,2.2,0.233,0,1_17,,0.058823529,0.0361
32,33,120_553,OK,2.12,126,0.152,2.42,0.167,0,120_553,,0.217,0.15
33,34,7_15,OK,1.6,129,0.167,1.88,0.184,0,7_15,,0.466666667,0.585
34,35,16_25,OK,2.02,132,0.167,2.3,0.184,0,16_25,,0.64,0.589
35,36,11_12,OK,1.65,135,0.151,1.95,0.167,0,11_12,,0.916666667,0.932
36,37,11_35,OK,2.38,138,0.234,2.75,0.25,0,11_35,,0.314285714,0.365
37,38,703_891,OK,2.52,141,0.134,2.78,0.151,0,703_891,,0.789,0.819
38,39,3_8,OK,3.68,145,0.167,4.03,0.186,0,3_8,,0.375,0.265
39,40,4_5,OK,2.58,150,0.134,2.95,0.15,0,4_5,,0.8,0.843
40,41,10_13,ERR_TooSlowInstantaneous,0,153,0.135,3.14,0.15,0,10_13,,0.769230769,N/A
41,42,1_6,OK,4.18,158,0.203,4.5,0.218,0,1_6,,0.166666667,0.162
42,43,10_19,OK,3.92,164,0.233,4.23,0.249,0,10_19,,0.526315789,0.585
43,44,1_9,OK,5.4,169,0.15,5.72,0.166,0,1_9,,0.111111111,0.0958
44,45,28_109,OK,3.61,176,0.184,3.9,0.199,0,28_109,,0.256880734,0.253
45,46,291_491,ERR_TooSlowInstantaneous,0,181,0.167,2.63,0.184,0,291_491,,0.592668024,N/A
46,2,16_25,OK,2.13,185,0.201,2.43,0.218,0,16_25,,0.64,0.604
47,3,120_553,OK,2.92,188,0.184,3.25,0.202,0,120_553,,0.217,0.132
48,14,291_491,OK,3.01,192,0.235,3.39,0.251,0,291_491,,0.592668024,0.704
49,23,11_12,OK,1.67,196,0.184,1.97,0.2,0,11_12,,0.916666667,0.91
50,41,10_13,OK,1.83,199,0.15,2.13,0.166,0,10_13,,0.769230769,0.768
51,46,291_491,OK,2.02,203,0.134,2.23,0.15,0,291_491,,0.592668024,0.767
