trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,0.52,OK,1.47,12.2,0.0664,1.67,0.0827,0:258,0,0.52,0.52,0.497
2,3,0.11,OK,1.43,14.5,0.0847,1.7,0.101,0:258,0,0.11,0.11,0.111
3,4,0.08,OK,1.75,17,0.101,2,0.117,0:258,0,0.08,0.08,0.0194
4,5,0.68,ERR_TooSlowInstantaneous,0,19.7,0.135,1.19,0.151,0:258,0,0.68,0.68,N/A
5,6,0.47,OK,1.4,22.1,0.0845,1.63,0.101,0:258,0,0.47,0.47,0.393
6,7,0.61,OK,1.42,24.4,0.0852,1.63,0.102,0:258,0,0.61,0.61,0.599
7,8,0.89,OK,1.43,26.6,0.102,1.7,0.119,0:258,0,0.89,0.89,0.817
8,9,0.98,OK,1.47,28.9,0.101,1.72,0.117,0:258,0,0.98,0.98,0.953
9,10,0.17,OK,1.48,31.3,0.0666,1.68,0.0829,0:258,0,0.17,0.17,0.0931
10,11,0.43,OK,1.3,34.6,0.154,1.57,0.169,0:258,0,0.43,0.43,0.392
11,12,0.92,OK,1.3,36.9,0.135,1.57,0.15,0:258,0,0.92,0.92,0.878
12,13,0.03,OK,1.48,39.1,0.119,1.73,0.135,0:258,0,0.03,0.03,0.0333
13,14,0.32,OK,1.91,41.5,0.108,2.17,0.129,0:258,0,0.32,0.32,0.181
14,15,0.24,OK,1.4,44.3,0.118,1.65,0.134,0:258,0,0.24,0.24,0.106
15,16,0.56,OK,1.26,46.6,0.102,1.48,0.119,0:258,0,0.56,0.56,0.553
16,17,0.85,OK,1.23,48.8,0.0671,1.42,0.0833,0:258,0,0.85,0.85,0.81
17,18,0.77,OK,1.35,51.9,0.116,1.58,0.133,0:258,0,0.77,0.77,0.706
18,19,0.73,OK,1.37,54.1,0.152,1.67,0.168,0:258,0,0.73,0.73,0.738
19,20,0.35,OK,1.67,56.4,0.101,1.93,0.117,0:258,0,0.35,0.35,0.204
20,21,0.26,ERR_TooSlowInstantaneous,0,59,0.202,0.607,0.218,0:258,0,0.26,0.26,N/A
21,22,0.98,ERR_StartedSideways,0,60.8,-1,0.0179,-1,0:258,0,0.98,0.98,N/A
22,23,0.17,OK,1.41,61.8,0.252,1.87,0.268,0:258,0,0.17,0.17,0.0819
23,24,0.26,OK,1.38,64.3,0.0504,1.57,0.0667,0:258,0,0.26,0.26,0.157
24,25,0.73,OK,1.27,66.5,0.0845,1.48,0.101,0:258,0,0.73,0.73,0.783
25,26,0.08,OK,1.3,68.6,0.171,1.6,0.186,0:258,0,0.08,0.08,0.0667
26,27,0.03,OK,1.65,70.8,0.135,1.9,0.151,0:258,0,0.03,0.03,0.0139
27,28,0.35,OK,2.32,73.4,0.0672,2.52,0.0848,0:258,0,0.35,0.35,0.0986
28,29,0.68,OK,1.38,76.7,0.0504,1.62,0.0669,0:258,0,0.68,0.68,0.608
29,30,0.47,OK,1.23,78.9,0.171,1.55,0.186,0:258,0,0.47,0.47,0.424
30,31,0.32,OK,1.28,81.1,0.119,1.58,0.135,0:258,0,0.32,0.32,0.208
31,32,0.85,OK,1.28,83.2,0.135,1.53,0.153,0:258,0,0.85,0.85,0.8
32,33,0.92,OK,1.3,85.3,0.134,1.57,0.151,0:258,0,0.92,0.92,0.91
33,34,0.56,OK,1.3,87.4,0.152,1.58,0.169,0:258,0,0.56,0.56,0.564
34,35,0.24,OK,1.38,89.7,0.117,1.65,0.134,0:258,0,0.24,0.24,0.186
35,36,0.52,OK,1.32,92,0.101,1.57,0.117,0:258,0,0.52,0.52,0.512
36,37,0.43,OK,1.26,94.2,0.119,1.52,0.137,0:258,0,0.43,0.43,0.41
37,39,0.61,OK,1.25,97.4,0.084,1.48,0.1,0:258,0,0.61,0.61,0.649
38,40,0.89,OK,1.64,100,0.151,1.97,0.168,0:258,0,0.89,0.89,0.868
39,41,0.11,ERR_TooSlowGlobal,0,103,0.0673,0.537,0.0847,0:258,0,0.11,0.11,N/A
40,42,0.35,OK,1.43,105,0.134,1.72,0.15,0:258,0,0.35,0.35,0.222
41,43,0.77,OK,1.77,107,0.134,2.02,0.151,0:258,0,0.77,0.77,0.678
42,44,0.52,OK,0.998,110,0.135,1.25,0.151,0:258,0,0.52,0.52,0.5
43,45,0.85,OK,1.94,112,0.0506,2.12,0.0681,0:258,0,0.85,0.85,0.771
44,46,0.73,OK,1.5,115,0.116,1.77,0.133,0:258,0,0.73,0.73,0.65
45,47,0.08,OK,1.68,117,0.237,2.12,0.252,0:258,0,0.08,0.08,0.0375
46,48,0.61,ERR_StartedSideways,0,120,-1,0.0182,-1,0:258,0,0.61,0.61,N/A
47,50,0.03,ERR_TooSlowGlobal,0,122,0.402,1.41,0.418,0:258,0,0.03,0.03,N/A
48,51,0.47,OK,1.28,125,0.252,1.62,0.268,0:258,0,0.47,0.47,0.403
49,52,0.32,OK,1.1,127,0.133,1.35,0.149,0:258,0,0.32,0.32,0.254
50,53,0.26,OK,1.07,129,0.0999,1.27,0.117,0:258,0,0.26,0.26,0.15
51,54,0.43,OK,1.13,131,0.1,1.37,0.116,0:258,0,0.43,0.43,0.421
52,55,0.68,OK,1.73,133,0.136,2,0.151,0:258,0,0.68,0.68,0.622
53,56,0.56,OK,1.08,135,0.0338,1.25,0.0495,0:258,0,0.56,0.56,0.511
54,57,0.11,OK,1.33,137,0.0858,1.58,0.101,0:258,0,0.11,0.11,0.143
55,58,0.92,OK,1.71,140,0.15,2.02,0.167,0:258,0,0.92,0.92,0.892
56,60,0.24,ERR_TooSlowGlobal,0,145,0.0343,0.79,0.0506,0:258,0,0.24,0.24,N/A
57,61,0.89,OK,1.5,146,0.15,1.75,0.167,0:258,0,0.89,0.89,0.736
58,5,0.68,ERR_InvalidAngle,0,149,0.318,1.02,0.335,0:258,0,0.68,0.68,N/A
59,21,0.26,OK,1.18,151,0.0835,1.38,0.0999,0:258,0,0.26,0.26,0.186
60,22,0.98,OK,1.24,153,0.134,1.47,0.151,0:258,0,0.98,0.98,0.842
61,38,0.77,OK,1.31,155,0.185,1.6,0.201,0:258,0,0.77,0.77,0.708
62,41,0.11,OK,1.25,157,0.084,1.48,0.101,0:258,0,0.11,0.11,0.15
63,48,0.61,OK,1.1,160,0.15,1.35,0.166,0:258,0,0.61,0.61,0.571
64,49,0.17,OK,1.06,162,0.219,1.4,0.235,0:258,0,0.17,0.17,0.14
65,50,0.03,OK,1.12,164,0.0505,1.27,0.0669,0:258,0,0.03,0.03,0.0333
66,59,0.98,OK,1.08,166,0.185,1.4,0.201,0:258,0,0.98,0.98,0.864
67,60,0.24,OK,1.25,168,0.152,1.53,0.168,0:258,0,0.24,0.24,0.144
68,5,0.68,OK,1.17,170,0.0847,1.38,0.101,0:258,0,0.68,0.68,0.606
