trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,ERR_TooSlowInstantaneous,0,8.42,0.516,2.31,0.533,0,16_25,,0.64,N/A
2,4,28_109,OK,1.47,15.2,0.368,1.88,0.385,0,28_109,,0.256880734,0.253
3,5,4_5,OK,1.06,18,0.27,1.45,0.285,0,4_5,,0.8,0.828
4,6,11_12,OK,1.1,20.2,0.135,1.32,0.151,0,11_12,,0.916666667,0.915
5,7,11_35,OK,1.28,22.2,0.186,1.57,0.201,0,11_35,,0.314285714,0.358
6,8,3_8,OK,1.3,25.6,0.335,1.68,0.351,0,3_8,,0.375,0.372
7,9,7_15,OK,1.3,28.1,0.185,1.52,0.202,0,7_15,,0.466666667,0.453
8,10,1_9,OK,1,30.5,0.2,1.32,0.216,0,1_9,,0.111111111,0.0611
9,11,10_19,OK,1.75,32.6,0.269,2.12,0.283,0,10_19,,0.526315789,0.521
10,12,703_891,OK,1.38,36.1,0.168,1.67,0.184,0,703_891,,0.789,0.762
11,13,1_17,OK,1.02,38.5,0.102,1.25,0.119,0,1_17,,0.058823529,0.0694
12,14,291_491,OK,1.4,40.5,0.217,1.68,0.234,0,291_491,,0.592668024,0.319
13,16,1_6,OK,1.08,44.6,0.352,1.55,0.368,0,1_6,,0.166666667,0.0597
14,17,1_9,OK,1.05,47,0.385,1.58,0.402,0,1_9,,0.111111111,0.0861
15,18,10_19,OK,3.27,49.3,0.284,3.6,0.3,0,10_19,,0.526315789,0.515
16,19,10_13,OK,1.2,53.7,0.136,1.42,0.151,0,10_13,,0.769230769,0.839
17,20,28_109,OK,1.2,55.9,0.15,1.43,0.167,0,28_109,,0.256880734,0.188
18,21,16_25,ERR_TooSlowInstantaneous,0,58.1,0.252,2.22,0.268,0,16_25,,0.64,N/A
19,22,7_15,ERR_TooSlowGlobal,0,63.4,0.017,0.323,0.0333,0,7_15,,0.466666667,N/A
20,23,11_12,OK,1.05,66.2,0.267,1.4,0.284,0,11_12,,0.916666667,0.869
21,24,1_17,OK,0.908,68.3,0.192,1.25,0.207,0,1_17,,0.058823529,0.153
22,25,120_553,OK,1.18,72.2,0.218,1.55,0.234,0,120_553,,0.217,0.239
23,26,11_35,OK,1.32,74.4,0.184,1.62,0.201,0,11_35,,0.314285714,0.389
24,27,1_6,OK,0.999,76.7,0.186,1.3,0.201,0,1_6,,0.166666667,0.103
25,28,4_5,OK,1.13,78.8,0.185,1.4,0.201,0,4_5,,0.8,0.85
26,29,3_8,OK,1.18,80.9,0.133,1.47,0.15,0,3_8,,0.375,0.367
27,30,291_491,OK,1.07,83,0.167,1.33,0.183,0,291_491,,0.592668024,0.306
28,31,703_891,OK,1.53,85,0.202,1.85,0.218,0,703_891,,0.789,0.771
29,32,1_17,OK,0.917,87.5,0.169,1.2,0.186,0,1_17,,0.058823529,0.0917
30,33,120_553,OK,1.07,89.4,0.168,1.35,0.185,0,120_553,,0.217,0.183
31,34,7_15,OK,1.32,91.4,0.368,1.78,0.385,0,7_15,,0.466666667,0.464
32,35,16_25,OK,1.85,93.9,0.184,2.13,0.2,0,16_25,,0.64,0.644
33,36,11_12,OK,0.884,96.7,0.186,1.17,0.201,0,11_12,,0.916666667,0.889
34,37,11_35,OK,0.999,99.5,0.201,1.27,0.217,0,11_35,,0.314285714,0.399
35,38,703_891,OK,1.03,101,0.234,1.42,0.251,0,703_891,,0.789,0.815
36,40,4_5,OK,0.933,106,0.169,1.19,0.185,0,4_5,,0.8,0.883
37,41,10_13,OK,1.1,107,0.167,1.4,0.182,0,10_13,,0.769230769,0.799
38,42,1_6,OK,0.931,110,0.153,1.27,0.169,0,1_6,,0.166666667,0.164
39,43,10_19,OK,1.48,114,0.303,1.85,0.318,0,10_19,,0.526315789,0.536
40,44,1_9,OK,1.45,117,0.169,1.73,0.187,0,1_9,,0.111111111,0.175
41,45,28_109,OK,1.08,119,0.317,1.47,0.335,0,28_109,,0.256880734,0.249
42,46,291_491,OK,1.05,122,0.268,1.36,0.286,0,291_491,,0.592668024,0.349
43,2,16_25,OK,1.61,124,0.269,1.95,0.285,0,16_25,,0.64,0.583
44,3,120_553,OK,1.07,126,0.268,1.42,0.284,0,120_553,,0.217,0.353
45,15,10_13,ERR_TooSlowGlobal,0,129,0.0676,0.743,0.0836,0,10_13,,0.769230769,N/A
46,21,16_25,OK,1.55,131,0.483,2.03,0.5,0,16_25,,0.64,0.544
47,22,7_15,OK,1.08,134,0.234,1.32,0.251,0,7_15,,0.466666667,0.453
48,39,3_8,OK,1.1,136,0.152,1.3,0.168,0,3_8,,0.375,0.331
49,15,10_13,OK,1.18,138,0.203,1.5,0.221,0,10_13,,0.769230769,0.81
