trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,0.323,OK,3.31,10.2,0.969,4.35,0.986,0:258,0,0.323,0.323,0.243
2,3,0.739,OK,2.65,15.7,0.8,3.5,0.817,0:258,0,0.739,0.739,0.761
3,4,0.506,OK,2.36,20.2,0.519,3,0.535,0:258,0,0.506,0.506,0.525
4,5,0.167,OK,2.76,24.2,0.435,3.35,0.452,0:258,0,0.167,0.167,0.0389
5,6,0.111,OK,2.1,28.7,0.0698,2.32,0.0837,0:258,0,0.111,0.111,0.025
6,7,0.059,ERR_TooSlowInstantaneous,0,32.2,0.035,1.79,0.0501,0:258,0,0.059,0.059,N/A
7,9,0.769,OK,3.51,37.1,0.67,4.37,0.685,0:258,0,0.769,0.769,0.753
8,10,0.378,ERR_TooSlowInstantaneous,0,42.5,0.686,1.12,0.701,0:258,0,0.378,0.378,N/A
9,11,0.257,OK,3.2,44.9,0.402,3.77,0.418,0:258,0,0.257,0.257,0.225
10,12,0.117,OK,1.9,57.1,0.387,2.4,0.403,0:258,0,0.117,0.117,0.0514
11,13,0.593,OK,2.17,60.4,0.5,2.83,0.516,0:258,0,0.593,0.593,0.575
12,14,0.475,OK,1.98,64.1,0.236,2.33,0.252,0:258,0,0.475,0.475,0.256
13,15,0.653,ERR_FingerLifted,0,67.1,0.203,2.77,0.218,0:258,0,0.653,0.653,N/A
14,16,0.928,ERR_FingerLifted,0,71.4,0.501,2.72,0.519,0:258,0,0.928,0.928,N/A
15,17,0.257,ERR_FingerLifted,0,75.4,0.318,2.72,0.335,0:258,0,0.257,0.257,N/A
16,20,0.653,OK,1.72,82,0.618,2.33,0.635,0:258,0,0.653,0.653,0.639
17,21,0.593,ERR_FingerLifted,0,85.9,0.301,3.64,0.317,0:258,0,0.593,0.593,N/A
18,23,0.111,ERR_FingerLifted,0,91.5,0.483,2.66,0.5,0:258,0,0.111,0.111,N/A
19,24,0.834,ERR_FingerLifted,0,96.8,0.502,2.57,0.519,0:258,0,0.834,0.834,N/A
20,25,0.739,ERR_StartedSideways,0,101,-1,0.0178,-1,0:258,0,0.739,0.739,N/A
21,26,0.059,ERR_FingerLifted,0,105,0.9,5.27,0.917,0:258,0,0.059,0.059,N/A
22,27,0.378,ERR_FingerLifted,0,112,0.484,1.64,0.5,0:258,0,0.378,0.378,N/A
23,30,0.928,ERR_FingerLifted,0,121,0.283,1.44,0.299,0:258,0,0.928,0.928,N/A
24,31,0.323,ERR_FingerLifted,0,124,0.468,2.49,0.484,0:258,0,0.323,0.323,N/A
25,32,0.167,OK,3.13,148,0.838,4.27,0.852,0:258,0,0.167,0.167,0.131
