trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,"9,158",OK,4.23,12.7,0.252,4.79,0.268,0:258,0,"9,158",9158,8.69e+03
2,3,"4,782",OK,2.73,18.4,0.234,3.23,0.25,0:258,0,"4,782",4782,4.06e+03
3,4,"9,845",OK,3.03,22.5,0.234,3.52,0.25,0:258,0,"9,845",9845,9.03e+03
4,5,"1,751",ERR_TooSlowInstantaneous,0,26.9,0.136,2.54,0.152,0:258,0,"1,751",1751,N/A
5,6,"5,312",OK,2.42,31.5,0.185,2.8,0.202,0:258,0,"5,312",5312,5.11e+03
6,7,"8,074",OK,2.15,35.1,0.135,2.55,0.151,0:258,0,"8,074",8074,6.78e+03
7,8,"7,729",OK,1.85,38.5,0.102,2.27,0.118,0:258,0,"7,729",7729,6.36e+03
8,9,"5,886",OK,2.5,41.5,0.184,3,0.201,0:258,0,"5,886",5886,5.61e+03
9,10,"6,401",OK,2.12,45.4,0.168,2.58,0.184,0:258,0,"6,401",6401,6.6e+03
10,11,992,OK,3.55,49,0.151,4.03,0.168,0:258,0,992,992,1.53e+03
11,12,"8,906",OK,2.85,54.2,0.253,3.42,0.268,0:258,0,"8,906",8906,7.65e+03
12,13,"6,698",OK,2.73,58.4,0.152,3.19,0.166,0:258,0,"6,698",6698,6.75e+03
13,14,"4,115",OK,3.08,62.4,0.0683,3.38,0.0847,0:258,0,"4,115",4115,3.92e+03
14,15,"3,903",OK,2.05,66.6,0.119,2.42,0.135,0:258,0,"3,903",3903,3.08e+03
15,16,"3,274",OK,2.18,69.9,0.0847,2.58,0.101,0:258,0,"3,274",3274,2.72e+03
16,17,"2,894",OK,2.3,73.5,0.118,2.7,0.135,0:258,0,"2,894",2894,1.82e+03
17,18,374,OK,2.27,77.1,0.151,2.7,0.167,0:258,0,374,374,611
18,19,"1,023",OK,2.59,80.7,0.0664,2.83,0.0845,0:258,0,"1,023",1023,764
19,20,"7,264",OK,3.08,84.5,0.183,3.5,0.199,0:258,0,"7,264",7264,6.93e+03
20,21,"2,148",OK,2.35,88.8,0.236,2.83,0.252,0:258,0,"2,148",2148,1.89e+03
21,22,"3,274",OK,2.55,92.5,0.169,3.03,0.185,0:258,0,"3,274",3274,1.74e+03
22,23,"9,845",OK,2.63,96.6,0.168,3.13,0.185,0:258,0,"9,845",9845,9.26e+03
23,24,"2,148",OK,2.37,100,0.219,2.88,0.235,0:258,0,"2,148",2148,1.06e+03
24,25,"1,751",OK,2.68,104,0.169,3.17,0.185,0:258,0,"1,751",1751,1.43e+03
25,26,"5,886",OK,2.53,109,0.233,3.02,0.25,0:258,0,"5,886",5886,5.78e+03
26,27,"8,074",OK,2.7,113,0.17,3.17,0.186,0:258,0,"8,074",8074,7.31e+03
27,28,"1,023",OK,2.31,117,0.253,2.8,0.269,0:258,0,"1,023",1023,1.08e+03
28,29,"4,782",OK,2.26,120,0.186,2.67,0.202,0:258,0,"4,782",4782,3.08e+03
