trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,OK,2.18,9.78,0.0847,2.33,0.0999,0,16_25,,0.64,0.568
2,3,120_553,OK,2.12,13,0.133,2.35,0.151,0,120_553,,0.217,0.203
3,4,28_109,OK,2.18,16.4,0.101,2.38,0.117,0,28_109,,0.256880734,0.194
4,5,4_5,OK,1.33,19.6,0.0969,1.55,0.113,0,4_5,,0.8,0.836
5,6,11_12,OK,2.12,22,0.0834,2.33,0.0998,0,11_12,,0.916666667,0.958
6,7,11_35,OK,2.43,25.2,0.137,2.67,0.153,0,11_35,,0.314285714,0.2
7,8,3_8,OK,1.82,28.6,0.118,2.05,0.134,0,3_8,,0.375,0.289
8,9,7_15,OK,1.95,31.4,0.0842,2.13,0.101,0,7_15,,0.466666667,0.39
9,10,1_9,OK,1.23,34.4,0.101,1.45,0.117,0,1_9,,0.111111111,0.0986
10,11,10_19,OK,2.72,36.6,0.0834,2.9,0.0998,0,10_19,,0.526315789,0.583
11,12,703_891,OK,1.97,40.2,0.1,2.15,0.116,0,703_891,,0.789,0.833
12,13,1_17,OK,1.25,43.3,0.117,1.47,0.134,0,1_17,,0.058823529,0.0639
13,14,291_491,OK,2.12,45.6,0.134,2.37,0.15,0,291_491,,0.592668024,0.631
14,15,10_13,OK,1.42,48.7,0.117,1.63,0.133,0,10_13,,0.769230769,0.871
15,16,1_6,OK,1.33,51.2,0.117,1.57,0.134,0,1_6,,0.166666667,0.154
16,17,1_9,OK,1.23,53.5,0.118,1.48,0.135,0,1_9,,0.111111111,0.0569
17,18,10_19,OK,1.9,55.8,0.0509,2.07,0.0675,0,10_19,,0.526315789,0.572
18,19,10_13,OK,2.22,58.6,0.15,2.5,0.167,0,10_13,,0.769230769,0.861
19,20,28_109,OK,1.62,61.8,0.0851,1.82,0.101,0,28_109,,0.256880734,0.181
20,21,16_25,OK,1.25,64.3,0.119,1.5,0.135,0,16_25,,0.64,0.578
21,22,7_15,OK,1.35,66.5,0.101,1.57,0.117,0,7_15,,0.466666667,0.422
22,23,11_12,OK,1.38,68.8,0.117,1.62,0.133,0,11_12,,0.916666667,0.949
23,24,1_17,OK,1.37,71.2,0.0834,1.58,0.1,0,1_17,,0.058823529,0.0597
24,25,120_553,OK,1.6,73.6,0.134,1.83,0.15,0,120_553,,0.217,0.189
25,26,11_35,OK,1.7,76.2,0.1,1.92,0.117,0,11_35,,0.314285714,0.239
26,27,1_6,OK,1.33,78.9,0.117,1.58,0.134,0,1_6,,0.166666667,0.186
27,28,4_5,OK,1.12,81.2,0.168,1.47,0.185,0,4_5,,0.8,0.887
28,29,3_8,OK,1.42,83.5,0.0837,1.6,0.1,0,3_8,,0.375,0.303
29,30,291_491,OK,2.28,85.9,0.0834,2.53,0.1,0,291_491,,0.592668024,0.69
30,31,703_891,OK,2.2,90.3,0.0838,2.47,0.1,0,703_891,,0.789,0.807
31,32,1_17,OK,1.35,93.6,0.0843,1.58,0.1,0,1_17,,0.058823529,0.0611
32,33,120_553,OK,1.66,95.9,0.103,1.87,0.118,0,120_553,,0.217,0.2
33,34,7_15,OK,1.32,98.6,0.134,1.57,0.15,0,7_15,,0.466666667,0.383
34,35,16_25,OK,1.18,101,0.136,1.45,0.152,0,16_25,,0.64,0.585
35,36,11_12,OK,1.32,103,0.0993,1.52,0.116,0,11_12,,0.916666667,0.926
36,37,11_35,ERR_InvalidAngle,0,105,0.134,1.26,0.15,0,11_35,,0.314285714,N/A
37,38,703_891,ERR_InvalidAngle,0,108,0.0838,3.16,0.101,0,703_891,,0.789,N/A
38,39,3_8,ERR_TooSlowInstantaneous,0,113,0.118,1.54,0.135,0,3_8,,0.375,N/A
39,40,4_5,OK,1.18,117,0.1,1.4,0.117,0,4_5,,0.8,0.836
40,41,10_13,OK,1.47,120,0.133,1.77,0.149,0,10_13,,0.769230769,0.856
41,42,1_6,OK,1.22,122,0.0909,1.38,0.107,0,1_6,,0.166666667,0.156
42,43,10_19,OK,1.6,125,0.117,1.82,0.133,0,10_19,,0.526315789,0.419
43,44,1_9,ERR_InvalidAngle,0,128,0.0846,1.02,0.101,0,1_9,,0.111111111,N/A
44,45,28_109,OK,1.33,131,0.201,1.67,0.217,0,28_109,,0.256880734,0.217
45,46,291_491,OK,2.25,133,0.117,2.52,0.133,0,291_491,,0.592668024,0.668
46,37,11_35,OK,1.47,137,0.167,1.82,0.184,0,11_35,,0.314285714,0.297
47,38,703_891,OK,1.45,139,0.116,1.73,0.133,0,703_891,,0.789,0.79
48,39,3_8,OK,1.27,142,0.152,1.55,0.168,0,3_8,,0.375,0.287
49,44,1_9,ERR_InvalidAngle,0,144,0.135,1.14,0.151,0,1_9,,0.111111111,N/A
50,44,1_9,OK,1.08,147,0.119,1.35,0.135,0,1_9,,0.111111111,0.05
