trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,"9,158",ERR_TooSlowInstantaneous,0,16.8,0.252,2.14,0.268,0:258,0,"9,158",9158,N/A
2,3,"4,782",OK,1.63,20.2,0.184,1.92,0.201,0:258,0,"4,782",4782,4.39e+03
3,4,"9,845",OK,1.13,23.1,0.0153,1.32,0.0321,0:258,0,"9,845",9845,9.57e+03
4,5,"1,751",OK,1.62,25.2,0.184,1.98,0.201,0:258,0,"1,751",1751,639
5,6,"5,312",OK,1.2,28,0.117,1.45,0.133,0:258,0,"5,312",5312,5.32e+03
6,7,"8,074",OK,1.2,30.2,0.152,1.5,0.168,0:258,0,"8,074",8074,8.76e+03
7,8,"7,729",OK,1.22,32.4,0.101,1.43,0.116,0:258,0,"7,729",7729,7.43e+03
8,9,"5,886",OK,1.26,34.6,0.219,1.62,0.234,0:258,0,"5,886",5886,5.76e+03
9,10,"6,401",OK,1.15,37,0.185,1.47,0.202,0:258,0,"6,401",6401,6.65e+03
10,11,992,OK,2.15,39.2,0.169,2.5,0.185,0:258,0,992,992,681
11,12,"8,906",OK,1.47,42.5,0.101,1.67,0.117,0:258,0,"8,906",8906,8.74e+03
12,13,"6,698",OK,1.23,45,0.185,1.5,0.201,0:258,0,"6,698",6698,6.46e+03
13,14,"4,115",OK,1.33,47.4,0.133,1.57,0.15,0:258,0,"4,115",4115,3.92e+03
14,15,"3,903",OK,1.42,49.9,0.167,1.75,0.183,0:258,0,"3,903",3903,2.57e+03
15,16,"3,274",OK,1.3,52.4,0.017,1.4,0.0334,0:258,0,"3,274",3274,1.57e+03
16,17,"2,894",OK,1.12,54.5,0.251,1.48,0.267,0:258,0,"2,894",2894,1.26e+03
17,18,374,OK,1.4,56.8,0.117,1.65,0.133,0:258,0,374,374,83.3
18,19,"1,023",OK,1.13,60.6,0.134,1.45,0.15,0:258,0,"1,023",1023,528
19,20,"7,264",OK,1.88,62.8,0.168,2.18,0.185,0:258,0,"7,264",7264,7.62e+03
20,21,"2,148",OK,1.08,65.7,0.22,1.48,0.235,0:258,0,"2,148",2148,1.85e+03
21,22,"3,274",OK,1.05,67.9,0.218,1.42,0.234,0:258,0,"3,274",3274,2.32e+03
22,23,"9,845",OK,1.93,70.1,0.202,2.28,0.217,0:258,0,"9,845",9845,9.88e+03
23,24,"2,148",OK,1.33,73.1,0.253,1.75,0.268,0:258,0,"2,148",2148,1.01e+03
