trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,OK,4.61,9.08,0.236,5,0.251,0,16_25,,0.64,0.604
2,3,120_553,OK,2.86,14.9,0.219,3.25,0.235,0,120_553,,0.217,0.236
3,4,28_109,OK,1.98,18.9,0.15,2.23,0.168,0,28_109,,0.256880734,0.207
4,5,4_5,OK,2.13,21.8,0.284,2.55,0.301,0,4_5,,0.8,0.75
5,6,11_12,OK,1.51,25,0.218,1.87,0.235,0,11_12,,0.916666667,0.899
6,7,11_35,OK,3.5,27.6,0.203,3.89,0.218,0,11_35,,0.314285714,0.279
7,8,3_8,OK,1.9,32.2,0.252,2.28,0.268,0,3_8,,0.375,0.364
8,9,7_15,OK,1.68,35.2,0.15,1.92,0.166,0,7_15,,0.466666667,0.468
9,10,1_9,OK,1.52,38,0.235,1.88,0.252,0,1_9,,0.111111111,0.0875
10,11,10_19,OK,1.8,40.7,0.169,2.08,0.184,0,10_19,,0.526315789,0.438
11,12,703_891,ERR_TooSlowInstantaneous,0,43.4,0.233,2.24,0.25,0,703_891,,0.789,N/A
12,13,1_17,OK,4.05,46.8,0.219,4.37,0.235,0,1_17,,0.058823529,0.118
13,14,291_491,OK,1.45,51.9,0.203,1.73,0.219,0,291_491,,0.592668024,0.393
14,15,10_13,OK,1.55,54.3,0.15,1.83,0.167,0,10_13,,0.769230769,0.771
15,16,1_6,OK,2.45,57,0.151,2.75,0.166,0,1_6,,0.166666667,0.15
16,17,1_9,OK,1.4,60.5,0.117,1.6,0.134,0,1_9,,0.111111111,0.0292
17,18,10_19,OK,1.47,62.8,0.15,1.77,0.166,0,10_19,,0.526315789,0.594
18,19,10_13,ERR_TooSlowInstantaneous,0,65.2,0.102,1.74,0.118,0,10_13,,0.769230769,N/A
19,20,28_109,OK,0.651,68,0.152,0.866,0.167,0,28_109,,0.256880734,0.768
20,21,16_25,ERR_TooSlowInstantaneous,0,69.6,0.15,1.34,0.168,0,16_25,,0.64,N/A
21,22,7_15,OK,2.45,72.2,0.134,2.72,0.151,0,7_15,,0.466666667,0.471
22,23,11_12,OK,1.28,75.5,0.185,1.6,0.201,0,11_12,,0.916666667,0.868
23,24,1_17,OK,1.33,77.8,0.134,1.58,0.15,0,1_17,,0.058823529,0.0347
24,25,120_553,OK,1.75,80.1,0.101,1.97,0.118,0,120_553,,0.217,0.221
25,26,11_35,OK,1.65,82.7,0.119,1.92,0.135,0,11_35,,0.314285714,0.29
26,27,1_6,OK,1.4,85.3,0.0855,1.63,0.101,0,1_6,,0.166666667,0.203
27,28,4_5,OK,1.98,87.5,0.103,2.27,0.118,0,4_5,,0.8,0.793
28,29,3_8,OK,1.47,90.4,0.135,1.72,0.152,0,3_8,,0.375,0.371
29,30,291_491,OK,1.51,92.8,0.1,1.73,0.117,0,291_491,,0.592668024,0.36
30,31,703_891,OK,2.87,95.1,0.0513,3.05,0.0682,0,703_891,,0.789,0.756
31,32,1_17,OK,1.27,99,0.217,1.58,0.234,0,1_17,,0.058823529,0.0458
32,33,120_553,OK,1.89,101,0.134,2.1,0.151,0,120_553,,0.217,0.214
33,34,7_15,OK,1.35,104,0.068,1.5,0.0842,0,7_15,,0.466666667,0.372
34,35,16_25,OK,1.95,106,0.134,2.23,0.15,0,16_25,,0.64,0.599
35,36,11_12,OK,1.35,109,0.136,1.62,0.152,0,11_12,,0.916666667,0.819
36,37,11_35,OK,2.33,111,0.134,2.6,0.15,0,11_35,,0.314285714,0.3
37,38,703_891,OK,1.48,115,0.117,1.77,0.133,0,703_891,,0.789,0.912
38,39,3_8,OK,1.33,117,0.0837,1.55,0.1,0,3_8,,0.375,0.44
39,40,4_5,OK,1.47,119,0.4,1.95,0.417,0,4_5,,0.8,0.493
40,41,10_13,OK,1.38,122,0.068,1.6,0.0841,0,10_13,,0.769230769,0.735
41,42,1_6,OK,1.55,124,0.102,1.85,0.12,0,1_6,,0.166666667,0.276
42,43,10_19,ERR_TooSlowInstantaneous,0,126,0.135,1.65,0.151,0,10_19,,0.526315789,N/A
43,44,1_9,OK,0.583,129,0.101,0.818,0.117,0,1_9,,0.111111111,0.606
44,45,28_109,OK,1.63,132,0.2,1.83,0.217,0,28_109,,0.256880734,0.194
45,46,291_491,OK,1.77,135,0.102,2.02,0.118,0,291_491,,0.592668024,0.646
46,12,703_891,OK,1.51,138,0.118,1.78,0.135,0,703_891,,0.789,0.81
47,19,10_13,OK,2.72,140,0.118,3.02,0.134,0,10_13,,0.769230769,0.688
48,21,16_25,OK,1.5,144,0.119,1.78,0.135,0,16_25,,0.64,0.624
49,43,10_19,OK,2.83,147,0.152,3.15,0.168,0,10_19,,0.526315789,0.579
