trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,6,5,ERR_TooSlowInstantaneous,0,2.49e+03,2.38,4.74,2.4,0:258,0,5,5,N/A
2,5,4,OK,1.65,2.5e+03,0.952,2.92,0.968,0:258,0,4,4,4.18
3,6,5,OK,1.48,2.51e+03,0.952,2.63,0.968,0:258,0,5,5,5.03
4,8,7,OK,1.73,2.52e+03,0.636,2.69,0.653,0:258,0,7,7,7.21
5,7,6,OK,1.73,2.52e+03,0.433,2.35,0.449,0:258,0,6,6,6.33
6,9,8,OK,1.75,2.53e+03,0.403,2.4,0.42,0:258,0,8,8,7.68
7,2,1,OK,1.53,2.53e+03,0.383,2.23,0.4,0:258,0,1,1,1.18
8,11,10,OK,1.45,2.54e+03,0.419,2.16,0.436,0:258,0,10,10,9.88
9,4,3,OK,1.65,2.54e+03,0.35,2.23,0.367,0:258,0,3,3,2.82
10,3,2,OK,1.55,2.54e+03,0.317,2.03,0.334,0:258,0,2,2,2.1
11,10,9,OK,1.67,2.55e+03,0.267,2.16,0.284,0:258,0,9,9,8.71
