trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,0.323,OK,2.33,10.3,0.419,2.92,0.435,0:258,0,0.323,0.323,0.119
2,3,0.739,OK,2.15,14.2,0.334,2.6,0.351,0:258,0,0.739,0.739,0.853
3,4,0.506,OK,1.68,17.6,0.301,2.13,0.317,0:258,0,0.506,0.506,0.478
4,5,0.167,OK,1.68,20.5,0.285,2,0.301,0:258,0,0.167,0.167,0.0681
5,6,0.111,OK,1.68,23.3,0.237,1.97,0.252,0:258,0,0.111,0.111,0.0278
6,7,0.059,OK,1.87,26.1,0.185,2.12,0.201,0:258,0,0.059,0.059,0.0139
7,8,0.834,OK,2.15,29,0.266,2.5,0.283,0:258,0,0.834,0.834,0.853
8,9,0.769,OK,1.35,32.3,0.282,1.75,0.299,0:258,0,0.769,0.769,0.803
9,10,0.378,OK,1.78,34.9,0.333,2.22,0.35,0:258,0,0.378,0.378,0.139
10,11,0.257,OK,1.36,37.9,0.269,1.73,0.283,0:258,0,0.257,0.257,0.0764
11,12,0.117,OK,1.45,40.3,0.268,1.82,0.284,0:258,0,0.117,0.117,0.0264
12,13,0.593,OK,1.85,42.9,0.267,2.25,0.284,0:258,0,0.593,0.593,0.536
13,14,0.475,OK,1.67,46,0.251,2.02,0.266,0:258,0,0.475,0.475,0.44
14,15,0.653,ERR_FingerLifted,0,48.8,0.283,3.09,0.299,0:258,0,0.653,0.653,N/A
15,16,0.928,OK,1.9,52.9,0.233,2.28,0.25,0:258,0,0.928,0.928,0.9
16,17,0.257,ERR_FingerLifted,0,56.2,0.334,3.14,0.35,0:258,0,0.257,0.257,N/A
17,18,0.475,OK,1.75,60,0.303,2.23,0.318,0:258,0,0.475,0.475,0.414
18,19,0.506,OK,1.48,63.2,0.353,2,0.367,0:258,0,0.506,0.506,0.486
19,20,0.653,OK,1.53,66.2,0.35,2.05,0.366,0:258,0,0.653,0.653,0.611
20,21,0.593,OK,2.26,69.2,0.342,2.82,0.363,0:258,0,0.593,0.593,0.553
21,22,0.167,OK,1.67,72.8,0.3,2.09,0.317,0:258,0,0.167,0.167,0.0806
22,23,0.111,OK,1.48,75.6,0.284,1.83,0.301,0:258,0,0.111,0.111,0.0292
23,24,0.834,OK,1.62,78.3,0.332,2.07,0.35,0:258,0,0.834,0.834,0.869
24,25,0.739,OK,1.4,81.2,0.369,1.87,0.385,0:258,0,0.739,0.739,0.8
25,26,0.059,OK,1.77,83.9,0.299,2.17,0.316,0:258,0,0.059,0.059,0.0278
26,27,0.378,ERR_FingerLifted,0,86.8,0.434,3.2,0.45,0:258,0,0.378,0.378,N/A
27,28,0.117,OK,1.38,90.9,0.217,1.7,0.233,0:258,0,0.117,0.117,0.0333
28,29,0.769,OK,1.6,93.3,0.366,2.05,0.382,0:258,0,0.769,0.769,0.79
29,30,0.928,OK,1.53,96.3,0.251,1.92,0.268,0:258,0,0.928,0.928,0.925
30,31,0.323,OK,1.35,99.2,0.366,1.83,0.383,0:258,0,0.323,0.323,0.181
31,32,0.167,OK,1.62,102,0.333,2.05,0.35,0:258,0,0.167,0.167,0.0819
32,33,0.111,OK,1.45,105,0.299,1.82,0.316,0:258,0,0.111,0.111,0.0278
33,34,0.323,OK,1.52,107,0.383,1.97,0.4,0:258,0,0.323,0.323,0.181
34,35,0.653,OK,1.63,110,0.15,1.85,0.167,0:258,0,0.653,0.653,0.646
35,36,0.769,OK,1.45,113,0.316,1.87,0.333,0:258,0,0.769,0.769,0.758
36,37,0.257,OK,1.49,116,0.302,1.88,0.317,0:258,0,0.257,0.257,0.162
37,38,0.378,OK,1.32,118,0.284,1.68,0.299,0:258,0,0.378,0.378,0.233
38,39,0.593,OK,2.03,121,0.333,2.47,0.349,0:258,0,0.593,0.593,0.571
39,40,0.059,OK,1.65,124,0.299,2.1,0.316,0:258,0,0.059,0.059,0
40,41,0.475,OK,2.43,127,0.152,2.7,0.168,0:258,0,0.475,0.475,-0.0125
41,42,0.739,ERR_TooSlowInstantaneous,0,131,0.219,2.91,0.234,0:258,0,0.739,0.739,N/A
42,43,0.928,OK,1.64,137,0.369,2.12,0.385,0:258,0,0.928,0.928,0.892
43,44,0.506,OK,1.55,140,0.2,1.82,0.217,0:258,0,0.506,0.506,0.482
44,45,0.834,OK,1.72,143,0.25,2.08,0.266,0:258,0,0.834,0.834,0.856
45,46,0.117,OK,1.47,145,0.25,1.77,0.267,0:258,0,0.117,0.117,0.0361
46,15,0.653,OK,1.65,148,0.249,2.02,0.266,0:258,0,0.653,0.653,0.608
47,17,0.257,OK,1.71,151,0.351,2.22,0.367,0:258,0,0.257,0.257,0.158
48,27,0.378,OK,1.67,154,0.185,1.95,0.201,0:258,0,0.378,0.378,0.228
49,42,0.739,OK,1.53,157,0.285,1.9,0.301,0:258,0,0.739,0.739,0.713
