trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,OK,2.83,8.67,0.734,3.78,0.752,0,16_25,,0.64,0.492
2,3,120_553,OK,2.55,14.1,0.334,2.97,0.351,0,120_553,,0.217,0.119
3,4,28_109,OK,2.4,17.9,0.268,2.85,0.284,0,28_109,,0.256880734,0.183
4,5,4_5,OK,2,21.5,0.249,2.42,0.266,0,4_5,,0.8,0.84
5,6,11_12,OK,1.78,24.8,0.267,2.2,0.284,0,11_12,,0.916666667,0.944
6,7,11_35,OK,1.98,27.8,0.267,2.35,0.283,0,11_35,,0.314285714,0.347
7,8,3_8,OK,2.08,31,0.183,2.38,0.199,0,3_8,,0.375,0.146
8,9,7_15,OK,1.88,34.2,0.22,2.18,0.235,0,7_15,,0.466666667,0.431
9,10,1_9,OK,1.75,37.3,0.2,2.03,0.216,0,1_9,,0.111111111,0.05
10,11,10_19,OK,2.2,40,0.217,2.52,0.233,0,10_19,,0.526315789,0.436
11,12,703_891,OK,1.83,43.4,0.15,2.12,0.166,0,703_891,,0.789,0.808
12,13,1_17,OK,1.62,46.4,0.249,1.95,0.266,0,1_17,,0.058823529,0.0778
13,14,291_491,OK,1.48,49.1,0.233,1.83,0.25,0,291_491,,0.592668024,0.483
14,15,10_13,OK,2.13,51.7,0.218,2.52,0.235,0,10_13,,0.769230769,0.776
15,16,1_6,OK,1.48,55.1,0.167,1.72,0.182,0,1_6,,0.166666667,0.0736
16,17,1_9,OK,1.73,57.7,0.217,2.04,0.233,0,1_9,,0.111111111,0.0306
17,18,10_19,OK,1.8,60.5,0.152,2.05,0.168,0,10_19,,0.526315789,0.407
18,19,10_13,OK,1.98,63.3,0.183,2.27,0.2,0,10_13,,0.769230769,0.732
19,20,28_109,OK,1.68,66.4,0.234,1.96,0.251,0,28_109,,0.256880734,0.0833
20,21,16_25,OK,2,69.2,0.219,2.3,0.235,0,16_25,,0.64,0.367
21,22,7_15,OK,1.62,72.3,0.0171,1.7,0.0334,0,7_15,,0.466666667,0.431
22,23,11_12,OK,1.52,76.2,0.318,1.97,0.334,0,11_12,,0.916666667,0.926
23,24,1_17,OK,1.43,79,0.188,1.72,0.202,0,1_17,,0.058823529,0.0444
24,25,120_553,OK,1.55,81.4,0.268,1.92,0.285,0,120_553,,0.217,0.117
25,26,11_35,ERR_FingerLifted,0,84.1,0.203,2.89,0.217,0,11_35,,0.314285714,N/A
26,27,1_6,OK,1.29,87.9,0.171,1.53,0.184,0,1_6,,0.166666667,0.0486
27,28,4_5,OK,1.48,90.2,0.218,1.78,0.235,0,4_5,,0.8,0.858
28,29,3_8,OK,1.68,93,0.268,2.07,0.283,0,3_8,,0.375,0.174
29,30,291_491,OK,1.37,95.9,0.384,1.85,0.401,0,291_491,,0.592668024,0.478
30,31,703_891,OK,1.8,98.5,0.249,2.13,0.266,0,703_891,,0.789,0.863
31,32,1_17,OK,1.38,102,0.267,1.72,0.284,0,1_17,,0.058823529,0.0569
32,33,120_553,OK,1.52,104,0.185,1.75,0.201,0,120_553,,0.217,0.114
33,34,7_15,OK,1.42,106,0.168,1.63,0.184,0,7_15,,0.466666667,0.397
34,35,16_25,ERR_FingerLifted,0,109,0.0167,2.74,0.0331,0,16_25,,0.64,N/A
35,36,11_12,OK,1.6,112,0.184,1.9,0.2,0,11_12,,0.916666667,0.928
36,37,11_35,OK,1.72,115,0.232,2.03,0.249,0,11_35,,0.314285714,0.151
37,38,703_891,OK,1.63,118,0.266,2.03,0.283,0,703_891,,0.789,0.881
38,39,3_8,OK,1.6,121,0.151,1.81,0.168,0,3_8,,0.375,0.161
39,40,4_5,OK,1.33,124,0.151,1.6,0.168,0,4_5,,0.8,0.876
40,41,10_13,OK,1.71,127,0.319,2.12,0.334,0,10_13,,0.769230769,0.397
41,42,1_6,OK,1.87,130,0.218,2.15,0.234,0,1_6,,0.166666667,0.075
42,43,10_19,ERR_TooSlowInstantaneous,0,133,0.133,1.73,0.149,0,10_19,,0.526315789,N/A
43,45,28_109,OK,1.4,137,0.151,1.65,0.167,0,28_109,,0.256880734,0.075
44,46,291_491,OK,1.18,140,0.234,1.48,0.25,0,291_491,,0.592668024,0.483
45,26,11_35,OK,1.62,142,0.185,1.87,0.201,0,11_35,,0.314285714,0.217
46,35,16_25,OK,1.42,145,0.135,1.73,0.151,0,16_25,,0.64,0.383
47,43,10_19,OK,1.33,147,0.236,1.65,0.251,0,10_19,,0.526315789,0.421
48,44,1_9,OK,1.25,150,0.186,1.55,0.201,0,1_9,,0.111111111,0.0583
