trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,"9,158",OK,0.849,9.87,0.718,1.88,0.734,0:258,0,"9,158",9158,8.67e+03
2,3,"4,782",OK,0.897,12.8,1.3,2.5,1.32,0:258,0,"4,782",4782,4.71e+03
3,4,"9,845",ERR_TooSlowGlobal,0,17.4,0.918,1.24,0.935,0:258,0,"9,845",9845,N/A
4,6,"5,312",OK,0.315,22.1,0.636,1.28,0.65,0:258,0,"5,312",5312,8.65e+03
5,7,"8,074",OK,0.675,25.8,0.852,1.84,0.868,0:258,0,"8,074",8074,8.61e+03
6,9,"5,886",OK,0.749,29.9,0.785,1.86,0.801,0:258,0,"5,886",5886,4.74e+03
7,10,"6,401",ERR_TooSlowInstantaneous,0,32.7,0.72,1.16,0.734,0:258,0,"6,401",6401,N/A
8,12,"8,906",ERR_TooSlowInstantaneous,0,39.8,0.603,1.08,0.618,0:258,0,"8,906",8906,N/A
9,14,"4,115",ERR_TooSlowGlobal,0.665,42.5,0.652,1.6,0.667,0:258,0,"4,115",4115,4.93e+03
10,15,"3,903",ERR_TooSlowInstantaneous,0,45.7,2.97,3.43,2.99,0:258,0,"3,903",3903,N/A
11,16,"3,274",ERR_TooSlowGlobal,0,50.4,0.651,0.974,0.668,0:258,0,"3,274",3274,N/A
12,18,374,OK,0.648,57.7,2.63,3.61,2.65,0:258,0,374,374,2.39e+03
13,20,"7,264",ERR_TooSlowInstantaneous,0,68.8,0.967,1.21,0.981,0:258,0,"7,264",7264,N/A
14,21,"2,148",ERR_TooSlowInstantaneous,0,79.9,0.721,1.03,0.736,0:258,0,"2,148",2148,N/A
15,22,"3,274",OK,1.28,90.2,4.73,6.33,4.75,0:258,0,"3,274",3274,1.93e+03
16,23,"9,845",OK,1.42,98.9,0.467,2.21,0.484,0:258,0,"9,845",9845,8.82e+03
17,24,"2,148",ERR_TooSlowInstantaneous,0,102,0.522,0.83,0.536,0:258,0,"2,148",2148,N/A
18,25,"1,751",ERR_TooSlowGlobal,0,105,0.536,0.856,0.552,0:258,0,"1,751",1751,N/A
19,26,"5,886",ERR_FingerLifted,0,107,0.653,2.24,0.668,0:258,0,"5,886",5886,N/A
20,28,"1,023",OK,1.18,114,0.537,2.02,0.552,0:258,0,"1,023",1023,1e+03
21,30,"7,729",OK,1.88,118,0.386,2.57,0.402,0:258,0,"7,729",7729,7.43e+03
22,31,"6,698",ERR_TooSlowInstantaneous,0,122,0.487,0.796,0.502,0:258,0,"6,698",6698,N/A
23,32,"4,115",OK,1.43,125,0.52,2.02,0.536,0:258,0,"4,115",4115,2.79e+03
24,33,"9,158",ERR_FingerLifted,0,128,0.403,1.9,0.418,0:258,0,"9,158",9158,N/A
25,35,"5,312",OK,1.03,132,0.0181,1.36,0.0342,0:258,0,"5,312",5312,4.82e+03
26,36,"7,264",ERR_FingerLifted,0,134,0.0174,1.79,0.0342,0:258,0,"7,264",7264,N/A
27,38,"3,903",OK,1.3,139,0.419,2.03,0.435,0:258,0,"3,903",3903,2.38e+03
28,39,"6,401",OK,1.83,142,0.451,2.59,0.468,0:258,0,"6,401",6401,5.9e+03
29,40,"2,894",OK,2.33,145,0.419,3.06,0.434,0:258,0,"2,894",2894,2.1e+03
30,41,374,OK,2.68,149,0.435,3.43,0.452,0:258,0,374,374,361
31,43,"6,401",ERR_FingerLifted,0,156,0.0355,3.04,0.051,0:258,0,"6,401",6401,N/A
32,44,"4,115",OK,1.52,161,0.469,2.31,0.486,0:258,0,"4,115",4115,4.04e+03
33,45,"3,903",ERR_FingerLifted,0,164,0.287,2.42,0.302,0:258,0,"3,903",3903,N/A
34,46,"6,698",ERR_FingerLifted,0,168,0.42,2.59,0.435,0:258,0,"6,698",6698,N/A
35,48,992,ERR_FingerLifted,0,180,0.436,2.49,0.452,0:258,0,992,992,N/A
36,49,"9,158",OK,1.23,184,0.337,1.87,0.352,0:258,0,"9,158",9158,8.96e+03
37,50,"1,751",OK,1.13,186,0.387,1.84,0.401,0:258,0,"1,751",1751,1.07e+03
38,51,"9,845",ERR_FingerLifted,0,189,0.388,1.94,0.401,0:258,0,"9,845",9845,N/A
39,53,"2,894",ERR_InvalidAngle,0,193,0.0344,0.69,0.0509,0:258,0,"2,894",2894,N/A
40,54,"5,312",OK,0.866,195,0.353,1.55,0.368,0:258,0,"5,312",5312,5.1e+03
41,55,"7,264",ERR_FingerLifted,0,198,0.334,1.89,0.35,0:258,0,"7,264",7264,N/A
42,56,"8,074",OK,0.782,203,0.304,1.41,0.319,0:258,0,"8,074",8074,8.94e+03
43,57,"5,886",OK,0.843,206,0.217,1.38,0.234,0:258,0,"5,886",5886,5.17e+03
44,58,"3,274",OK,0.865,208,0.436,1.63,0.452,0:258,0,"3,274",3274,3.35e+03
45,59,374,OK,0.899,211,0.236,1.44,0.251,0:258,0,374,374,1.01e+03
46,60,"1,023",OK,0.948,213,0.0194,1.28,0.0349,0:258,0,"1,023",1023,1.88e+03
47,61,"4,782",OK,0.997,217,0.321,1.63,0.337,0:258,0,"4,782",4782,4.15e+03
48,4,"9,845",OK,0.849,219,0.301,1.47,0.317,0:258,0,"9,845",9845,8.85e+03
49,5,"1,751",OK,0.965,221,0.167,1.44,0.185,0:258,0,"1,751",1751,958
50,8,"7,729",OK,1.02,223,0.0698,1.4,0.0843,0:258,0,"7,729",7729,7.78e+03
51,10,"6,401",OK,0.886,226,0.0839,1.28,0.0998,0:258,0,"6,401",6401,5.01e+03
52,11,992,OK,1.1,227,0.169,1.59,0.184,0:258,0,992,992,792
53,12,"8,906",OK,1.12,230,0.0844,1.5,0.104,0:258,0,"8,906",8906,8.35e+03
54,13,"6,698",OK,1.34,233,0.286,1.92,0.301,0:258,0,"6,698",6698,6.57e+03
55,14,"4,115",OK,1.17,236,0.2,1.63,0.217,0:258,0,"4,115",4115,3.65e+03
56,15,"3,903",OK,1.11,238,0.0859,1.52,0.102,0:258,0,"3,903",3903,2.83e+03
57,16,"3,274",OK,1.08,240,0.117,1.5,0.133,0:258,0,"3,274",3274,2.14e+03
58,19,"1,023",OK,1.26,244,0.186,1.76,0.201,0:258,0,"1,023",1023,542
59,20,"7,264",ERR_TooSlowInstantaneous,0,247,0.0174,0.476,0.0341,0:258,0,"7,264",7264,N/A
60,24,"2,148",OK,1.02,251,0.501,1.84,0.518,0:258,0,"2,148",2148,1.35e+03
61,25,"1,751",OK,1.07,253,0.251,1.64,0.266,0:258,0,"1,751",1751,1.15e+03
62,26,"5,886",OK,1.05,256,0.185,1.54,0.2,0:258,0,"5,886",5886,5.74e+03
63,27,"8,074",OK,0.965,258,0.119,1.41,0.135,0:258,0,"8,074",8074,7.74e+03
64,31,"6,698",OK,1.23,261,0.0172,1.58,0.0335,0:258,0,"6,698",6698,6.12e+03
65,33,"9,158",OK,1.25,263,0.185,1.75,0.201,0:258,0,"9,158",9158,9.53e+03
66,34,992,OK,1.27,266,0.169,1.77,0.186,0:258,0,992,992,764
67,36,"7,264",OK,1.35,268,0.117,1.79,0.134,0:258,0,"7,264",7264,7.53e+03
68,37,"8,906",ERR_TooSlowInstantaneous,0,271,0.236,0.912,0.252,0:258,0,"8,906",8906,N/A
69,42,"7,729",OK,1.03,274,0.336,1.63,0.352,0:258,0,"7,729",7729,7.47e+03
70,43,"6,401",OK,1.07,277,0.051,1.32,0.0664,0:258,0,"6,401",6401,6.61e+03
71,45,"3,903",OK,1.25,279,0.1,1.65,0.117,0:258,0,"3,903",3903,1.78e+03
72,46,"6,698",ERR_StartedSideways,0,281,-1,0.0511,-1,0:258,0,"6,698",6698,N/A
73,47,"2,148",OK,1.83,284,0.0508,2.19,0.067,0:258,0,"2,148",2148,1.99e+03
74,48,992,OK,1.43,287,0.135,1.88,0.151,0:258,0,992,992,611
75,51,"9,845",OK,1.48,290,0.053,1.81,0.0667,0:258,0,"9,845",9845,9.46e+03
76,52,"8,906",OK,1.55,292,0.0339,1.85,0.0502,0:258,0,"8,906",8906,8.74e+03
77,53,"2,894",OK,1.4,295,0.051,1.75,0.0667,0:258,0,"2,894",2894,1.42e+03
78,55,"7,264",OK,1.48,297,0.0183,1.73,0.0346,0:258,0,"7,264",7264,7.82e+03
79,17,"2,894",OK,1.43,299,0.0168,1.76,0.0347,0:258,0,"2,894",2894,1.9e+03
80,20,"7,264",OK,1.55,307,0.0336,1.88,0.0501,0:258,0,"7,264",7264,7.51e+03
81,21,"2,148",OK,1.91,312,0.0339,2.25,0.0508,0:258,0,"2,148",2148,1.68e+03
82,29,"4,782",OK,1.9,315,0.0678,2.25,0.0842,0:258,0,"4,782",4782,4.32e+03
83,37,"8,906",OK,1.67,318,0.0845,2.05,0.101,0:258,0,"8,906",8906,8.81e+03
84,46,"6,698",OK,1.65,320,0.0175,1.88,0.0339,0:258,0,"6,698",6698,5.67e+03
