trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,65321,ERR_TooSlowInstantaneous,0,10.8,0.0353,0.529,0.0481,0:258,0,65321,65321,N/A
2,3,11730,OK,2.3,13.4,0.385,2.85,0.402,0:258,0,11730,11730,1.75e+04
3,4,73954,ERR_TooSlowInstantaneous,0,17.2,0.269,1.19,0.285,0:258,0,73954,73954,N/A
4,5,92855,OK,1.7,19.7,0.402,2.22,0.419,0:258,0,92855,92855,8.68e+04
5,6,25731,OK,1.42,22.8,0.233,1.8,0.249,0:258,0,25731,25731,1.69e+04
6,7,16542,OK,1.3,25.3,0.201,1.6,0.218,0:258,0,16542,16542,1e+04
7,8,37828,OK,1.02,27.7,0.202,1.4,0.218,0:258,0,37828,37828,2.35e+04
8,9,59374,OK,1.35,29.8,0.185,1.68,0.201,0:258,0,59374,59374,5.11e+04
9,10,49743,OK,1.3,32.4,0.032,1.47,0.0484,0:258,0,49743,49743,4.56e+04
10,11,5882,OK,1.67,34.7,0.201,1.98,0.216,0:258,0,5882,5882,5.58e+04
11,12,47765,OK,1.15,37.4,0.269,1.55,0.284,0:258,0,47765,47765,3.83e+04
12,13,11328,OK,1.21,39.7,0.353,1.74,0.367,0:258,0,11328,11328,7.78e+03
13,14,83425,OK,1.25,42.2,0.434,1.83,0.45,0:258,0,83425,83425,7.22e+04
14,15,32319,OK,1.12,44.8,0.3,1.52,0.317,0:258,0,32319,32319,2.53e+04
15,16,76921,OK,1.18,47.1,0.269,1.55,0.286,0:258,0,76921,76921,5.97e+04
16,17,25731,OK,1.11,49.4,0.304,1.55,0.318,0:258,0,25731,25731,1.28e+04
17,18,65321,OK,1.13,51.7,0.204,1.42,0.218,0:258,0,65321,65321,5.68e+04
18,19,16542,OK,1.3,53.9,0.268,1.67,0.286,0:258,0,16542,16542,1.28e+04
19,20,92855,ERR_FingerLifted,0,56.5,0.471,1.64,0.484,0:258,0,92855,92855,N/A
20,21,32319,OK,1.17,59.3,0.301,1.55,0.317,0:258,0,32319,32319,2.99e+04
21,22,49743,OK,1.18,61.7,0.25,1.5,0.266,0:258,0,49743,49743,5.25e+04
22,23,47765,OK,1.22,64,0.217,1.49,0.233,0:258,0,47765,47765,3.74e+04
23,24,11328,OK,1.15,66.3,0.17,1.43,0.185,0:258,0,11328,11328,1.08e+04
24,25,59374,OK,1.28,68.4,0.184,1.55,0.2,0:258,0,59374,59374,4.58e+04
25,26,11730,OK,1.1,70.9,0.184,1.4,0.201,0:258,0,11730,11730,1.17e+04
26,27,5882,OK,1.33,73.2,0.15,1.48,0.166,0:258,0,5882,5882,4.69e+04
27,28,76921,OK,1.23,75.5,0.168,1.49,0.184,0:258,0,76921,76921,6.03e+04
28,29,83425,OK,1.33,77.9,0.318,1.77,0.334,0:258,0,83425,83425,7.54e+04
29,30,73954,OK,1.12,80.5,0.217,1.49,0.233,0:258,0,73954,73954,6.25e+04
30,31,37828,OK,1.13,82.7,0.219,1.52,0.235,0:258,0,37828,37828,1.56e+04
31,32,49743,OK,1.53,86.2,0.285,1.9,0.3,0:258,0,49743,49743,4.17e+04
32,33,16542,OK,1.38,89.2,0.321,1.84,0.334,0:258,0,16542,16542,1.24e+04
33,34,32319,OK,1.13,91.9,0.417,1.77,0.435,0:258,0,32319,32319,2.4e+04
34,35,37828,OK,1.02,94.5,0.385,1.56,0.401,0:258,0,37828,37828,3.03e+04
35,36,25731,OK,1.06,96.9,0.253,1.5,0.268,0:258,0,25731,25731,1.97e+04
36,37,47765,OK,0.949,99.2,0.202,1.29,0.218,0:258,0,47765,47765,3.26e+04
37,38,92855,OK,1.08,101,0.252,1.5,0.269,0:258,0,92855,92855,6.89e+04
38,39,11730,OK,0.881,104,0.185,1.18,0.2,0:258,0,11730,11730,1.03e+04
39,40,11328,OK,0.967,106,0.233,1.3,0.249,0:258,0,11328,11328,7.57e+04
40,42,76921,OK,1.02,109,0.286,1.4,0.302,0:258,0,76921,76921,6.18e+04
41,43,5882,OK,0.954,112,0.149,1.18,0.166,0:258,0,5882,5882,4.74e+04
42,44,59374,OK,0.885,114,0.232,1.25,0.249,0:258,0,59374,59374,4.61e+04
43,45,83425,OK,1.17,116,0.184,1.47,0.2,0:258,0,83425,83425,5.31e+04
44,46,73954,OK,1.08,118,0.235,1.45,0.25,0:258,0,73954,73954,6.79e+04
45,2,65321,OK,1.05,120,0.169,1.32,0.184,0:258,0,65321,65321,6.61e+04
46,4,73954,OK,1.05,122,0.202,1.42,0.217,0:258,0,73954,73954,7.22e+04
47,20,92855,OK,1,125,0.216,1.4,0.233,0:258,0,92855,92855,8.56e+04
48,41,65321,OK,0.866,127,0.252,1.25,0.268,0:258,0,65321,65321,4.21e+04
