trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,OK,1.92,8.86,0.265,2.28,0.282,0,16_25,,0.64,0.644
2,3,120_553,OK,1.63,12.5,0.201,1.98,0.218,0,120_553,,0.217,0.171
3,4,28_109,OK,1.55,15.4,0.185,1.95,0.201,0,28_109,,0.256880734,0.0861
4,5,4_5,OK,1.33,18.2,0.136,1.62,0.152,0,4_5,,0.8,0.821
5,6,11_12,OK,1.32,20.6,0.184,1.65,0.2,0,11_12,,0.916666667,0.958
6,7,11_35,OK,1.6,23.1,0.186,1.92,0.202,0,11_35,,0.314285714,0.261
7,8,3_8,OK,1.6,26,0.185,1.93,0.202,0,3_8,,0.375,0.178
8,9,7_15,OK,1.9,28.8,0.183,2.25,0.199,0,7_15,,0.466666667,0.393
9,10,1_9,OK,1.13,31.8,0.202,1.48,0.217,0,1_9,,0.111111111,0.075
10,11,10_19,OK,1.55,34.1,0.217,1.88,0.234,0,10_19,,0.526315789,0.4
11,12,703_891,OK,1.53,36.8,0.134,1.82,0.15,0,703_891,,0.789,0.821
12,13,1_17,OK,1.25,39.4,0.253,1.7,0.268,0,1_17,,0.058823529,0.114
13,14,291_491,OK,1.62,42,0.167,1.93,0.183,0,291_491,,0.592668024,0.431
14,15,10_13,OK,1.7,44.9,0.184,2.03,0.202,0,10_13,,0.769230769,0.825
15,16,1_6,OK,1.3,47.7,0.217,1.68,0.234,0,1_6,,0.166666667,0.0431
16,17,1_9,OK,1.43,50.3,0.184,1.8,0.2,0,1_9,,0.111111111,0.0167
17,18,10_19,OK,1.73,52.9,0.151,2.02,0.167,0,10_19,,0.526315789,0.456
18,19,10_13,OK,1.63,55.8,0.169,1.92,0.184,0,10_13,,0.769230769,0.281
19,20,28_109,OK,1.57,58.9,0.218,1.93,0.234,0,28_109,,0.256880734,0.129
20,21,16_25,OK,2.53,61.8,0.218,2.95,0.234,0,16_25,,0.64,0.867
21,22,7_15,OK,2.1,65.6,0.152,2.38,0.168,0,7_15,,0.466666667,0.454
22,23,11_12,OK,2.58,68.9,0.168,2.97,0.184,0,11_12,,0.916666667,0.887
23,24,1_17,OK,1.23,72.9,0.185,1.57,0.202,0,1_17,,0.058823529,0.0625
24,25,120_553,OK,2.15,75.4,0.166,2.5,0.183,0,120_553,,0.217,0.272
25,26,11_35,OK,2,78.8,0.152,2.3,0.17,0,11_35,,0.314285714,0.175
26,27,1_6,OK,1.91,82,0.136,2.18,0.153,0,1_6,,0.166666667,0.122
27,28,4_5,OK,1.7,85,0.166,2,0.182,0,4_5,,0.8,0.853
28,29,3_8,OK,1.55,87.9,0.0177,1.73,0.0328,0,3_8,,0.375,0.331
29,30,291_491,OK,1.65,90.4,0.102,1.87,0.117,0,291_491,,0.592668024,0.553
30,31,703_891,OK,2.25,93,0.118,2.45,0.134,0,703_891,,0.789,0.828
31,32,1_17,OK,1.28,96.3,0.101,1.53,0.118,0,1_17,,0.058823529,0.0556
32,33,120_553,OK,1.48,98.7,0.134,1.73,0.151,0,120_553,,0.217,0.306
33,34,7_15,OK,1.67,101,0.151,1.95,0.168,0,7_15,,0.466666667,0.433
34,35,16_25,OK,1.62,104,0.117,1.88,0.134,0,16_25,,0.64,0.856
35,36,11_12,OK,1.87,107,0.119,2.13,0.135,0,11_12,,0.916666667,0.867
36,37,11_35,OK,1.55,110,0.199,1.88,0.216,0,11_35,,0.314285714,0.303
37,38,703_891,OK,1.68,112,0.202,2.05,0.218,0,703_891,,0.789,0.867
38,39,3_8,OK,1.6,115,0.167,1.9,0.183,0,3_8,,0.375,0.392
39,40,4_5,OK,1.39,118,0.219,1.73,0.235,0,4_5,,0.8,0.804
40,41,10_13,OK,1.57,120,0.169,1.85,0.185,0,10_13,,0.769230769,0.747
41,42,1_6,OK,1.23,123,0.168,1.52,0.185,0,1_6,,0.166666667,0.144
42,43,10_19,OK,1.7,125,0.152,1.98,0.169,0,10_19,,0.526315789,0.578
43,44,1_9,OK,1.36,128,0.202,1.72,0.218,0,1_9,,0.111111111,0.0944
44,45,28_109,OK,2.41,130,0.202,2.78,0.219,0,28_109,,0.256880734,0.131
45,46,291_491,OK,2.13,134,0.201,2.45,0.217,0,291_491,,0.592668024,0.425
