trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,65321,OK,3.36,9.28,0.869,4.43,0.885,0:258,0,65321,65321,6e+04
2,3,11730,ERR_TooSlowInstantaneous,0,15.5,0.585,2.72,0.601,0:258,0,11730,11730,N/A
3,4,73954,OK,1.98,20.5,0.484,2.68,0.501,0:258,0,73954,73954,4.82e+04
4,5,92855,OK,2.63,24,0.518,3.45,0.534,0:258,0,92855,92855,6.88e+04
5,6,25731,OK,1.71,29.7,0.486,2.45,0.501,0:258,0,25731,25731,4.44e+04
6,7,16542,OK,2,34.7,0.487,2.78,0.501,0:258,0,16542,16542,4.25e+04
7,9,59374,ERR_FingerLifted,0,42.2,0.45,2.7,0.467,0:258,0,59374,59374,N/A
8,13,11328,ERR_TooSlowGlobal,0,66.8,0.0172,0.325,0.0334,0:258,0,11328,11328,N/A
9,16,76921,ERR_TooSlowInstantaneous,0,74.9,0.585,1.68,0.603,0:258,0,76921,76921,N/A
10,17,25731,ERR_StartedSideways,0,82.2,-1,0.538,-1,0:258,0,25731,25731,N/A
11,18,65321,ERR_TooSlowGlobal,0,84.7,0.0525,0.374,0.0687,0:258,0,65321,65321,N/A
12,19,16542,ERR_TooSlowInstantaneous,0,87,0.366,1.05,0.383,0:258,0,16542,16542,N/A
13,20,92855,OK,1.78,94.5,0.469,2.55,0.485,0:258,0,92855,92855,6.71e+04
14,21,32319,OK,1.6,99.1,0.485,2.4,0.502,0:258,0,32319,32319,3.83e+04
15,22,49743,OK,1.51,103,0.437,2.27,0.451,0:258,0,49743,49743,4.18e+04
16,23,47765,OK,1.97,106,0.1,2.38,0.117,0:258,0,47765,47765,4.33e+04
17,25,59374,OK,1.72,111,0.518,2.55,0.534,0:258,0,59374,59374,5.83e+04
18,26,11730,OK,1.82,115,0.367,2.48,0.384,0:258,0,11730,11730,3.19e+04
19,27,5882,OK,1.73,118,0.336,2.37,0.351,0:258,0,5882,5882,4.97e+04
20,28,76921,OK,1.53,122,0.417,2.25,0.433,0:258,0,76921,76921,6.68e+04
21,29,83425,OK,1.5,125,0.302,2.11,0.32,0:258,0,83425,83425,7.28e+04
