trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,OK,2.7,9.12,0.303,3.33,0.318,0,16_25,,0.64,0.542
2,3,120_553,OK,3.11,13.4,0.319,3.7,0.335,0,120_553,,0.217,0.597
3,4,28_109,OK,2.5,18,0.0855,2.85,0.101,0,28_109,,0.256880734,0.275
4,5,4_5,OK,2.23,21.6,0.101,2.62,0.117,0,4_5,,0.8,0.693
5,6,11_12,OK,1.58,25,0.101,2,0.117,0,11_12,,0.916666667,0.867
6,7,11_35,OK,2.24,28.7,0.487,2.97,0.501,0,11_35,,0.314285714,0.392
7,8,3_8,OK,1.9,32.5,0.184,2.33,0.2,0,3_8,,0.375,0.411
8,9,7_15,OK,2.1,35.5,0.117,2.53,0.133,0,7_15,,0.466666667,0.531
9,10,1_9,OK,1.5,38.8,0.167,1.88,0.184,0,1_9,,0.111111111,0.125
10,11,10_19,OK,2.5,41.5,0.135,2.82,0.151,0,10_19,,0.526315789,0.571
11,12,703_891,OK,1.53,45,0.0834,1.8,0.0994,0,703_891,,0.789,0.814
12,13,1_17,OK,1.5,47.5,0.1,1.86,0.117,0,1_17,,0.058823529,0.133
13,14,291_491,OK,1.73,50.2,0.168,2.08,0.184,0,291_491,,0.592668024,0.508
14,15,10_13,OK,2.27,53.1,0.217,2.81,0.233,0,10_13,,0.769230769,0.447
15,16,1_6,OK,1.56,56.8,0.118,1.88,0.135,0,1_6,,0.166666667,0.164
16,17,1_9,OK,1.48,59.4,0.15,1.8,0.167,0,1_9,,0.111111111,0.0917
17,18,10_19,OK,1.92,62.1,0.1,2.3,0.116,0,10_19,,0.526315789,0.606
18,19,10_13,OK,1.7,65,0.134,2.12,0.15,0,10_13,,0.769230769,0.768
19,20,28_109,OK,1.55,67.8,0.119,1.9,0.134,0,28_109,,0.256880734,0.133
20,21,16_25,OK,1.65,70.5,0.136,2,0.151,0,16_25,,0.64,0.582
21,22,7_15,OK,1.53,73.2,0.1,1.87,0.117,0,7_15,,0.466666667,0.439
22,23,11_12,OK,1.53,75.7,0.101,1.82,0.117,0,11_12,,0.916666667,0.864
23,24,1_17,OK,1.28,78.2,0.1,1.65,0.117,0,1_17,,0.058823529,0.0736
24,25,120_553,OK,1.49,80.8,0.117,1.83,0.133,0,120_553,,0.217,0.178
25,26,11_35,OK,1.83,83.4,0.134,2.27,0.151,0,11_35,,0.314285714,0.467
26,27,1_6,OK,1.36,86.4,0.152,1.73,0.168,0,1_6,,0.166666667,0.249
27,28,4_5,OK,1.68,89.1,0.135,2.12,0.151,0,4_5,,0.8,0.863
28,29,3_8,OK,1.43,91.9,0.188,1.87,0.202,0,3_8,,0.375,0.386
29,30,291_491,OK,1.56,94.5,0.119,1.95,0.135,0,291_491,,0.592668024,0.5
30,31,703_891,OK,1.4,97.2,0.0504,1.75,0.0672,0,703_891,,0.789,0.871
31,32,1_17,OK,1.36,101,0.268,1.82,0.284,0,1_17,,0.058823529,0.0611
32,33,120_553,OK,1.47,103,0.283,1.98,0.299,0,120_553,,0.217,0.278
33,34,7_15,OK,1.48,106,0.202,2,0.219,0,7_15,,0.466666667,0.572
34,35,16_25,OK,1.88,109,0.136,2.22,0.153,0,16_25,,0.64,0.542
35,36,11_12,OK,1.28,112,0.134,1.72,0.151,0,11_12,,0.916666667,0.881
36,37,11_35,OK,1.42,114,0.136,1.87,0.152,0,11_35,,0.314285714,0.604
37,38,703_891,OK,1.72,117,0.168,2.2,0.185,0,703_891,,0.789,0.814
38,39,3_8,OK,1.63,120,0.119,2.07,0.135,0,3_8,,0.375,0.431
39,40,4_5,OK,2.11,123,0.168,2.6,0.185,0,4_5,,0.8,0.606
40,41,10_13,OK,1.66,126,0.202,2.1,0.218,0,10_13,,0.769230769,0.736
41,42,1_6,OK,1.18,129,0.102,1.5,0.117,0,1_6,,0.166666667,0.228
42,43,10_19,OK,1.98,131,0.186,2.42,0.202,0,10_19,,0.526315789,0.483
43,44,1_9,OK,1.25,134,0.085,1.55,0.101,0,1_9,,0.111111111,0.133
44,45,28_109,OK,1.51,137,0.152,1.9,0.169,0,28_109,,0.256880734,0.264
45,46,291_491,OK,1.35,139,0.185,1.83,0.201,0,291_491,,0.592668024,0.519
