trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,9,8,OK,4.1,13.7,4.97,9.38,4.98,0:258,0,8,8,5.4
2,2,1,ERR_FingerLifted,0,34.7,2.47,4.73,2.48,0:258,0,1,1,N/A
3,10,9,ERR_TooSlowGlobal,0,54.7,1.59,1.91,1.6,0:258,0,9,9,N/A
4,2,1,OK,1.89,60.8,0.701,2.85,0.718,0:258,0,1,1,1.39
5,6,5,OK,1.55,68.1,0.819,2.53,0.836,0:258,0,5,5,5
6,5,4,OK,1.68,73.6,0.952,2.8,0.969,0:258,0,4,4,3.68
7,10,9,OK,2.16,78,0.952,3.4,0.968,0:258,0,9,9,8.69
8,4,3,OK,1.65,82.8,0.669,2.5,0.685,0:258,0,3,3,2.24
9,8,7,OK,1.91,86.6,0.451,2.59,0.467,0:258,0,7,7,6.44
10,11,10,OK,1.75,91.2,0.551,2.57,0.568,0:258,0,10,10,9.75
11,7,6,OK,2.35,94.9,0.619,3.18,0.635,0:258,0,6,6,6
12,3,2,OK,1.4,100,0.502,2.08,0.518,0:258,0,2,2,2.36
