trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,8,7,ERR_InvalidAngle,0,92.7,1.25,3.24,1.27,0:258,0,7,7,N/A
2,11,10,OK,3.38,102,0.985,4.6,1,0:258,0,10,10,10.1
3,5,4,OK,2.38,113,0.85,3.53,0.867,0:258,0,4,4,2.68
4,10,9,OK,2.08,119,0.902,3.23,0.918,0:258,0,9,9,9.17
5,2,1,OK,2.03,125,0.686,2.98,0.702,0:258,0,1,1,0.736
6,4,3,ERR_TooSlowInstantaneous,0,130,0.588,2.77,0.602,0:258,0,3,3,N/A
7,9,8,OK,1.37,135,0.351,1.97,0.368,0:258,0,8,8,7.74
8,7,6,OK,1.56,138,0.503,2.3,0.519,0:258,0,6,6,5.88
9,6,5,OK,1.62,142,0.399,2.29,0.415,0:258,0,5,5,5.03
10,4,3,OK,1.76,145,0.469,2.43,0.484,0:258,0,3,3,2.44
11,3,2,OK,1.9,149,0.284,2.37,0.301,0:258,0,2,2,1.19
12,8,7,ERR_TooSlowInstantaneous,0,152,0.235,2.37,0.25,0:258,0,7,7,N/A
13,8,7,OK,1.43,155,0.335,2.05,0.351,0:258,0,7,7,7.24
