trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,OK,3.93,9.08,0.335,4.51,0.353,0,16_25,,0.64,0.708
2,3,120_553,OK,3.21,14.5,0.2,3.67,0.216,0,120_553,,0.217,0.217
3,4,28_109,ERR_TooSlowInstantaneous,0,18.9,0.183,4.75,0.2,0,28_109,,0.256880734,N/A
4,5,4_5,OK,2.52,24.8,0.1,2.89,0.117,0,4_5,,0.8,0.844
5,6,11_12,OK,3.1,28.4,0.0169,3.37,0.0333,0,11_12,,0.916666667,0.908
6,7,11_35,OK,2.97,32.4,0.167,3.33,0.183,0,11_35,,0.314285714,0.294
7,8,3_8,OK,2.9,36.4,0.134,3.3,0.15,0,3_8,,0.375,0.336
8,9,7_15,OK,2.9,40.4,0.15,3.33,0.167,0,7_15,,0.466666667,0.442
9,10,1_9,ERR_TooSlowInstantaneous,0,44.4,0.017,1.22,0.0335,0,1_9,,0.111111111,N/A
10,11,10_19,OK,2.97,46.9,0.184,3.43,0.201,0,10_19,,0.526315789,0.578
11,12,703_891,ERR_TooSlowInstantaneous,0,50.9,0.183,3.85,0.201,0,703_891,,0.789,N/A
12,14,291_491,OK,3.9,58,0.267,4.42,0.284,0,291_491,,0.592668024,0.608
13,15,10_13,OK,3.02,65,0.35,3.58,0.367,0,10_13,,0.769230769,0.85
14,16,1_6,OK,2.78,69.3,0.217,3.2,0.234,0,1_6,,0.166666667,0.203
15,17,1_9,OK,2.15,73.2,0.219,2.57,0.235,0,1_9,,0.111111111,0.0722
16,18,10_19,OK,2.62,76.5,0.134,3.02,0.15,0,10_19,,0.526315789,0.599
17,19,10_13,OK,2.92,80.2,0.183,3.33,0.2,0,10_13,,0.769230769,0.821
18,20,28_109,OK,3.15,84.7,0.234,3.65,0.251,0,28_109,,0.256880734,0.215
19,21,16_25,ERR_TooSlowInstantaneous,0,89.2,0.216,3.41,0.232,0,16_25,,0.64,N/A
20,22,7_15,OK,2.83,93.7,0.184,3.25,0.2,0,7_15,,0.466666667,0.472
21,23,11_12,OK,2.32,97.7,0.167,2.73,0.184,0,11_12,,0.916666667,0.931
22,24,1_17,OK,1.88,101,0.167,2.27,0.183,0,1_17,,0.058823529,0.0139
23,25,120_553,OK,3,104,0.135,3.33,0.151,0,120_553,,0.217,0.253
24,26,11_35,OK,3.25,108,0.184,3.67,0.201,0,11_35,,0.314285714,0.265
25,27,1_6,OK,2.65,113,0.184,3.03,0.2,0,1_6,,0.166666667,0.108
26,28,4_5,ERR_TooSlowInstantaneous,0,117,0.0171,2.99,0.0335,0,4_5,,0.8,N/A
27,29,3_8,OK,3.22,121,0.183,3.65,0.2,0,3_8,,0.375,0.235
28,30,291_491,OK,4,125,0.185,4.48,0.201,0,291_491,,0.592668024,0.617
29,31,703_891,OK,3.95,130,0.15,4.33,0.166,0,703_891,,0.789,0.842
30,32,1_17,OK,2.6,135,0.167,2.97,0.183,0,1_17,,0.058823529,0.0444
31,33,120_553,OK,3.92,139,0.167,4.32,0.183,0,120_553,,0.217,0.242
32,34,7_15,OK,3.25,144,0.136,3.68,0.152,0,7_15,,0.466666667,0.453
33,35,16_25,OK,3.13,148,0.168,3.57,0.184,0,16_25,,0.64,0.611
34,36,11_12,OK,3,153,0.134,3.38,0.15,0,11_12,,0.916666667,0.899
35,37,11_35,OK,3.37,157,0.119,3.68,0.135,0,11_35,,0.314285714,0.264
36,38,703_891,ERR_TooSlowInstantaneous,0,162,0.4,4.06,0.417,0,703_891,,0.789,N/A
37,39,3_8,OK,2.92,167,0.2,3.32,0.217,0,3_8,,0.375,0.257
38,40,4_5,OK,3.75,171,0.135,4.13,0.152,0,4_5,,0.8,0.829
39,41,10_13,OK,4.36,176,0.185,4.82,0.201,0,10_13,,0.769230769,0.819
40,42,1_6,OK,2.88,182,0.152,3.2,0.169,0,1_6,,0.166666667,0.167
41,43,10_19,OK,3.05,186,0.12,3.43,0.134,0,10_19,,0.526315789,0.582
42,44,1_9,OK,2.98,190,0.167,3.35,0.185,0,1_9,,0.111111111,0.0722
43,45,28_109,ERR_TooSlowInstantaneous,0,194,0.152,1.79,0.168,0,28_109,,0.256880734,N/A
44,46,291_491,OK,2,197,0.184,2.38,0.2,0,291_491,,0.592668024,0.6
45,4,28_109,OK,3.1,200,0.167,3.42,0.183,0,28_109,,0.256880734,0.247
46,10,1_9,ERR_TooSlowInstantaneous,0,204,0.168,2.05,0.185,0,1_9,,0.111111111,N/A
47,12,703_891,OK,2.07,207,0.15,2.38,0.167,0,703_891,,0.789,0.844
48,13,1_17,OK,2,210,0.15,2.35,0.168,0,1_17,,0.058823529,0.0333
49,21,16_25,ERR_TooManyCurves,0,214,0.102,3.21,0.119,0,16_25,,0.64,N/A
50,28,4_5,OK,2.5,218,0.167,2.93,0.183,0,4_5,,0.8,0.861
51,38,703_891,OK,2.72,222,0.202,3.12,0.218,0,703_891,,0.789,0.856
52,45,28_109,OK,3.05,226,0.119,3.35,0.135,0,28_109,,0.256880734,0.194
53,10,1_9,ERR_TooSlowInstantaneous,0,230,0.15,1.88,0.167,0,1_9,,0.111111111,N/A
54,21,16_25,OK,2.36,234,0.402,3.03,0.419,0,16_25,,0.64,0.575
55,10,1_9,OK,1.83,238,0.2,2.34,0.216,0,1_9,,0.111111111,0.156
