trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,65321,OK,4.05,9.24,0.5,4.85,0.517,0:258,0,65321,65321,6.31e+04
2,3,11730,OK,5.11,15.1,0.433,5.86,0.449,0:258,0,11730,11730,2.25e+04
3,4,73954,OK,3.75,23.7,0.551,4.62,0.567,0:258,0,73954,73954,6.78e+04
4,5,92855,OK,3.7,29.5,0.383,4.37,0.4,0:258,0,92855,92855,8.5e+04
5,6,25731,OK,3.87,34.9,0.45,4.6,0.466,0:258,0,25731,25731,2.92e+04
6,8,37828,OK,3.2,41.9,0.327,3.76,0.343,0:258,0,37828,37828,3.88e+04
7,9,59374,ERR_FingerLifted,0,46.7,0.437,6.2,0.457,0:258,0,59374,59374,N/A
8,10,49743,OK,2.4,57.9,0.366,3.05,0.383,0:258,0,49743,49743,5.11e+04
9,11,5882,OK,3.52,62,0.617,4.4,0.633,0:258,0,5882,5882,3.06e+03
10,12,47765,OK,2.67,67.7,0.367,3.27,0.383,0:258,0,47765,47765,4.53e+04
11,13,11328,OK,2.75,72.1,0.383,3.3,0.399,0:258,0,11328,11328,1.61e+04
12,14,83425,OK,2.95,76.5,0.4,3.48,0.416,0:258,0,83425,83425,7.74e+04
13,15,32319,OK,2.8,81,0.317,3.35,0.334,0:258,0,32319,32319,3.06e+04
14,16,76921,OK,3.12,85.3,0.334,3.73,0.35,0:258,0,76921,76921,6.64e+04
15,17,25731,OK,3.23,89.9,0.367,3.9,0.386,0:258,0,25731,25731,2.4e+04
16,18,65321,OK,2.86,94.9,0.351,3.45,0.368,0:258,0,65321,65321,6.61e+04
17,19,16542,OK,2.98,99.3,0.335,3.53,0.351,0:258,0,16542,16542,1.65e+04
18,20,92855,OK,2.9,104,0.234,3.42,0.251,0:258,0,92855,92855,8.72e+04
19,21,32319,OK,2.95,108,0.268,3.52,0.285,0:258,0,32319,32319,3.38e+04
20,22,49743,OK,2.4,113,0.217,2.85,0.234,0:258,0,49743,49743,5e+04
21,23,47765,OK,2.26,116,0.321,2.87,0.341,0:258,0,47765,47765,4.69e+04
22,24,11328,OK,3.25,120,0.234,3.65,0.25,0:258,0,11328,11328,1.69e+04
23,25,59374,OK,2.48,125,0.0169,2.82,0.0332,0:258,0,59374,59374,6.31e+04
24,26,11730,OK,2.92,130,0.182,3.42,0.2,0:258,0,11730,11730,1.51e+04
25,27,5882,OK,2.8,134,0.234,3.23,0.25,0:258,0,5882,5882,4.86e+03
26,28,76921,OK,2.43,138,0.017,2.76,0.0334,0:258,0,76921,76921,7.25e+04
27,29,83425,OK,2.91,142,0.218,3.32,0.235,0:258,0,83425,83425,7.74e+04
28,30,73954,OK,2.28,146,0.3,2.88,0.317,0:258,0,73954,73954,6.94e+04
29,31,37828,OK,2.27,149,0.317,2.87,0.333,0:258,0,37828,37828,3.54e+04
30,32,49743,OK,2.13,153,0.218,2.65,0.234,0:258,0,49743,49743,4.71e+04
31,33,16542,OK,2.84,156,0.2,3.3,0.217,0:258,0,16542,16542,1.58e+04
32,34,32319,OK,2.35,161,0.199,2.83,0.216,0:258,0,32319,32319,3.39e+04
33,35,37828,OK,2.17,164,0.215,2.67,0.232,0:258,0,37828,37828,3.38e+04
34,36,25731,OK,2.52,168,0.183,2.88,0.2,0:258,0,25731,25731,2.74e+04
35,37,47765,OK,2.27,171,0.167,2.68,0.183,0:258,0,47765,47765,4.64e+04
36,38,92855,OK,2.77,175,0.25,3.32,0.267,0:258,0,92855,92855,9.22e+04
37,39,11730,OK,3,179,0.234,3.55,0.25,0:258,0,11730,11730,1.36e+04
38,40,11328,OK,2.82,184,0.217,3.2,0.233,0:258,0,11328,11328,1.18e+04
39,41,65321,OK,2.25,188,0.279,2.83,0.296,0:258,0,65321,65321,6.37e+04
40,42,76921,OK,2.4,191,0.267,2.82,0.29,0:258,0,76921,76921,7.19e+04
41,43,5882,OK,2.97,195,0.299,3.47,0.316,0:258,0,5882,5882,3.89e+03
42,44,59374,OK,2.75,199,0.266,3.18,0.282,0:258,0,59374,59374,6.5e+04
43,45,83425,OK,2.97,203,0.317,3.53,0.333,0:258,0,83425,83425,7.93e+04
44,46,73954,OK,2.46,208,0.317,2.95,0.334,0:258,0,73954,73954,6.69e+04
45,7,16542,OK,2.75,211,0.2,3.12,0.217,0:258,0,16542,16542,1.38e+04
46,9,59374,OK,2.77,215,0.267,3.25,0.283,0:258,0,59374,59374,6.11e+04
