trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,OK,3.43,9.22,0.4,4.13,0.417,0,16_25,,0.64,0.597
2,3,120_553,OK,5.58,14.4,0.298,6.19,0.316,0,120_553,,0.217,0.344
3,4,28_109,OK,3.03,21.6,0.0169,3.27,0.0338,0,28_109,,0.256880734,0.339
4,5,4_5,OK,2.67,26.9,0.216,3.2,0.233,0,4_5,,0.8,0.706
5,6,11_12,OK,2.55,30.8,0.167,3.02,0.183,0,11_12,,0.916666667,0.922
6,7,11_35,OK,3.5,34.6,0.184,3.95,0.2,0,11_35,,0.314285714,0.385
7,8,3_8,OK,2.58,39.3,0.0168,2.9,0.0339,0,3_8,,0.375,0.407
8,9,7_15,OK,2.35,42.9,0.017,2.55,0.0336,0,7_15,,0.466666667,0.478
9,10,1_9,OK,2.58,46.1,0.214,2.98,0.23,0,1_9,,0.111111111,0.161
10,11,10_19,OK,3.68,49.9,0.217,4.22,0.233,0,10_19,,0.526315789,0.533
11,12,703_891,OK,2.83,56,0.25,3.33,0.267,0,703_891,,0.789,0.792
12,13,1_17,OK,2.35,60,0.25,2.92,0.266,0,1_17,,0.058823529,0.0139
13,14,291_491,OK,2.43,63.8,0.334,2.98,0.35,0,291_491,,0.592668024,0.646
14,15,10_13,OK,1.97,68.8,0.317,2.47,0.334,0,10_13,,0.769230769,0.721
15,16,1_6,OK,2.55,72,0.317,3.03,0.333,0,1_6,,0.166666667,0.292
16,17,1_9,OK,1.95,75.8,0.217,2.43,0.233,0,1_9,,0.111111111,0.153
17,18,10_19,OK,1.87,79,0.25,2.35,0.266,0,10_19,,0.526315789,0.592
18,19,10_13,OK,1.95,82,0.268,2.4,0.289,0,10_13,,0.769230769,0.714
19,20,28_109,OK,2.07,85.1,0.2,2.47,0.216,0,28_109,,0.256880734,0.319
20,21,16_25,OK,2.02,88.3,0.25,2.45,0.266,0,16_25,,0.64,0.603
21,22,7_15,OK,1.62,91.5,0.183,1.9,0.2,0,7_15,,0.466666667,0.428
22,23,11_12,OK,1.9,94.1,0.216,2.37,0.233,0,11_12,,0.916666667,0.925
23,24,1_17,OK,1.68,97.1,0.336,2.33,0.352,0,1_17,,0.058823529,0.0278
24,25,120_553,OK,2.43,100,0.299,3,0.316,0,120_553,,0.217,0.272
25,26,11_35,OK,1.95,104,0.202,2.32,0.218,0,11_35,,0.314285714,0.321
26,27,1_6,OK,2.37,107,0.0171,2.63,0.0333,0,1_6,,0.166666667,0.29
27,28,4_5,OK,2.02,110,0.317,2.55,0.334,0,4_5,,0.8,0.81
28,29,3_8,OK,1.93,115,0.184,2.37,0.2,0,3_8,,0.375,0.336
29,30,291_491,OK,2.07,118,0.2,2.47,0.217,0,291_491,,0.592668024,0.753
30,31,703_891,OK,1.63,121,0.183,1.98,0.2,0,703_891,,0.789,0.821
31,32,1_17,OK,1.68,124,0.2,2.18,0.217,0,1_17,,0.058823529,0.0333
32,33,120_553,OK,2.25,127,0.217,2.77,0.234,0,120_553,,0.217,0.271
33,34,7_15,OK,1.78,130,0.168,2.15,0.183,0,7_15,,0.466666667,0.389
34,35,16_25,OK,2.28,133,0.167,2.68,0.183,0,16_25,,0.64,0.619
35,36,11_12,OK,1.63,136,0.167,2,0.183,0,11_12,,0.916666667,0.944
36,37,11_35,OK,1.77,139,0.16,2.11,0.177,0,11_35,,0.314285714,0.289
37,38,703_891,OK,1.9,142,0.15,2.23,0.167,0,703_891,,0.789,0.79
38,39,3_8,OK,1.85,146,0.134,2.2,0.15,0,3_8,,0.375,0.325
39,40,4_5,OK,1.8,149,0.167,2.2,0.183,0,4_5,,0.8,0.803
40,41,10_13,OK,1.55,152,0.2,1.92,0.216,0,10_13,,0.769230769,0.794
41,42,1_6,OK,1.85,154,0.184,2.2,0.201,0,1_6,,0.166666667,0.231
42,43,10_19,OK,2.02,157,0.134,2.37,0.15,0,10_19,,0.526315789,0.572
43,44,1_9,OK,1.9,160,0.167,2.25,0.183,0,1_9,,0.111111111,0.164
44,45,28_109,OK,1.97,163,0.167,2.3,0.183,0,28_109,,0.256880734,0.275
45,46,291_491,OK,1.82,166,0.0169,2.08,0.0335,0,291_491,,0.592668024,0.719
