trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,9,8,OK,2.91,11.8,0.519,3.74,0.534,0:258,0,8,8,7.62
2,11,10,OK,2.1,30.6,0.735,3.1,0.751,0:258,0,10,10,9.83
3,5,4,OK,3.3,39.2,0.401,3.97,0.417,0:258,0,4,4,3.26
4,10,9,OK,2.58,46.4,0.601,3.48,0.618,0:258,0,9,9,8.74
5,3,2,OK,3.35,55,0.386,4.05,0.401,0:258,0,2,2,2.26
6,4,3,ERR_TooSlowInstantaneous,0,61,0.253,2.94,0.267,0:258,0,3,3,N/A
7,2,1,OK,1.72,66.7,0.302,2.3,0.318,0:258,0,1,1,1.31
8,8,7,OK,2.3,70.9,0.402,2.95,0.419,0:258,0,7,7,7.14
9,4,3,ERR_TooSlowInstantaneous,0,75.3,0.435,2.66,0.451,0:258,0,3,3,N/A
10,7,6,OK,2.01,80.3,0.0338,2.23,0.05,0:258,0,6,6,5.69
11,4,3,OK,1.28,84,0.268,1.78,0.285,0:258,0,3,3,2.76
12,6,5,OK,1.28,87.3,0.2,1.7,0.217,0:258,0,5,5,5.14
