trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,OK,1.28,2.61,0.318,1.6,0.333,0,16_25,,0.64,0.457
2,3,120_553,OK,1.45,5.11,0.267,1.78,0.283,0,120_553,,0.217,0.218
3,4,28_109,OK,1.26,7.82,0.233,1.55,0.25,0,28_109,,0.256880734,0.235
4,5,4_5,OK,1.09,10.4,0.25,1.38,0.267,0,4_5,,0.8,0.785
5,6,11_12,OK,1.18,12.6,0.167,1.43,0.184,0,11_12,,0.916666667,0.865
6,7,11_35,OK,1.15,14.7,0.201,1.41,0.219,0,11_35,,0.314285714,0.312
7,8,3_8,OK,1.1,16.8,0.18,1.33,0.2,0,3_8,,0.375,0.299
8,9,7_15,OK,1.48,18.9,0.279,1.83,0.298,0,7_15,,0.466666667,0.404
9,10,1_9,OK,1.05,21.5,0.181,1.31,0.2,0,1_9,,0.111111111,0.0764
10,11,10_19,OK,1.84,23.5,0.164,2.09,0.183,0,10_19,,0.526315789,0.554
11,12,703_891,OK,1.17,26.5,0.15,1.32,0.169,0,703_891,,0.789,0.66
12,13,1_17,OK,1.26,28.5,0.131,1.5,0.15,0,1_17,,0.058823529,0.0375
13,14,291_491,OK,1.39,31.1,0.015,1.4,0.0335,0,291_491,,0.592668024,0.503
14,15,10_13,OK,1.32,33.4,0.113,1.48,0.132,0,10_13,,0.769230769,0.713
15,16,1_6,OK,1.18,35.7,0.183,1.43,0.2,0,1_6,,0.166666667,0.135
16,17,1_9,OK,1.17,37.9,0.247,1.48,0.266,0,1_9,,0.111111111,0.0597
17,18,10_19,OK,1.3,40.3,0.213,1.56,0.234,0,10_19,,0.526315789,0.475
18,19,10_13,OK,1.55,42.7,0.147,1.76,0.167,0,10_13,,0.769230769,0.732
19,20,28_109,OK,1.36,45.3,0.15,1.56,0.166,0,28_109,,0.256880734,0.263
20,21,16_25,OK,1.47,47.6,0.214,1.78,0.234,0,16_25,,0.64,0.394
21,22,7_15,OK,1.1,50.2,0.183,1.32,0.201,0,7_15,,0.466666667,0.41
22,23,11_12,OK,1.11,52.3,0.201,1.42,0.218,0,11_12,,0.916666667,0.865
23,24,1_17,OK,1.02,54.6,0.247,1.37,0.267,0,1_17,,0.058823529,0.0361
24,25,120_553,OK,1.2,57.9,0.215,1.46,0.234,0,120_553,,0.217,0.237
25,26,11_35,OK,0.932,60.3,0.198,1.2,0.217,0,11_35,,0.314285714,0.204
26,27,1_6,OK,0.901,62.4,0.181,1.15,0.2,0,1_6,,0.166666667,0.0708
27,28,4_5,OK,0.733,64.3,0.201,1,0.219,0,4_5,,0.8,0.76
28,29,3_8,OK,0.684,66.1,0.197,0.882,0.216,0,3_8,,0.375,0.304
29,30,291_491,OK,0.64,67.9,0.247,0.921,0.266,0,291_491,,0.592668024,0.301
30,31,703_891,OK,0.55,69.6,0.2,0.8,0.219,0,703_891,,0.789,0.608
31,32,1_17,OK,0.766,71.1,0.231,1.08,0.25,0,1_17,,0.058823529,0.135
32,33,120_553,OK,0.7,73,0.163,0.913,0.183,0,120_553,,0.217,0.282
33,34,7_15,OK,0.549,74.8,0.148,0.748,0.167,0,7_15,,0.466666667,0.3
34,35,16_25,OK,0.448,76.2,0.185,0.683,0.198,0,16_25,,0.64,0.432
35,36,11_12,OK,0.467,77.5,0.247,0.78,0.267,0,11_12,,0.916666667,0.463
36,37,11_35,OK,0.47,78.9,0.164,0.73,0.184,0,11_35,,0.314285714,0.532
37,38,703_891,OK,0.518,80.4,0.23,0.787,0.25,0,703_891,,0.789,0.443
38,39,3_8,OK,0.479,82.1,0.151,0.713,0.164,0,3_8,,0.375,0.54
39,40,4_5,OK,0.367,83.8,0.115,0.564,0.134,0,4_5,,0.8,0.585
40,41,10_13,OK,0.382,85.1,0.181,0.599,0.2,0,10_13,,0.769230769,0.524
41,42,1_6,OK,0.348,86.4,0.165,0.58,0.183,0,1_6,,0.166666667,0.574
42,43,10_19,OK,0.363,87.7,0.15,0.58,0.168,0,10_19,,0.526315789,0.467
43,44,1_9,OK,0.35,89.1,0.148,0.598,0.168,0,1_9,,0.111111111,0.456
44,45,28_109,OK,0.299,90.4,0.181,0.564,0.2,0,28_109,,0.256880734,0.446
45,46,291_491,OK,0.33,93.1,0.184,0.581,0.2,0,291_491,,0.592668024,0.433
