trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,OK,1.9,8.99,0.167,2.2,0.184,0,16_25,,0.64,0.615
2,3,120_553,OK,1.31,12,0.168,1.57,0.184,0,120_553,,0.217,0.219
3,4,28_109,OK,1.2,14.3,0.2,1.52,0.217,0,28_109,,0.256880734,0.2
4,5,4_5,OK,0.999,16.5,0.118,1.2,0.134,0,4_5,,0.8,0.761
5,6,11_12,OK,1.1,18.3,0.167,1.38,0.183,0,11_12,,0.916666667,0.914
6,7,11_35,OK,1.23,20.5,0.152,1.48,0.167,0,11_35,,0.314285714,0.281
7,8,3_8,OK,1.15,22.6,0.152,1.38,0.169,0,3_8,,0.375,0.357
8,9,7_15,OK,1.13,24.7,0.134,1.42,0.151,0,7_15,,0.466666667,0.489
9,10,1_9,OK,1.11,26.7,0.134,1.43,0.151,0,1_9,,0.111111111,0.0847
10,11,10_19,OK,1.35,29,0.0329,1.53,0.0496,0,10_19,,0.526315789,0.546
11,12,703_891,OK,1.48,31.2,0.184,1.82,0.201,0,703_891,,0.789,0.897
12,13,1_17,OK,1.42,33.7,0.117,1.69,0.133,0,1_17,,0.058823529,0.0167
13,14,291_491,OK,1.42,36,0.152,1.67,0.169,0,291_491,,0.592668024,0.725
14,15,10_13,OK,1.33,38.4,0.151,1.57,0.168,0,10_13,,0.769230769,0.769
15,16,1_6,OK,1.08,40.6,0.184,1.34,0.2,0,1_6,,0.166666667,0.114
16,17,1_9,OK,1.67,42.7,0.184,2.02,0.2,0,1_9,,0.111111111,0.0597
17,18,10_19,OK,1.15,45.3,0.135,1.35,0.152,0,10_19,,0.526315789,0.61
18,19,10_13,OK,1.35,47.3,0.185,1.65,0.201,0,10_13,,0.769230769,0.789
19,20,28_109,OK,1.27,49.7,0.184,1.55,0.2,0,28_109,,0.256880734,0.211
20,21,16_25,OK,1.3,52.1,0.0195,1.48,0.0347,0,16_25,,0.64,0.7
21,22,7_15,OK,1.17,55.6,0.267,1.55,0.283,0,7_15,,0.466666667,0.408
22,23,11_12,OK,1.07,57.8,0.251,1.4,0.268,0,11_12,,0.916666667,0.94
23,24,1_17,OK,1.37,60,0.278,1.8,0.337,0,1_17,,0.058823529,0.0972
24,25,120_553,OK,1.4,62.4,0.303,1.88,0.318,0,120_553,,0.217,0.218
25,26,11_35,OK,1.15,65,0.201,1.45,0.217,0,11_35,,0.314285714,0.326
26,27,1_6,OK,1.82,67.1,0.201,2.17,0.217,0,1_6,,0.166666667,0.0694
27,28,4_5,OK,1.07,69.9,0.201,1.3,0.218,0,4_5,,0.8,0.878
28,29,3_8,OK,1.08,71.9,0.169,1.38,0.186,0,3_8,,0.375,0.267
29,30,291_491,OK,1.07,74,0.217,1.43,0.234,0,291_491,,0.592668024,0.735
30,31,703_891,OK,0.982,76.1,0.185,1.27,0.201,0,703_891,,0.789,0.889
31,32,1_17,OK,1.37,78,0.25,1.85,0.266,0,1_17,,0.058823529,0.0889
32,33,120_553,OK,1.18,80.6,0.152,1.49,0.168,0,120_553,,0.217,0.222
33,34,7_15,OK,1.08,82.7,0.186,1.37,0.202,0,7_15,,0.466666667,0.419
34,35,16_25,OK,0.983,84.7,0.168,1.23,0.185,0,16_25,,0.64,0.694
35,36,11_12,OK,1.02,86.6,0.168,1.28,0.184,0,11_12,,0.916666667,0.907
36,37,11_35,OK,1.08,88.7,0.217,1.43,0.234,0,11_35,,0.314285714,0.228
37,38,703_891,OK,1,90.7,0.118,1.18,0.134,0,703_891,,0.789,0.757
38,39,3_8,OK,1.06,92.7,0.252,1.43,0.268,0,3_8,,0.375,0.253
39,40,4_5,OK,1.11,94.9,0.287,1.47,0.302,0,4_5,,0.8,0.729
40,41,10_13,OK,0.983,97,0.169,1.24,0.185,0,10_13,,0.769230769,0.842
41,42,1_6,OK,1.03,99,0.134,1.32,0.15,0,1_6,,0.166666667,0.0486
42,43,10_19,OK,1.05,101,0.267,1.45,0.284,0,10_19,,0.526315789,0.572
43,44,1_9,OK,1.05,103,0.119,1.29,0.135,0,1_9,,0.111111111,0.075
44,45,28_109,OK,1.02,105,0.168,1.28,0.183,0,28_109,,0.256880734,0.196
45,46,291_491,OK,0.801,107,0.167,1.03,0.183,0,291_491,,0.592668024,0.728
