trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,1,OK,3.3,30.2,3.6,7.22,3.62,0:258,0,1,1,0.556
2,7,6,OK,2.82,44.9,0.602,3.57,0.619,0:258,0,6,6,5.89
3,5,4,OK,2.57,52.8,0.899,3.62,0.919,0:258,0,4,4,3.44
4,3,2,OK,1.54,58.3,0.619,2.26,0.635,0:258,0,2,2,1.56
5,9,8,OK,1.36,62.6,0.584,2.02,0.6,0:258,0,8,8,7.56
6,6,5,OK,1.1,65.8,0.452,1.63,0.467,0:258,0,5,5,5.18
7,8,7,OK,1.06,68.5,0.536,1.68,0.551,0:258,0,7,7,6.92
8,11,10,ERR_TooSlowInstantaneous,0,71.5,0.602,1.31,0.618,0:258,0,10,10,N/A
9,4,3,OK,1.25,77.2,0.702,2.02,0.719,0:258,0,3,3,1.67
10,11,10,OK,1.25,80.5,0.635,2.18,0.652,0:258,0,10,10,9.62
11,10,9,OK,1.05,83.9,0.635,1.82,0.651,0:258,0,9,9,8.35
