trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,9,8,ERR_TooSlowInstantaneous,0,5.15e+03,1.25,7.09,1.27,0:258,0,8,8,N/A
2,4,3,OK,2.68,5.17e+03,0.417,3.32,0.433,0:258,0,3,3,2.53
3,10,9,OK,1.6,5.17e+03,0.462,2.39,0.482,0:258,0,9,9,8.65
4,5,4,ERR_TooSlowGlobal,0,5.17e+03,0.833,1.5,0.85,0:258,0,4,4,N/A
5,5,4,OK,1.75,5.18e+03,0.55,2.55,0.566,0:258,0,4,4,3.78
6,3,2,OK,1.53,5.18e+03,0.383,2.18,0.4,0:258,0,2,2,1.54
7,2,1,OK,1.37,5.19e+03,0.384,2.07,0.4,0:258,0,1,1,1.06
8,9,8,OK,1.4,5.19e+03,0.45,2.15,0.467,0:258,0,8,8,8.5
9,11,10,OK,1.23,5.19e+03,0.433,1.97,0.45,0:258,0,10,10,10
10,8,7,OK,1.43,5.2e+03,0.35,2.1,0.367,0:258,0,7,7,6.79
11,6,5,OK,1.37,5.2e+03,0.5,2.17,0.517,0:258,0,5,5,5.08
12,7,6,OK,1.52,5.2e+03,1.33,3.17,1.35,0:258,0,6,6,6.47
