trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,3,120_553,ERR_TooSlowInstantaneous,0,14.9,0.383,3.15,0.4,0,120_553,,0.217,N/A
2,4,28_109,OK,1.98,19.8,0.301,2.37,0.317,0,28_109,,0.256880734,0.194
3,5,4_5,OK,2.06,23.2,0.234,2.61,0.251,0,4_5,,0.8,0.708
4,6,11_12,OK,1.85,26.8,0.334,2.28,0.351,0,11_12,,0.916666667,0.85
5,7,11_35,OK,2.85,30,0.252,3.28,0.268,0,11_35,,0.314285714,0.233
6,8,3_8,ERR_FingerLifted,0,34.1,0.203,4.22,0.219,0,3_8,,0.375,N/A
7,9,7_15,OK,2.68,39.6,0.319,3.17,0.336,0,7_15,,0.466666667,0.261
8,10,1_9,OK,1.88,43.7,0.287,2.32,0.301,0,1_9,,0.111111111,0.117
9,11,10_19,OK,2,47,0.235,2.37,0.252,0,10_19,,0.526315789,0.597
10,12,703_891,OK,2.18,50.2,0.199,2.52,0.217,0,703_891,,0.789,0.787
11,13,1_17,OK,1.77,53.6,0.217,2.29,0.233,0,1_17,,0.058823529,0.0833
12,14,291_491,OK,2.02,57,0.167,2.33,0.183,0,291_491,,0.592668024,0.388
13,15,10_13,OK,2.07,60.2,0.2,2.47,0.216,0,10_13,,0.769230769,0.732
14,16,1_6,OK,1.85,63.4,0.185,2.28,0.202,0,1_6,,0.166666667,0.174
15,17,1_9,OK,1.85,66.6,0.25,2.23,0.266,0,1_9,,0.111111111,0.0764
16,18,10_19,ERR_FingerLifted,0,69.7,0.267,3.52,0.284,0,10_19,,0.526315789,N/A
17,19,10_13,OK,2.07,74.2,0.25,2.45,0.267,0,10_13,,0.769230769,0.722
18,20,28_109,OK,2.05,77.5,0.317,2.57,0.334,0,28_109,,0.256880734,0.126
19,21,16_25,ERR_TooSlowInstantaneous,0,80.9,0.217,2.68,0.233,0,16_25,,0.64,N/A
20,22,7_15,ERR_FingerLifted,0,85,0.0844,3.57,0.101,0,7_15,,0.466666667,N/A
21,23,11_12,OK,1.58,89.9,0.268,2,0.284,0,11_12,,0.916666667,0.85
22,24,1_17,OK,1.53,92.9,0.318,2.05,0.334,0,1_17,,0.058823529,0.0944
23,25,120_553,OK,1.78,96.6,0.251,2.2,0.268,0,120_553,,0.217,0.296
24,26,11_35,OK,2.47,99.7,0.333,2.9,0.349,0,11_35,,0.314285714,0.417
25,28,4_5,OK,1.92,105,0.335,2.37,0.351,0,4_5,,0.8,0.8
26,29,3_8,OK,1.98,108,0.25,2.33,0.266,0,3_8,,0.375,0.274
27,30,291_491,OK,2.12,111,0.267,2.47,0.284,0,291_491,,0.592668024,0.419
28,31,703_891,OK,2.28,115,0.351,2.75,0.367,0,703_891,,0.789,0.799
29,32,1_17,OK,1.7,118,0.217,2.2,0.234,0,1_17,,0.058823529,0.0292
30,33,120_553,ERR_StartedSideways,0,121,-1,0.167,-1,0,120_553,,0.217,N/A
31,34,7_15,OK,3.01,124,0.218,3.4,0.235,0,7_15,,0.466666667,0.311
32,35,16_25,OK,2.58,128,0.304,3.02,0.318,0,16_25,,0.64,0.374
33,36,11_12,OK,1.55,133,0.451,2.17,0.468,0,11_12,,0.916666667,0.842
34,37,11_35,OK,2,136,0.234,2.32,0.251,0,11_35,,0.314285714,0.447
35,38,703_891,OK,1.71,139,0.203,2.07,0.219,0,703_891,,0.789,0.787
36,39,3_8,OK,1.9,142,0.167,2.17,0.183,0,3_8,,0.375,0.3
37,40,4_5,OK,2,145,0.15,2.32,0.166,0,4_5,,0.8,0.847
38,41,10_13,ERR_FingerLifted,0,148,0.234,3.54,0.252,0,10_13,,0.769230769,N/A
39,42,1_6,OK,1.45,152,0.318,1.9,0.334,0,1_6,,0.166666667,0.132
40,43,10_19,OK,2.48,155,0.201,2.78,0.217,0,10_19,,0.526315789,0.367
41,44,1_9,OK,2.22,159,0.166,2.55,0.182,0,1_9,,0.111111111,0.0681
42,45,28_109,OK,2.1,163,0.133,2.4,0.15,0,28_109,,0.256880734,0.0417
43,46,291_491,OK,2.38,166,0.17,2.68,0.184,0,291_491,,0.592668024,0.279
44,2,16_25,ERR_TooSlowInstantaneous,0,170,0.2,3.65,0.216,0,16_25,,0.64,N/A
45,3,120_553,ERR_TooSlowInstantaneous,0,175,0.152,2.66,0.168,0,120_553,,0.217,N/A
46,8,3_8,OK,2.31,179,0.236,2.7,0.252,0,3_8,,0.375,0.329
47,18,10_19,OK,2.53,183,0.184,2.82,0.2,0,10_19,,0.526315789,0.399
48,21,16_25,OK,2.38,187,0.218,2.72,0.235,0,16_25,,0.64,0.335
49,22,7_15,OK,3,190,0.17,3.23,0.185,0,7_15,,0.466666667,0.199
50,27,1_6,ERR_TooSlowInstantaneous,0,194,0.116,0.89,0.133,0,1_6,,0.166666667,N/A
51,33,120_553,OK,2.23,199,0.235,2.57,0.252,0,120_553,,0.217,0.213
52,41,10_13,OK,2.6,202,0.234,2.97,0.25,0,10_13,,0.769230769,0.751
53,2,16_25,OK,2.15,206,0.299,2.53,0.316,0,16_25,,0.64,0.574
54,3,120_553,OK,3.23,211,0.286,3.64,0.302,0,120_553,,0.217,0.268
55,27,1_6,OK,1.36,221,0.286,1.78,0.302,0,1_6,,0.166666667,0.11
