trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,0.52,ERR_TooSlowGlobal,0,10,0.686,1.51,0.701,0:258,0,0.52,0.52,N/A
2,3,0.11,OK,2.43,13.6,0.319,3,0.335,0:258,0,0.11,0.11,0.192
3,4,0.08,OK,1.58,17.7,0.252,2.05,0.268,0:258,0,0.08,0.08,0.119
4,5,0.68,OK,1.98,20.5,0.202,2.43,0.218,0:258,0,0.68,0.68,0.651
5,6,0.47,OK,1.53,23.6,0.35,2.08,0.367,0:258,0,0.47,0.47,0.375
6,7,0.61,OK,1.68,26.4,0.152,2.05,0.168,0:258,0,0.61,0.61,0.536
7,8,0.89,OK,1.4,29.1,0.202,1.83,0.218,0:258,0,0.89,0.89,0.804
8,9,0.98,OK,1.3,31.5,0.219,1.72,0.236,0:258,0,0.98,0.98,0.954
9,10,0.17,OK,1.37,33.9,0.184,1.77,0.201,0:258,0,0.17,0.17,0.233
10,11,0.43,OK,1.45,36.4,0.217,1.78,0.234,0:258,0,0.43,0.43,0.332
11,12,0.92,OK,1.35,38.8,0.235,1.77,0.251,0:258,0,0.92,0.92,0.889
12,13,0.03,OK,1.25,41.2,0.252,1.62,0.269,0:258,0,0.03,0.03,0.0639
13,14,0.32,OK,1.25,43.5,0.236,1.63,0.252,0:258,0,0.32,0.32,0.0778
14,15,0.24,OK,1.53,45.9,0.201,1.93,0.216,0:258,0,0.24,0.24,-0.00417
15,16,0.56,OK,2.05,48.6,0.2,2.48,0.217,0:258,0,0.56,0.56,0.525
16,17,0.85,OK,1.6,52.8,0.419,2.18,0.436,0:258,0,0.85,0.85,0.858
17,18,0.77,OK,1.63,55.7,0.235,1.98,0.251,0:258,0,0.77,0.77,0.733
18,19,0.73,OK,1.77,58.4,0.201,2.1,0.218,0:258,0,0.73,0.73,0.767
19,20,0.35,OK,1.75,61.2,0.168,2.03,0.184,0:258,0,0.35,0.35,0.0556
20,21,0.26,OK,1.4,64,0.337,1.9,0.352,0:258,0,0.26,0.26,0.0861
21,22,0.98,OK,1.55,66.5,0.186,1.9,0.201,0:258,0,0.98,0.98,0.969
22,23,0.17,OK,1.42,69.2,0.418,2.03,0.434,0:258,0,0.17,0.17,0.0306
23,24,0.26,OK,1.55,72,0.184,1.9,0.201,0:258,0,0.26,0.26,0.133
24,25,0.73,OK,1.82,74.6,0.251,2.23,0.268,0:258,0,0.73,0.73,0.914
25,26,0.08,OK,1.25,77.5,0.133,1.52,0.15,0:258,0,0.08,0.08,0.0194
26,28,0.35,OK,1.25,81.1,0.317,1.75,0.334,0:258,0,0.35,0.35,0.119
27,29,0.68,OK,1.4,83.6,0.486,2.07,0.502,0:258,0,0.68,0.68,0.714
28,30,0.47,OK,1.24,86.3,0.218,1.55,0.234,0:258,0,0.47,0.47,0.392
29,31,0.32,OK,1.3,88.5,0.117,1.52,0.133,0:258,0,0.32,0.32,0.154
30,32,0.85,OK,1.18,90.8,0.0843,1.47,0.101,0:258,0,0.85,0.85,0.919
31,33,0.92,OK,1.67,93,0.3,2.27,0.316,0:258,0,0.92,0.92,0.933
32,34,0.56,OK,1.65,95.9,0.186,2.03,0.201,0:258,0,0.56,0.56,0.519
33,35,0.24,OK,1.1,98.6,0.152,1.4,0.168,0:258,0,0.24,0.24,0.228
34,36,0.52,OK,1.36,101,0.152,1.65,0.168,0:258,0,0.52,0.52,0.428
35,37,0.43,OK,1.12,104,0.217,1.52,0.233,0:258,0,0.43,0.43,0.386
36,38,0.77,OK,1.22,106,0.134,1.53,0.15,0:258,0,0.77,0.77,0.69
37,39,0.61,OK,0.981,109,0.369,1.52,0.385,0:258,0,0.61,0.61,0.607
38,40,0.89,OK,1.18,111,0.235,1.55,0.252,0:258,0,0.89,0.89,0.863
39,41,0.11,OK,1.18,114,0.27,1.63,0.285,0:258,0,0.11,0.11,0.0861
40,42,0.35,OK,1.18,116,0.234,1.6,0.252,0:258,0,0.35,0.35,0.264
41,43,0.77,OK,1.32,119,0.0344,1.52,0.0501,0:258,0,0.77,0.77,0.844
42,44,0.52,OK,1.45,127,0.669,2.35,0.685,0:258,0,0.52,0.52,0.521
43,45,0.85,OK,1.23,130,0.368,1.83,0.385,0:258,0,0.85,0.85,0.867
44,46,0.73,ERR_TooSlowGlobal,0,133,0.502,1.47,0.517,0:258,0,0.73,0.73,N/A
45,47,0.08,OK,1.57,136,0.568,2.22,0.585,0:258,0,0.08,0.08,0.0889
46,48,0.61,OK,1.3,140,0.566,2.05,0.583,0:258,0,0.61,0.61,0.637
47,49,0.17,OK,1.1,143,0.384,1.63,0.401,0:258,0,0.17,0.17,0.169
48,50,0.03,OK,1.08,145,0.334,1.55,0.351,0:258,0,0.03,0.03,-0.00694
49,51,0.47,OK,1.16,147,0.269,1.6,0.285,0:258,0,0.47,0.47,0.339
50,52,0.32,OK,1.13,150,0.267,1.53,0.283,0:258,0,0.32,0.32,0.111
51,53,0.26,OK,1.03,152,0.302,1.5,0.32,0:258,0,0.26,0.26,0.0611
52,54,0.43,OK,1.12,154,0.183,1.43,0.201,0:258,0,0.43,0.43,0.319
53,55,0.68,OK,1.15,156,0.219,1.53,0.235,0:258,0,0.68,0.68,0.857
54,56,0.56,OK,1.01,159,0.269,1.52,0.285,0:258,0,0.56,0.56,0.501
55,57,0.11,OK,1.15,161,0.168,1.45,0.184,0:258,0,0.11,0.11,0.0222
56,58,0.92,OK,1.21,163,0.287,1.65,0.301,0:258,0,0.92,0.92,0.943
57,59,0.98,OK,1.13,165,0.286,1.6,0.303,0:258,0,0.98,0.98,0.872
58,60,0.24,OK,1.1,168,0.202,1.47,0.218,0:258,0,0.24,0.24,0.104
59,61,0.89,OK,1.17,170,0.452,1.78,0.469,0:258,0,0.89,0.89,0.846
60,2,0.52,OK,1.12,172,0.285,1.53,0.301,0:258,0,0.52,0.52,0.489
61,27,0.03,OK,1.1,175,0.133,1.43,0.15,0:258,0,0.03,0.03,0.0806
62,46,0.73,OK,1.2,177,0.285,1.63,0.301,0:258,0,0.73,0.73,0.669
