trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,65321,OK,2.75,11,0.217,3.27,0.233,0:258,0,65321,65321,3.1e+04
2,3,11730,OK,2.85,17.4,0.184,3.25,0.2,0:258,0,11730,11730,4.92e+04
3,4,73954,OK,1.35,28,0.133,1.72,0.15,0:258,0,73954,73954,6.67e+04
4,5,92855,OK,1.32,30.8,0.2,1.75,0.216,0:258,0,92855,92855,8.46e+04
5,6,25731,OK,1.8,33.6,0.167,2.23,0.183,0:258,0,25731,25731,2.94e+04
6,7,16542,OK,2.1,37,0.116,2.47,0.133,0:258,0,16542,16542,4.22e+04
7,8,37828,OK,1.45,40.8,0.152,1.85,0.167,0:258,0,37828,37828,3.07e+04
8,9,59374,OK,1.65,43.8,0.15,2.07,0.167,0:258,0,59374,59374,5.38e+04
9,10,49743,OK,1.5,46.9,0.15,1.88,0.166,0:258,0,49743,49743,4.58e+04
10,11,5882,OK,1.45,49.8,0.282,2.04,0.3,0:258,0,5882,5882,5.19e+04
11,12,47765,OK,1.88,53.9,0.117,2.23,0.134,0:258,0,47765,47765,4.89e+04
12,13,11328,OK,2.39,57.1,0.144,2.79,0.151,0:258,0,11328,11328,2.89e+04
13,14,83425,OK,1.87,61.3,0.149,2.32,0.166,0:258,0,83425,83425,7.56e+04
14,15,32319,OK,1.75,64.7,0.183,2.2,0.199,0:258,0,32319,32319,3.18e+04
15,16,76921,OK,1.83,68.2,0.15,2.27,0.166,0:258,0,76921,76921,6.68e+04
16,17,25731,OK,1.97,71.5,0.149,2.4,0.166,0:258,0,25731,25731,2.64e+04
17,18,65321,OK,1.83,75.1,0.168,2.25,0.184,0:258,0,65321,65321,6.19e+04
18,19,16542,OK,1.53,79.2,0.202,1.87,0.218,0:258,0,16542,16542,1.38e+04
19,20,92855,OK,1.33,83.7,0.25,1.87,0.267,0:258,0,92855,92855,7.58e+04
20,21,32319,OK,1.45,86.7,0.234,1.88,0.25,0:258,0,32319,32319,2.81e+04
21,22,49743,OK,1.52,89.7,0.201,1.95,0.218,0:258,0,49743,49743,4.85e+04
22,23,47765,OK,1.52,92.8,0.334,2.1,0.35,0:258,0,47765,47765,4.75e+04
23,24,11328,OK,1.82,96.2,0.301,2.42,0.319,0:258,0,11328,11328,1.96e+04
24,25,59374,OK,1.82,99.8,0.216,2.34,0.233,0:258,0,59374,59374,5.33e+04
25,26,11730,OK,1.85,103,0.251,2.37,0.267,0:258,0,11730,11730,1.44e+04
26,27,5882,OK,1.63,107,0.25,2.12,0.267,0:258,0,5882,5882,1.67e+03
27,28,76921,OK,1.47,110,0.2,1.95,0.217,0:258,0,76921,76921,7.94e+04
28,29,83425,OK,1.37,113,0.284,1.87,0.3,0:258,0,83425,83425,8.82e+04
29,30,73954,OK,1.77,116,0.234,2.22,0.25,0:258,0,73954,73954,7.61e+04
30,31,37828,OK,1.42,119,0.25,1.93,0.267,0:258,0,37828,37828,3.39e+04
31,32,49743,OK,1.18,122,0.25,1.65,0.267,0:258,0,49743,49743,4.49e+04
32,33,16542,OK,1.92,125,0.217,2.42,0.233,0:258,0,16542,16542,1.6e+04
33,34,32319,OK,1.92,129,0.217,2.37,0.234,0:258,0,32319,32319,2.78e+04
34,35,37828,OK,2.13,132,0.135,2.47,0.152,0:258,0,37828,37828,3.12e+04
35,36,25731,OK,1.8,137,0.234,2.25,0.25,0:258,0,25731,25731,2.31e+04
36,37,47765,OK,2.48,141,0.267,3,0.283,0:258,0,47765,47765,4.17e+04
37,38,92855,OK,2.25,145,0.2,2.65,0.217,0:258,0,92855,92855,8.57e+04
38,39,11730,ERR_TooSlowInstantaneous,0,149,0.136,2.71,0.152,0:258,0,11730,11730,N/A
39,41,65321,OK,1.52,155,0.233,2.05,0.25,0:258,0,65321,65321,6.11e+04
40,42,76921,OK,1.7,159,0.134,2.12,0.151,0:258,0,76921,76921,7.4e+04
41,43,5882,OK,1.73,162,0.184,2.17,0.2,0:258,0,5882,5882,2.36e+03
42,44,59374,OK,2.38,165,0.117,2.68,0.133,0:258,0,59374,59374,5.56e+04
43,45,83425,OK,2.03,169,0.117,2.4,0.134,0:258,0,83425,83425,8.14e+04
44,46,73954,OK,1.4,173,0.152,1.77,0.168,0:258,0,73954,73954,7.31e+04
45,39,11730,OK,2.02,176,0.0504,2.35,0.0663,0:258,0,11730,11730,1.64e+04
46,40,11328,OK,1.98,179,0.0336,2.25,0.0502,0:258,0,11328,11328,6.11e+03
