trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,ERR_TooSlowInstantaneous,0,8.68,0.451,3.94,0.467,0,16_25,,0.64,N/A
2,3,120_553,OK,2.13,14.8,0.202,2.66,0.218,0,120_553,,0.217,0.0556
3,4,28_109,OK,2.53,18.6,0.2,3.05,0.216,0,28_109,,0.256880734,0.0958
4,5,4_5,OK,3.05,22.6,0.166,3.53,0.183,0,4_5,,0.8,0.481
5,6,11_12,OK,2.28,26.9,0.268,2.65,0.284,0,11_12,,0.916666667,0.333
6,7,11_35,OK,1.83,30.4,0.201,2.25,0.217,0,11_35,,0.314285714,0.221
7,8,3_8,OK,3.1,33.5,0.202,3.62,0.218,0,3_8,,0.375,0.518
8,9,7_15,OK,2.45,37.8,0.252,3.02,0.269,0,7_15,,0.466666667,0.421
9,10,1_9,OK,2.66,41.8,0.0335,2.96,0.0495,0,1_9,,0.111111111,0.963
10,11,10_19,OK,2.93,45.3,0.151,3.38,0.167,0,10_19,,0.526315789,0.243
11,12,703_891,OK,2.43,49.4,0.136,2.78,0.152,0,703_891,,0.789,0.0278
12,13,1_17,OK,2.21,53.2,0.202,2.61,0.218,0,1_17,,0.058823529,0.754
13,14,291_491,OK,1.6,56.5,0.169,1.85,0.184,0,291_491,,0.592668024,0.0472
14,15,10_13,OK,2.12,59.2,0.183,2.5,0.199,0,10_13,,0.769230769,0.588
15,16,1_6,OK,1.66,62.5,0.0997,1.9,0.116,0,1_6,,0.166666667,0.544
16,17,1_9,OK,1.72,65.1,0.134,2.03,0.15,0,1_9,,0.111111111,0.61
17,18,10_19,OK,1.88,67.8,0.134,2.25,0.15,0,10_19,,0.526315789,0.588
18,19,10_13,OK,2.67,72.2,0.35,3.23,0.367,0,10_13,,0.769230769,0.443
19,20,28_109,OK,2.23,76.1,0.184,2.57,0.2,0,28_109,,0.256880734,0.101
20,21,16_25,OK,2.05,79.5,0.171,2.35,0.187,0,16_25,,0.64,0.246
21,22,7_15,OK,2.15,82.7,0.15,2.62,0.167,0,7_15,,0.466666667,0.356
22,23,11_12,OK,1.9,86.1,0.167,2.22,0.183,0,11_12,,0.916666667,0.297
23,24,1_17,ERR_TooSlowInstantaneous,0,89.2,0.119,2.09,0.136,0,1_17,,0.058823529,N/A
24,25,120_553,OK,2.23,92.3,0.167,2.65,0.184,0,120_553,,0.217,0.0792
25,26,11_35,OK,1.9,95.8,0.117,2.22,0.133,0,11_35,,0.314285714,0.354
26,27,1_6,OK,1.54,98.8,0.141,1.87,0.155,0,1_6,,0.166666667,0.56
27,28,4_5,OK,2.21,101,0.0844,2.42,0.1,0,4_5,,0.8,0.6
28,29,3_8,OK,2.48,105,0.0837,2.68,0.1,0,3_8,,0.375,0.647
29,30,291_491,OK,1.38,108,0.15,1.68,0.166,0,291_491,,0.592668024,0.0722
30,31,703_891,OK,1.27,110,0.15,1.6,0.167,0,703_891,,0.789,0.05
31,32,1_17,OK,2.01,113,0.1,2.25,0.117,0,1_17,,0.058823529,0.658
32,33,120_553,OK,2.05,129,0.0339,2.38,0.0507,0,120_553,,0.217,0.0875
33,34,7_15,OK,3.03,132,0.0503,3.28,0.0667,0,7_15,,0.466666667,0.426
34,35,16_25,OK,1.72,137,0.0171,1.93,0.0337,0,16_25,,0.64,0.388
35,36,11_12,OK,1.93,139,0.0171,2.17,0.0334,0,11_12,,0.916666667,0.382
36,37,11_35,OK,1.47,142,0.117,1.78,0.133,0,11_35,,0.314285714,0.324
37,38,703_891,OK,1.37,145,0.151,1.68,0.167,0,703_891,,0.789,0.0333
38,39,3_8,OK,2.28,147,0.15,2.58,0.167,0,3_8,,0.375,0.588
39,40,4_5,OK,1.67,151,0.133,1.97,0.15,0,4_5,,0.8,0.557
40,41,10_13,OK,1.43,153,0.167,1.78,0.183,0,10_13,,0.769230769,0.243
41,42,1_6,OK,1.35,156,0.136,1.62,0.153,0,1_6,,0.166666667,0.565
42,43,10_19,OK,2.33,159,0.134,2.65,0.15,0,10_19,,0.526315789,0.465
43,44,1_9,OK,1.95,162,0.152,2.3,0.169,0,1_9,,0.111111111,0.443
44,45,28_109,OK,1.4,165,0.167,1.75,0.184,0,28_109,,0.256880734,0.14
45,46,291_491,OK,1.98,168,0.152,2.35,0.166,0,291_491,,0.592668024,0.0486
46,2,16_25,OK,1.83,171,0.133,2.18,0.149,0,16_25,,0.64,0.306
47,24,1_17,OK,2.3,174,0.151,2.67,0.168,0,1_17,,0.058823529,0.393
