trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,0.323,OK,2.02,9.72,0.25,2.45,0.267,0:258,0,0.323,0.323,0.0833
2,3,0.739,OK,1.3,14.1,0.236,1.78,0.252,0:258,0,0.739,0.739,0.204
3,4,0.506,OK,1.78,16.7,0.218,2.19,0.234,0:258,0,0.506,0.506,0.522
4,5,0.167,OK,1.23,21.1,0.135,1.6,0.152,0:258,0,0.167,0.167,0.118
5,6,0.111,OK,1.48,23.8,0.0173,1.73,0.0336,0:258,0,0.111,0.111,0.0431
6,7,0.059,OK,1.33,26.3,0.168,1.72,0.185,0:258,0,0.059,0.059,0.00278
7,8,0.834,ERR_TooSlowInstantaneous,0,28.8,0.2,1.59,0.217,0:258,0,0.834,0.834,N/A
8,9,0.769,OK,1.38,32,0.285,1.87,0.3,0:258,0,0.769,0.769,0.656
9,10,0.378,OK,1.05,35.6,0.185,1.45,0.201,0:258,0,0.378,0.378,0.254
10,11,0.257,OK,1.07,37.9,0.167,1.47,0.184,0:258,0,0.257,0.257,0.149
11,12,0.117,OK,1.12,40.2,0.134,1.43,0.15,0:258,0,0.117,0.117,0.0528
12,13,0.593,OK,1.17,42.4,0.135,1.53,0.152,0:258,0,0.593,0.593,0.514
13,14,0.475,OK,1.42,44.7,0.169,1.83,0.184,0:258,0,0.475,0.475,0.461
14,15,0.653,OK,1.1,47.2,0.118,1.52,0.133,0:258,0,0.653,0.653,0.676
15,16,0.928,OK,1.07,49.4,0.1,1.43,0.117,0:258,0,0.928,0.928,0.956
16,17,0.257,OK,1.18,51.6,0.0504,1.45,0.0667,0:258,0,0.257,0.257,0.0847
17,18,0.475,OK,1.08,53.8,0.185,1.52,0.201,0:258,0,0.475,0.475,0.381
18,19,0.506,OK,1.35,55.9,0.202,1.77,0.218,0:258,0,0.506,0.506,0.528
19,20,0.653,OK,1.25,58.3,0.27,1.83,0.285,0:258,0,0.653,0.653,0.601
20,21,0.593,OK,1.25,60.7,0.154,1.65,0.169,0:258,0,0.593,0.593,0.578
21,22,0.167,OK,1.15,62.9,0.166,1.55,0.183,0:258,0,0.167,0.167,0.0806
22,23,0.111,OK,1.13,65.2,0.202,1.53,0.218,0:258,0,0.111,0.111,0.00833
23,24,0.834,OK,1.18,67.5,0.185,1.58,0.201,0:258,0,0.834,0.834,0.918
24,25,0.739,OK,1.15,69.8,0.152,1.52,0.168,0:258,0,0.739,0.739,0.831
25,26,0.059,OK,1.17,72,0.2,1.57,0.217,0:258,0,0.059,0.059,0.00278
26,27,0.378,OK,1.11,74.6,0.0185,1.32,0.0355,0:258,0,0.378,0.378,0.151
27,28,0.117,OK,1.1,76.6,0.186,1.5,0.201,0:258,0,0.117,0.117,0.0611
28,29,0.769,OK,1.05,78.9,0.185,1.43,0.201,0:258,0,0.769,0.769,0.811
29,30,0.928,OK,0.966,81,0.167,1.3,0.183,0:258,0,0.928,0.928,0.942
30,31,0.323,OK,0.963,82.9,0.204,1.38,0.219,0:258,0,0.323,0.323,0.164
31,32,0.167,OK,1.03,85,0.235,1.48,0.252,0:258,0,0.167,0.167,0.0111
32,33,0.111,OK,1.06,87.1,0.268,1.52,0.285,0:258,0,0.111,0.111,0.0736
33,34,0.323,OK,1.06,89.6,0.0513,1.33,0.0676,0:258,0,0.323,0.323,0.176
34,35,0.653,OK,1.28,91.6,0.202,1.72,0.218,0:258,0,0.653,0.653,0.733
35,36,0.769,OK,1.17,93.9,0.168,1.52,0.184,0:258,0,0.769,0.769,0.804
36,37,0.257,OK,1.1,96.1,0.202,1.52,0.218,0:258,0,0.257,0.257,0.103
37,38,0.378,OK,1.08,98.3,0.284,1.6,0.3,0:258,0,0.378,0.378,0.208
38,39,0.593,OK,1.16,101,0.17,1.6,0.184,0:258,0,0.593,0.593,0.515
39,40,0.059,OK,1.1,103,0.185,1.5,0.201,0:258,0,0.059,0.059,0.00694
40,41,0.475,OK,1.55,105,0.202,1.93,0.219,0:258,0,0.475,0.475,0.236
41,42,0.739,OK,1.01,108,0.135,1.37,0.151,0:258,0,0.739,0.739,0.749
42,43,0.928,OK,0.95,110,0.101,1.25,0.118,0:258,0,0.928,0.928,0.94
43,44,0.506,OK,0.949,112,0.135,1.28,0.151,0:258,0,0.506,0.506,0.517
44,45,0.834,OK,1.07,114,0.101,1.38,0.117,0:258,0,0.834,0.834,0.832
45,46,0.117,OK,0.983,116,0.185,1.33,0.201,0:258,0,0.117,0.117,0.0708
46,8,0.834,OK,1.15,118,0.201,1.57,0.218,0:258,0,0.834,0.834,0.906
