trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,OK,1.5,10.4,0.219,1.87,0.235,0,16_25,,0.64,0.311
2,3,120_553,OK,1.13,13,0.135,1.45,0.151,0,120_553,,0.217,0.789
3,4,28_109,OK,1.03,15,0.169,1.35,0.185,0,28_109,,0.256880734,0.362
4,5,4_5,OK,1.01,17.1,0.252,1.43,0.269,0,4_5,,0.8,0.115
5,6,11_12,OK,1.07,19.2,0.1,1.3,0.117,0,11_12,,0.916666667,0.365
6,7,11_35,OK,0.916,21,0.234,1.3,0.251,0,11_35,,0.314285714,0.383
7,8,3_8,OK,0.898,22.9,0.235,1.27,0.251,0,3_8,,0.375,0.107
8,9,7_15,OK,1.03,24.9,0.218,1.38,0.234,0,7_15,,0.466666667,0.25
9,10,1_9,OK,0.982,27,0.118,1.23,0.134,0,1_9,,0.111111111,0.0611
10,11,10_19,OK,1.15,28.9,0.136,1.42,0.151,0,10_19,,0.526315789,0.343
11,12,703_891,OK,1,30.9,0.134,1.25,0.151,0,703_891,,0.789,0.958
12,13,1_17,OK,1.03,32.9,0.167,1.28,0.183,0,1_17,,0.058823529,0.108
13,14,291_491,OK,0.966,34.9,0.167,1.23,0.183,0,291_491,,0.592668024,0.906
14,15,10_13,OK,1.02,36.9,0.168,1.27,0.184,0,10_13,,0.769230769,0.194
15,16,1_6,OK,1.03,38.9,0.185,1.3,0.202,0,1_6,,0.166666667,0.0278
16,17,1_9,OK,1.18,41.3,0.149,1.42,0.165,0,1_9,,0.111111111,0.11
17,18,10_19,OK,1.2,43.3,0.168,1.45,0.184,0,10_19,,0.526315789,0.289
18,19,10_13,OK,0.999,45.4,0.218,1.3,0.234,0,10_13,,0.769230769,0.275
19,20,28_109,OK,1.05,47.4,0.251,1.4,0.267,0,28_109,,0.256880734,0.732
20,21,16_25,OK,0.801,49.4,0.166,1.08,0.182,0,16_25,,0.64,0.364
21,22,7_15,OK,0.915,51.2,0.202,1.27,0.217,0,7_15,,0.466666667,0.204
22,23,11_12,OK,0.832,53.2,0.153,1.12,0.17,0,11_12,,0.916666667,0.4
23,24,1_17,OK,0.866,56.1,0.15,1.12,0.166,0,1_17,,0.058823529,0.0806
24,25,120_553,OK,0.901,57.9,0.2,1.18,0.218,0,120_553,,0.217,0.924
25,26,11_35,OK,0.831,59.9,0.118,1.05,0.135,0,11_35,,0.314285714,0.597
26,27,1_6,OK,0.647,62.6,0.168,0.95,0.183,0,1_6,,0.166666667,0.172
27,28,4_5,OK,0.824,64.2,0.184,1.18,0.2,0,4_5,,0.8,0.244
28,29,3_8,OK,0.832,66.1,0.267,1.23,0.283,0,3_8,,0.375,0.103
29,30,291_491,OK,0.933,68,0.184,1.28,0.2,0,291_491,,0.592668024,0.887
30,31,703_891,ERR_InvalidAngle,0,70.9,0.0687,0.692,0.0847,0,703_891,,0.789,N/A
31,33,120_553,OK,0.749,75.9,0.169,1.02,0.185,0,120_553,,0.217,0.917
32,34,7_15,OK,0.897,77.6,0.0861,1.07,0.101,0,7_15,,0.466666667,0.364
33,35,16_25,OK,0.965,79.3,0.285,1.33,0.301,0,16_25,,0.64,0.303
34,36,11_12,OK,1.02,81.5,0.1,1.27,0.117,0,11_12,,0.916666667,0.15
35,37,11_35,OK,0.997,83.4,0.219,1.35,0.235,0,11_35,,0.314285714,0.192
36,39,3_8,OK,0.899,86.6,0.0847,1.13,0.101,0,3_8,,0.375,0.164
37,40,4_5,OK,0.898,88.3,0.169,1.2,0.185,0,4_5,,0.8,0.165
38,41,10_13,OK,1.1,90.2,0.135,1.35,0.151,0,10_13,,0.769230769,0.356
39,42,1_6,OK,0.931,93.1,0.135,1.2,0.151,0,1_6,,0.166666667,0.0389
40,43,10_19,OK,1.08,95.1,0.0834,1.3,0.0997,0,10_19,,0.526315789,0.226
41,44,1_9,OK,0.95,97,0.117,1.18,0.134,0,1_9,,0.111111111,0.0389
42,45,28_109,OK,1.1,98.9,0.103,1.35,0.119,0,28_109,,0.256880734,0.206
43,46,291_491,OK,1.07,101,0.0166,1.22,0.0329,0,291_491,,0.592668024,0.925
44,31,703_891,OK,1.05,104,0.1,1.27,0.118,0,703_891,,0.789,0.961
45,32,1_17,OK,1.05,106,0.0677,1.19,0.0836,0,1_17,,0.058823529,0.0583
46,38,703_891,OK,0.93,109,0.0848,1.18,0.101,0,703_891,,0.789,0.919
