trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,6,5,ERR_TooSlowInstantaneous,0,31.3,0.253,0.993,0.267,0:258,0,5,5,N/A
2,10,9,OK,1.71,38.7,0.303,2.34,0.32,0:258,0,9,9,7.42
3,4,3,OK,2.75,45.3,0.302,3.38,0.319,0:258,0,3,3,3.24
4,6,5,OK,1.98,50.6,0.401,2.65,0.417,0:258,0,5,5,5.26
5,2,1,OK,1.45,54.9,0.252,2.03,0.268,0:258,0,1,1,0.889
6,3,2,OK,1.43,60.1,0.321,2.05,0.335,0:258,0,2,2,2.35
7,11,10,OK,1.92,63.5,0.35,2.59,0.367,0:258,0,10,10,9.9
8,7,6,OK,1.83,69.4,0.402,2.54,0.418,0:258,0,6,6,6.14
9,5,4,OK,1.53,73.5,0.202,1.88,0.218,0:258,0,4,4,4.38
10,8,7,OK,1.5,76.5,0.286,2.04,0.302,0:258,0,7,7,7.01
11,9,8,OK,1.67,80.1,0.118,1.95,0.135,0:258,0,8,8,7.76
